Gene = snRNP-U1-70K
index = 1883
Annotated 5SS: [149]
Annotated 3SS: [227]
SMsplice 5SS: [149]
SMsplice 3SS: [227]
top_k =  500
Partition function (log Z): -6.342494968307074

Sorted 5' Splice Sites (High to Low Probability):
Position 149: 0.9915522951048736
Position 693: 0.2763521752051459
Position 2276: 0.20684806637771616
Position 633: 0.1379501374073635
Position 1671: 0.08455279086296126
Position 2413: 0.08328064192228829
Position 768: 0.06681242014086318
Position 2032: 0.031153166180797665
Position 1896: 0.028914644767730643
Position 1837: 0.024663594129948414
Position 522: 0.023057631600307153
Position 1644: 0.015741478179368242
Position 248: 0.010223268624766354
Position 2521: 0.006011304928937777
Position 2035: 0.005536466891203748
Position 2016: 0.004362099030036233
Position 1614: 0.003986727251657166
Position 2474: 0.002796982856988123
Position 1763: 0.002210221366926309
Position 2726: 0.0019905733092498647
Position 1168: 0.001955899090730975
Position 2531: 0.0017821484929904123
Position 1233: 0.0015369340821901616
Position 1943: 0.001256053997771382
Position 721: 0.0012297655309731884
Position 1605: 0.001103647914987011
Position 2769: 0.0009380573606458106
Position 1029: 0.00093411135147131
Position 1371: 0.0009323263577674303
Position 1618: 0.0007384227492441168
Position 535: 0.0006883619638446436
Position 2760: 0.000682346449670567
Position 2460: 0.0006367904921510526
Position 1835: 0.0005977323204069575
Position 95: 0.0005139492673086753
Position 1785: 0.00024966942745843274
Position 1455: 0.0002425350679062698
Position 1867: 0.00018241158850983282
Position 1660: 0.00015187548430048404
Position 183: 0.00014601761465388274
Position 400: 0.00013612684734933203
Position 449: 0.00013335323718186425
Position 108: 0.00012331990448482752
Position 153: 0.000113858053306387
Position 957: 9.242708722219866e-05
Position 503: 5.799320660054281e-05
Position 373: 4.519609111563993e-05
Position 2006: 3.388098980921224e-05
Position 1215: 1.4021027798436557e-05
Position 72: 1.1269495651504818e-05
Position 613: 5.4956193595272644e-06
Position 637: 5.459467947053177e-06
Position 178: 3.0247005086915556e-06
Position 619: 1.5067100470498852e-06
Position 142: 4.339503420041796e-07
Position 347: 2.553672361134307e-07
Position 16: 2.0852178080473725e-07
Position 216: 1.8805255149761267e-07
Position 459: 1.682610174423091e-07
Position 643: 1.2132008110966068e-07
Position 574: 2.23640317755183e-08
Position 586: 2.188181872704424e-08
Position 392: 2.0179621563859382e-08
Position 1071: 8.426720241272647e-09
Position 310: 3.7790917531497604e-09
Position 334: 2.473533361993449e-09
Position 1023: 2.4618904425863696e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 227: 0.9310464795822406
Position 2129: 0.5618374875766454
Position 2326: 0.20503525517710824
Position 1751: 0.05012940667749439
Position 2864: 0.03406659213760757
Position 685: 0.03385048639004678
Position 2464: 0.03220296280959782
Position 2675: 0.031163453442938274
Position 1438: 0.021672768238741525
Position 757: 0.021611097612444934
Position 1947: 0.014125604222893183
Position 1957: 0.01403993262064014
Position 2383: 0.013425039402638323
Position 2222: 0.012489077938350858
Position 2478: 0.010716836421610414
Position 2275: 0.007646934321296955
Position 266: 0.006728660079769411
Position 1281: 0.00507127518287835
Position 1762: 0.0021417663602561923
Position 2331: 0.0021300464989300345
Position 2929: 0.0015541424461144567
Position 2201: 0.001545891839983855
Position 1140: 0.0014760498794891303
Position 2868: 0.001293201360010156
Position 247: 0.0011263148111505842
Position 1896: 0.0008051810912423621
Position 2240: 0.0007767945616408364
Position 2725: 0.0007036660164873447
Position 2702: 0.0006760581508465794
Position 2337: 0.0006635517670345944
Position 1734: 0.000609263978122014
Position 2711: 0.0005454148170841412
Position 1660: 0.00033871695871293925
Position 1518: 0.00025976445354054274
Position 427: 0.00022900908429942995
Position 898: 0.00014817526054489304
Position 1056: 0.0001478003980433365
Position 1914: 0.00013503237571533633
Position 1657: 0.0001331174416102418
Position 703: 0.00012113772921470337
Position 772: 0.00011616236872557766
Position 2252: 0.0001105738334663367
Position 2162: 8.989886561215749e-05
Position 826: 8.238169128244677e-05
Position 1588: 8.085521470683091e-05
Position 241: 7.750080329257394e-05
Position 1390: 5.056054115552143e-05
Position 548: 4.865263069543397e-05
Position 2231: 4.2517566709677496e-05
Position 1122: 3.327626425213055e-05
Position 1585: 3.143219495801608e-05
Position 1453: 2.622291760459385e-05
Position 1823: 2.1506966968224883e-05
Position 568: 1.3741090171096258e-05
Position 692: 1.0727081048088352e-05
Position 783: 4.376237430172049e-06
Position 775: 4.22290725905258e-06
Position 463: 1.7323631758455655e-06
Position 1704: 1.6270692386987527e-06
Position 355: 1.452356399160769e-06
Position 148: 1.1596223176320327e-06
Position 664: 8.553135598118839e-07
Position 418: 8.1399500763186e-07
Position 370: 5.010333264240282e-07
Position 392: 3.7824438580810183e-07
Position 400: 3.2586113322740464e-07
Position 661: 2.6699788279577177e-07
Position 619: 2.610515357059833e-07
Position 625: 2.578819121969645e-07
Position 116: 1.6227276616119618e-07
Position 132: 6.855820481402846e-08
Position 727: 5.898311600401436e-08
Position 367: 4.6931115045327994e-08
Position 162: 3.808056492174833e-08
Position 373: 2.1041995505283865e-08
Position 514: 1.963780297573481e-08
Position 493: 1.1965665989718508e-08
Position 550: 8.783076007144468e-09
Position 733: 2.100701031026586e-09
Position 643: 1.458964580351252e-09
Position 530: 1.2870725024767814e-09
Position 153: 1.2295516159166363e-09
Position 526: 9.632350957284788e-10
Position 466: 5.129125892829847e-10
Position 108: 3.3514355319465883e-10
Position 183: 8.21369135648759e-14
Position 490: 5.134083933677085e-15
Position 232: 4.924805086068225e-15
Position 325: 1.7434974343389141e-16
