Gene = mbf1
index = 1785
Annotated 5SS: [317 541 912]
Annotated 3SS: [ 416  750 1280]
SMsplice 5SS: [541 912]
SMsplice 3SS: [ 750 1280]
top_k =  500
Partition function (log Z): -2.003010669050119

Sorted 5' Splice Sites (High to Low Probability):
Position 912: 0.9804225777676534
Position 541: 0.9126611576057461
Position 20: 0.44488619187642037
Position 352: 0.2495512401041347
Position 1542: 0.1369062223370991
Position 1919: 0.1180914160142919
Position 234: 0.1100780189611738
Position 1212: 0.05697893679386872
Position 317: 0.023748616821411266
Position 2144: 0.01039804534117337
Position 2160: 0.009886592342474255
Position 916: 0.009378840394596346
Position 1423: 0.00694980965573034
Position 539: 0.005923463462342697
Position 1889: 0.0034618332387405105
Position 1354: 0.002143329468857119
Position 57: 0.0018684336502497578
Position 1975: 0.0015230148596707042
Position 1135: 0.0011510041925717424
Position 1223: 0.0009029608469078899
Position 1155: 0.0008021146890219007
Position 702: 0.0007578071218652449
Position 2132: 0.0005964791892613324
Position 1209: 0.0005796456782229404
Position 719: 0.0004495605676820277
Position 1216: 0.0003592872195313441
Position 704: 0.00023367543648546184
Position 194: 0.0001894690825135891
Position 1088: 0.00018690729915643058
Position 1097: 0.00015127866893404154
Position 267: 0.00014865634112606475
Position 581: 0.00013220652179262918
Position 356: 8.02638778801708e-05
Position 254: 7.057413510896085e-05
Position 545: 6.425218905180894e-05
Position 221: 5.4211967157918083e-05
Position 1330: 5.336536037483087e-05
Position 1701: 5.210102983018173e-05
Position 364: 3.684612350568809e-05
Position 1430: 3.633467580843608e-05
Position 1005: 3.35372140705105e-05
Position 745: 3.124411718849508e-05
Position 522: 2.0810906341486585e-05
Position 1714: 2.0423366182513606e-05
Position 611: 2.023521048376885e-05
Position 177: 1.7314539951798344e-05
Position 1130: 1.3925766529236292e-05
Position 849: 1.1350043948079306e-05
Position 492: 6.115116587518422e-06
Position 391: 4.0964285262741894e-06
Position 1305: 3.714351260465482e-06
Position 563: 3.2044373243675247e-06
Position 754: 2.0993994950786992e-06
Position 146: 1.331853917596938e-06
Position 1008: 8.94681950265234e-07
Position 340: 5.095607522698436e-07
Position 270: 4.61462786567982e-07
Position 419: 3.7245808633957655e-07
Position 321: 3.308743738914984e-07
Position 467: 1.6405297711429905e-11
Position 516: 1.175740172079263e-12
Position 435: 7.457437309264197e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 750: 0.9387525822810322
Position 1280: 0.9008324848543363
Position 88: 0.3756305029155026
Position 416: 0.20270300782857656
Position 1008: 0.121701527412917
Position 2309: 0.10543376161792732
Position 129: 0.04251052549878032
Position 1731: 0.042329074158058394
Position 2015: 0.04054424930169609
Position 292: 0.04018342305216101
Position 298: 0.03802023223653236
Position 1796: 0.03582901623623762
Position 452: 0.03419376458885872
Position 2107: 0.02768922132714265
Position 2048: 0.018432589584676334
Position 621: 0.017575724786853097
Position 2229: 0.0133475342079991
Position 289: 0.011015502967783612
Position 804: 0.010693586980721382
Position 456: 0.010681583507749105
Position 1608: 0.010150190809801922
Position 2072: 0.007001853144341173
Position 719: 0.0069608090806596344
Position 2216: 0.006905280589673504
Position 167: 0.004080833384834313
Position 1154: 0.003229205495138663
Position 2254: 0.003027528584966515
Position 1690: 0.0025776333256442518
Position 960: 0.0020073703338770506
Position 177: 0.0017818256223985363
Position 270: 0.0017372583979576456
Position 101: 0.0017305932182552957
Position 773: 0.0014426370582403907
Position 1223: 0.0011856925130866991
Position 479: 0.0011829776488203865
Position 188: 0.0011585191026535855
Position 1196: 0.000903409104903597
Position 1209: 0.0009023904914891323
Position 336: 0.0008676128748912938
Position 1611: 0.0007975696108635695
Position 1097: 0.0006229704155906698
Position 1382: 0.0005772859789566169
Position 1971: 0.0005568820681879311
Position 1298: 0.000466734186130618
Position 682: 0.0003403052386704318
Position 210: 0.0003386917688996646
Position 1485: 0.00027916151658088326
Position 303: 0.00023140193565212495
Position 250: 0.00015284948522092666
Position 1107: 0.00013545997150395974
Position 770: 0.00012625312666316883
Position 157: 0.00010472123633054667
Position 788: 0.00010173938714521662
Position 254: 9.788916780455797e-05
Position 311: 8.434141324729802e-05
Position 536: 4.574896059042342e-05
Position 1818: 2.8104315461337215e-05
Position 500: 2.6598263490475016e-05
Position 1712: 2.438424523395434e-05
Position 1707: 1.4024709459486537e-05
Position 308: 1.366019341606962e-05
Position 1430: 7.974404130151952e-06
Position 1413: 7.2121431539275105e-06
Position 1295: 7.045686235122037e-06
Position 857: 3.0236576242998924e-06
Position 869: 2.743505445871955e-06
Position 356: 2.5215605221265466e-06
Position 364: 2.1342956336002285e-06
Position 539: 1.8609015508377837e-06
Position 513: 1.6377767571626374e-06
Position 866: 1.55123381929914e-06
Position 1110: 3.5140200402958845e-07
Position 151: 3.028161714472655e-07
Position 90: 5.757768059344412e-08
Position 348: 3.80185497548314e-09
Position 340: 6.326508904939725e-10
