Gene = Scgalpha
index = 1472
Annotated 5SS: [ 672 1149 1344 1559]
Annotated 3SS: [ 743 1232 1414 1622]
SMsplice 5SS: [ 672 1149 1344 1559]
SMsplice 3SS: [ 743 1232 1414 1622]
top_k =  500
Partition function (log Z): 7.287445741860116

Sorted 5' Splice Sites (High to Low Probability):
Position 1344: 0.9899374745426466
Position 672: 0.9856467067787293
Position 1149: 0.9632473159777384
Position 1559: 0.8566673347515497
Position 808: 0.21900100026730723
Position 247: 0.1374813241057093
Position 897: 0.054410712792308594
Position 680: 0.012209889926834113
Position 453: 0.010798481261515749
Position 913: 0.005143353734701477
Position 1322: 0.005001264699970454
Position 84: 0.0030533905434174265
Position 877: 0.0025277241017197132
Position 1146: 0.00236725384646645
Position 1870: 0.0021024924863634895
Position 77: 0.001501985198979535
Position 59: 0.0013846987086737037
Position 71: 0.0013522559212873833
Position 819: 0.001342977669325556
Position 1818: 0.0011154746676495775
Position 1334: 0.0008133428604118847
Position 1567: 0.0007207147840048575
Position 1153: 0.00046122700686050336
Position 321: 0.0003234187114224683
Position 170: 0.0002517654954957921
Position 468: 0.00017714370729859705
Position 439: 0.00016059337827239613
Position 517: 0.00014478479073623055
Position 1703: 0.000132449282229017
Position 691: 0.00011945192707173147
Position 392: 0.00010923747263855238
Position 825: 9.914767274013934e-05
Position 305: 9.380384966467046e-05
Position 442: 6.817396765089913e-05
Position 190: 6.645229416557225e-05
Position 1465: 5.695359223819617e-05
Position 400: 5.4925944797475864e-05
Position 625: 5.199621161226998e-05
Position 487: 4.830004082626926e-05
Position 1033: 4.673585390392799e-05
Position 52: 3.758606619912654e-05
Position 1458: 3.636432511341586e-05
Position 1391: 3.501710097989989e-05
Position 856: 3.496903493829466e-05
Position 163: 3.369190327908414e-05
Position 1128: 3.2386034489723324e-05
Position 1402: 2.4719832316985754e-05
Position 1385: 1.9583125727761476e-05
Position 618: 1.8496395647586715e-05
Position 445: 1.38661316116289e-05
Position 177: 1.3528254685733635e-05
Position 1308: 1.0975136575205566e-05
Position 1770: 9.45323098794508e-06
Position 484: 8.985145112764505e-06
Position 117: 8.004564964493345e-06
Position 607: 7.803947734952267e-06
Position 1123: 5.9377852545676665e-06
Position 372: 5.650153368543323e-06
Position 403: 5.056223862519057e-06
Position 139: 4.626366765341206e-06
Position 1130: 3.952166277876751e-06
Position 1292: 3.5878424627513464e-06
Position 1619: 2.8752533455257308e-06
Position 602: 2.6820776197485695e-06
Position 604: 2.4361404269497037e-06
Position 950: 1.8916272976483786e-06
Position 1463: 1.4196127439127528e-06
Position 1712: 1.026908114317506e-06
Position 133: 9.088009289929857e-07
Position 757: 7.093553124161799e-07
Position 1768: 7.052797576019474e-07
Position 1449: 6.700533147170357e-07
Position 136: 1.9165788337691064e-07
Position 1287: 1.6145116326587307e-07
Position 1723: 6.079692539944084e-08
Position 1209: 2.9314074807147847e-08
Position 745: 1.863056168049408e-09
Position 1232: 6.415595663948234e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 743: 0.9983486483829893
Position 1414: 0.9933019696455074
Position 1232: 0.9799401629740828
Position 1622: 0.8119905274646558
Position 950: 0.1413887001569122
Position 305: 0.1284802954063292
Position 861: 0.12189784052793515
Position 1634: 0.045224162117068006
Position 539: 0.005676539210770633
Position 367: 0.005154515667480807
Position 587: 0.004427802259691536
Position 145: 0.0033064168075826036
Position 960: 0.003288298908675431
Position 1454: 0.002506693840793727
Position 133: 0.0023675889738721816
Position 1930: 0.002222496825805171
Position 542: 0.002154008056409125
Position 326: 0.0017027120739460638
Position 492: 0.0013403030374101851
Position 1644: 0.0011969998964139045
Position 1889: 0.0011154401362107318
Position 764: 0.0006690963952215745
Position 1285: 0.0006355698002577736
Position 993: 0.0003077593870363557
Position 1683: 0.00021105015584120873
Position 420: 0.00021027190095824276
Position 168: 0.00017943054016425792
Position 468: 0.00017693146515524642
Position 1664: 0.00015264865643733387
Position 1120: 0.0001428461853157742
Position 873: 0.00010881211322541823
Position 1937: 9.51938153502736e-05
Position 183: 8.02482520025188e-05
Position 774: 7.354960527223166e-05
Position 591: 6.803283267066426e-05
Position 957: 5.1087871102462536e-05
Position 246: 4.9483167669085424e-05
Position 117: 4.5837089656174244e-05
Position 1385: 4.518694442662914e-05
Position 792: 4.3583145766540906e-05
Position 163: 4.17594494724267e-05
Position 1487: 3.875164360817919e-05
Position 272: 3.6239517358433075e-05
Position 966: 3.1041257187914706e-05
Position 1137: 2.2142634842600915e-05
Position 1474: 1.6122171059986145e-05
Position 1698: 1.365761559930664e-05
Position 177: 1.1232750833303424e-05
Position 1750: 9.326918891201844e-06
Position 1917: 7.832531811347393e-06
Position 1463: 7.796200587503155e-06
Position 1765: 7.496504618156149e-06
Position 1251: 7.2005955384060674e-06
Position 1507: 6.837415366394545e-06
Position 1382: 5.1194243919389976e-06
Position 1898: 4.884407910486555e-06
Position 1304: 4.883301830186281e-06
Position 594: 4.742207962345821e-06
Position 969: 3.854948601034738e-06
Position 995: 3.6418007151377057e-06
Position 1025: 3.1306706168579754e-06
Position 972: 3.1303645680862046e-06
Position 392: 2.2939248847050463e-06
Position 1586: 1.9784708745138926e-06
Position 1909: 1.7709981014785614e-06
Position 384: 1.5773914396222697e-06
Position 1857: 1.4919012579090509e-06
Position 1002: 9.063256403723365e-07
Position 1143: 7.860384392302003e-07
Position 546: 5.490646820021876e-07
Position 622: 5.269939337116579e-07
Position 1000: 3.6501733892272275e-07
Position 1800: 3.5682515830947806e-07
Position 1768: 3.475727660439272e-07
Position 285: 3.1425894879539687e-07
Position 801: 2.3567503189335732e-07
Position 660: 1.5622198660605182e-07
Position 745: 1.5601686915862075e-07
Position 196: 1.2569289530343762e-07
Position 1287: 1.2488768041178954e-07
Position 663: 1.1129424093232108e-07
Position 258: 9.853848661644445e-10
Position 254: 2.664133189330988e-10
