Gene = TfIIEalpha
index = 1553
Annotated 5SS: [ 185 1370]
Annotated 3SS: [ 262 1437]
SMsplice 5SS: [ 185 1370]
SMsplice 3SS: [ 262 1437]
top_k =  500
Partition function (log Z): 0.41906042361808404

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9935492940832545
Position 1370: 0.8473548551971423
Position 566: 0.08216785442152968
Position 1292: 0.04688150265340008
Position 330: 0.030956353752914518
Position 379: 0.0057190727355444166
Position 194: 0.004730244309703731
Position 1010: 0.0033193690222023055
Position 580: 0.0024064457847258573
Position 427: 0.0020777944495828137
Position 1093: 0.001148260371858863
Position 1596: 0.0010596267219821535
Position 653: 0.0007094623897410138
Position 343: 0.0006847053188232254
Position 876: 0.0006278493762318862
Position 683: 0.0006219316669735581
Position 489: 0.0005737400465592407
Position 525: 0.00042518252408049577
Position 325: 0.000370523777188941
Position 671: 0.0002441070059219369
Position 627: 0.00019270555093025256
Position 1300: 0.00017032677465181516
Position 1107: 0.00011936398324413638
Position 895: 0.00011706505269303912
Position 1636: 0.00010418738363710678
Position 922: 9.6012016720338e-05
Position 98: 7.146868892957265e-05
Position 189: 6.07387080369132e-05
Position 1236: 5.7795656192991516e-05
Position 692: 5.0856781016397174e-05
Position 890: 4.4899886900948175e-05
Position 622: 4.4719762459359047e-05
Position 1180: 4.155643890881337e-05
Position 353: 3.478956560516707e-05
Position 619: 2.6287403789855093e-05
Position 1661: 2.0927865870532237e-05
Position 1138: 1.850054254470232e-05
Position 1410: 1.8159855250345896e-05
Position 376: 1.712613288112019e-05
Position 171: 1.644697172388255e-05
Position 180: 1.2758918679829336e-05
Position 383: 7.4588959676426525e-06
Position 1005: 6.650895818536817e-06
Position 30: 5.963986656066844e-06
Position 1052: 2.85953054557169e-06
Position 774: 2.6464545865846063e-06
Position 165: 2.3072178544776007e-06
Position 791: 2.173419081472463e-06
Position 613: 1.9623697633595542e-06
Position 149: 1.904183955202862e-06
Position 699: 1.5799560309871587e-06
Position 1002: 1.309489904799085e-06
Position 468: 1.0210304812548114e-06
Position 796: 9.455590857566824e-07
Position 1240: 8.117915479460532e-07
Position 1039: 7.700486842781637e-07
Position 1503: 7.354363283196268e-07
Position 1060: 6.902979770872173e-07
Position 334: 5.467635053094255e-07
Position 768: 5.22150074160555e-07
Position 1422: 3.6946205587483433e-07
Position 1672: 2.357368096542984e-07
Position 50: 6.159890893369234e-09
Position 229: 1.929902985185798e-09
Position 747: 2.898123908589889e-10
Position 710: 1.6826438079939103e-10
Position 1428: 1.488439626955027e-10
Position 708: 1.0659822333056182e-13
Position 279: 2.860507535326331e-17
Position 276: 3.630862115579928e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.9916515522549327
Position 1437: 0.9818615429173785
Position 791: 0.006967676482744568
Position 1251: 0.006800349932326596
Position 864: 0.006386496241491369
Position 1129: 0.006303423590326263
Position 1470: 0.006078496942781539
Position 1325: 0.005917395150537569
Position 1185: 0.003097429999225764
Position 847: 0.0020197831326744958
Position 1218: 0.0020059333489452122
Position 627: 0.0013394222801736536
Position 633: 0.001032199362572113
Position 606: 0.0010194310959620863
Position 1691: 0.0006164330931799163
Position 894: 0.0006123865995983778
Position 447: 0.0004578263916837459
Position 298: 0.0004177015682376155
Position 1719: 0.00035798901731043273
Position 736: 0.00027008346347390667
Position 1334: 0.0001949034740860595
Position 870: 0.00019117156734526136
Position 744: 0.00018884619687809255
Position 686: 0.0001591984803076834
Position 402: 0.00015382683243313422
Position 1647: 0.00015018420525225463
Position 483: 9.156869292613008e-05
Position 921: 7.835427997775156e-05
Position 450: 7.538359941514486e-05
Position 1509: 7.15728058001895e-05
Position 486: 5.7033267837867405e-05
Position 651: 5.6218907008732514e-05
Position 149: 5.16231406682545e-05
Position 1107: 4.3997330233165336e-05
Position 1672: 4.2030763782145395e-05
Position 1708: 3.96223591349142e-05
Position 534: 3.2567755530593514e-05
Position 307: 2.8579248202010138e-05
Position 825: 2.4920838177851197e-05
Position 829: 2.0830374769864192e-05
Position 539: 2.0003380831528488e-05
Position 80: 5.528086555615894e-06
Position 1557: 5.216887325834852e-06
Position 1481: 4.952598816948977e-06
Position 1607: 4.204529832569807e-06
Position 229: 9.581803878725713e-07
Position 489: 3.961651983526408e-07
Position 1365: 3.955332202888902e-07
Position 353: 2.2740298840746747e-07
Position 313: 1.5093052221270678e-07
Position 101: 1.2536914038217245e-07
Position 87: 1.1107978443330486e-07
Position 111: 3.300984216740407e-08
Position 350: 3.109807435013686e-08
Position 165: 9.992382011162048e-09
Position 84: 5.368402276273045e-09
Position 318: 4.046664920564498e-09
Position 525: 1.4013468951820108e-09
Position 178: 7.208327424688854e-10
Position 324: 6.350212302775376e-11
Position 480: 5.195808446688786e-11
Position 218: 2.702050209923096e-11
Position 494: 1.3107203284377568e-11
Position 180: 3.47428297531868e-13
Position 342: 1.2565428066883996e-13
Position 189: 1.776245725245063e-14
Position 360: 1.3245424168415086e-14
Position 198: 1.141758283597324e-16
Position 201: 3.017096169351402e-18
