Gene = msb1l
index = 1799
Annotated 5SS: [274]
Annotated 3SS: [338]
SMsplice 5SS: [274]
SMsplice 3SS: [338]
top_k =  500
Partition function (log Z): -4.841705116093833

Sorted 5' Splice Sites (High to Low Probability):
Position 274: 0.9912014591715159
Position 498: 0.09237873231846254
Position 552: 0.011633233390323698
Position 293: 0.008344704624460733
Position 756: 0.00541547293221026
Position 1361: 0.0006626169993736301
Position 1002: 0.000494721370132283
Position 556: 0.00045573967975113
Position 594: 0.00018231716186428593
Position 1317: 0.0001601874689509682
Position 59: 0.0001551339528892005
Position 424: 0.00013721681200399308
Position 1165: 7.612046313258069e-05
Position 125: 6.950751828886624e-05
Position 278: 6.748999844200688e-05
Position 1095: 5.524300918843227e-05
Position 1129: 4.973037773468396e-05
Position 486: 4.746717436916031e-05
Position 635: 3.008533473100542e-05
Position 502: 2.567383152226684e-05
Position 725: 2.5638015458053773e-05
Position 1088: 1.7840312447877804e-05
Position 394: 1.4469483559040149e-05
Position 1299: 9.861072005087506e-06
Position 78: 9.425840972267556e-06
Position 669: 6.427586365077537e-06
Position 1139: 4.85895797128036e-06
Position 796: 2.4421146003808196e-06
Position 1170: 2.4341621992397236e-06
Position 1012: 2.345819453572744e-06
Position 975: 1.252070154166034e-06
Position 573: 6.57754221043682e-07
Position 66: 5.739697771968784e-07
Position 1021: 5.041319609893712e-07
Position 384: 3.898813771331876e-08
Position 318: 3.091103401996173e-08
Position 332: 1.0432009024871282e-09
Position 350: 8.522404473382385e-10
Position 540: 7.139977070823217e-10
Position 335: 3.927930709407871e-10
Position 363: 1.9744021153521837e-10
Position 338: 1.9806214693076278e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 338: 0.6231021215160671
Position 347: 0.35712986782121325
Position 550: 0.06837052718396348
Position 318: 0.014150006462070989
Position 1417: 0.011061336900309136
Position 716: 0.00893008312080591
Position 814: 0.005410747282793698
Position 1244: 0.005336813912993646
Position 689: 0.003552614672006132
Position 780: 0.002284093195177834
Position 467: 0.0018870899696179556
Position 1165: 0.0018842981457178364
Position 731: 0.001756864530636217
Position 603: 0.0012552237837697743
Position 566: 0.0009106564645427697
Position 922: 0.0008515067771807223
Position 665: 0.0005606881607322865
Position 1211: 0.00046077607568766234
Position 594: 0.00042652545755702826
Position 1151: 0.0002623385554307455
Position 371: 0.00017123116431740329
Position 561: 0.00011923562693112658
Position 785: 0.0001158296818368875
Position 1223: 0.00011170748975233068
Position 1220: 0.00010018743190789947
Position 374: 9.644306638395543e-05
Position 931: 9.327655825804012e-05
Position 1129: 9.32709812544441e-05
Position 1281: 9.034141130156485e-05
Position 108: 8.86919856542233e-05
Position 368: 8.702717867569947e-05
Position 1361: 8.353922685354164e-05
Position 377: 8.292928252160034e-05
Position 1312: 8.081058733567809e-05
Position 1175: 7.890970876989008e-05
Position 1229: 6.0960246131498645e-05
Position 124: 5.509409134740903e-05
Position 860: 5.201723233599958e-05
Position 755: 4.039585935224584e-05
Position 693: 3.8718168226747234e-05
Position 394: 3.646607939384908e-05
Position 962: 3.4042555382306723e-05
Position 573: 3.290734448218235e-05
Position 749: 3.048319873747856e-05
Position 173: 2.914748333879195e-05
Position 1080: 2.811026063849113e-05
Position 434: 2.555275192165195e-05
Position 857: 2.446793710250274e-05
Position 1019: 2.2427124619796227e-05
Position 1048: 2.081261588422876e-05
Position 788: 2.0647805806329097e-05
Position 1064: 1.5771935053975795e-05
Position 734: 1.483873931619329e-05
Position 497: 1.1037277050494272e-05
Position 965: 1.0359526172348251e-05
Position 1121: 9.695928692491718e-06
Position 619: 9.469216668569458e-06
Position 934: 9.263694208105994e-06
Position 1181: 7.50666615362998e-06
Position 180: 7.076751193945293e-06
Position 959: 4.358618768359302e-06
Position 1040: 3.888820213506418e-06
Position 605: 3.4148653910303497e-06
Position 380: 2.2999909680410725e-06
Position 1317: 1.6131153659460176e-06
Position 184: 1.1780433805490019e-06
Position 285: 1.835326798693645e-08
Position 214: 3.1676191938872445e-09
Position 103: 1.1107404345221148e-09
Position 292: 5.2590359909407706e-11
Position 278: 1.463919006157965e-12
Position 216: 1.3465994253374066e-13
