Gene = KdelR
index = 1243
Annotated 5SS: [122]
Annotated 3SS: [188]
SMsplice 5SS: [122]
SMsplice 3SS: [188]
top_k =  500
Partition function (log Z): -8.18023105892124

Sorted 5' Splice Sites (High to Low Probability):
Position 122: 0.502478638805597
Position 117: 0.4646035177627343
Position 1663: 0.10093393416037316
Position 517: 0.033318530776920784
Position 449: 0.021107811940977238
Position 108: 0.01296449244001972
Position 790: 0.007856685017448928
Position 476: 0.006196416900455278
Position 1251: 0.002952952536230157
Position 695: 0.0028886760633566114
Position 1457: 0.0026731605682915765
Position 1086: 0.0022381929007916786
Position 467: 0.001695133179866324
Position 1165: 0.0013796154095391442
Position 257: 0.0010765767077042343
Position 995: 0.0008189589820129838
Position 1452: 0.0007943407349541299
Position 853: 0.0007218204851240516
Position 1520: 0.0007104982469182652
Position 265: 0.0005922063908355709
Position 1375: 0.0004274481733537065
Position 1152: 0.000378565084346827
Position 1341: 0.00023649821754794848
Position 1427: 0.00021943103752413042
Position 508: 0.00021142439991856779
Position 410: 0.00019883238704865172
Position 457: 0.00019138635378175583
Position 797: 0.00018367131496876022
Position 1174: 0.0001778307208388825
Position 1422: 0.00017645113693043937
Position 605: 0.0001756457831472814
Position 1122: 0.00016936200171165607
Position 498: 0.00013234167381693347
Position 989: 0.00013058204472443194
Position 49: 0.00010783862661170724
Position 1033: 0.00010528794389265888
Position 132: 9.190645603184352e-05
Position 626: 8.032260287090833e-05
Position 224: 8.022454967315954e-05
Position 521: 4.928549362752671e-05
Position 191: 4.048117444157224e-05
Position 88: 3.813693568757787e-05
Position 165: 3.4327655153288464e-05
Position 493: 3.2630302705701025e-05
Position 948: 2.9001689439101172e-05
Position 782: 2.5513699790910574e-05
Position 754: 2.4754458491204486e-05
Position 506: 2.424224154846515e-05
Position 1021: 2.282125672632825e-05
Position 581: 1.8335581375588577e-05
Position 1040: 1.7246151505714116e-05
Position 1327: 1.6878233161824873e-05
Position 586: 1.6682488396622045e-05
Position 1083: 1.5404050853698836e-05
Position 526: 1.502693628483194e-05
Position 388: 1.4340095435878086e-05
Position 367: 1.4022672979530798e-05
Position 478: 1.177064137452572e-05
Position 407: 1.0389392411831502e-05
Position 938: 1.023603415477569e-05
Position 320: 9.391011466156594e-06
Position 887: 8.900010585541715e-06
Position 400: 6.248142083838512e-06
Position 27: 1.1731161760209095e-06
Position 21: 6.826958965270505e-07
Position 836: 9.741644926771905e-08
Position 322: 8.770524770973417e-08
Position 481: 7.396205852940087e-08
Position 619: 2.9159361233424406e-08
Position 635: 1.7933321618593173e-08
Position 436: 8.876727941127035e-09
Position 313: 1.9539651008164654e-09
Position 200: 1.6832859874949462e-09
Position 195: 2.4056399751066424e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 188: 0.9723564462983526
Position 1719: 0.13621323137156977
Position 1508: 0.023686012427331777
Position 526: 0.008206162008426774
Position 1452: 0.0050146626864068
Position 1618: 0.0045228855463760025
Position 208: 0.0034891147572764557
Position 1214: 0.002945854669717931
Position 1569: 0.0028877758392985967
Position 532: 0.0024834871627214235
Position 887: 0.0024561135979197625
Position 1739: 0.002093247713379431
Position 1390: 0.0019692410085576295
Position 165: 0.0013582882694476498
Position 349: 0.00037615497222529
Position 1327: 0.00033143035571402217
Position 1251: 0.0003284699465071881
Position 685: 0.00023971679569478573
Position 214: 0.00022400671141940758
Position 895: 0.00021118771647586648
Position 695: 0.00010204594777570249
Position 844: 9.077019481376594e-05
Position 1366: 8.010515524790814e-05
Position 1122: 7.749910334847114e-05
Position 702: 6.285180886382664e-05
Position 394: 5.8995546357247584e-05
Position 729: 5.3983492361756395e-05
Position 993: 2.7015139954484638e-05
Position 252: 2.6668773239384403e-05
Position 240: 1.1946859472437729e-05
Position 358: 1.9142727822176633e-08
Position 277: 1.901794361856101e-08
Position 100: 1.2228463103825228e-08
Position 129: 1.0536507243969603e-08
Position 388: 8.694303687334686e-09
Position 220: 5.708385299747255e-09
Position 260: 3.741449453305964e-09
Position 475: 4.3906337434159496e-10
Position 227: 2.236416680467307e-10
Position 108: 1.6035371505091305e-12
Position 70: 1.0794830926512417e-12
Position 224: 1.5199068292118934e-13
Position 257: 5.3707350575856056e-14
