Gene = B4
index = 40
Annotated 5SS: [  197  2418 14422 36369 39862 40708]
Annotated 3SS: [ 2024 14301 35854 39535 40223 42644]
SMsplice 5SS: [  197  2418  5901  7149  8136 14422 39862 40708]
SMsplice 3SS: [ 2166  5801  5998  7336 14301 39535 40223 48680]
top_k =  500
Partition function (log Z): -8.056893701016866

Sorted 5' Splice Sites (High to Low Probability):
Position 14422: 0.999999721651944
Position 40708: 0.9988134063508728
Position 5901: 0.9651578078706422
Position 7149: 0.932341714536801
Position 2418: 0.8974792543285511
Position 8136: 0.39151882628569085
Position 197: 0.31909153429515547
Position 42838: 0.3102968981791493
Position 6505: 0.27111357391074775
Position 7814: 0.20973445292560597
Position 19830: 0.1870273670799424
Position 888: 0.16792755953602248
Position 7444: 0.13016198637812743
Position 128: 0.09969697352076098
Position 8383: 0.0992297637134212
Position 223: 0.09864886676901723
Position 9450: 0.08960661252246443
Position 8595: 0.08767345601889429
Position 6806: 0.08750633127646065
Position 6158: 0.084332322418314
Position 124: 0.08296472169821341
Position 816: 0.06607697557904721
Position 7807: 0.0423158790549431
Position 3280: 0.03728375597551644
Position 41356: 0.03415048788166731
Position 118: 0.03352237485945468
Position 42963: 0.032966611443804805
Position 42967: 0.03066774439548091
Position 1846: 0.030600731062009154
Position 898: 0.029299070264566685
Position 508: 0.02798752196811548
Position 136: 0.025421387276824907
Position 2701: 0.025276244023909003
Position 7673: 0.024481450321801598
Position 43352: 0.022746293283043416
Position 43250: 0.02050526291317274
Position 6298: 0.018019122311266376
Position 7117: 0.01536331278128506
Position 5912: 0.014908937512737612
Position 2058: 0.014751983881368237
Position 7544: 0.012405856800388686
Position 19409: 0.012217706962888129
Position 1776: 0.011442267727021059
Position 114: 0.010787834920071392
Position 8205: 0.010365479021141306
Position 925: 0.009419426370196908
Position 913: 0.008463590812353476
Position 8047: 0.008386850686891283
Position 41091: 0.00799819590421159
Position 8379: 0.007865964927055775
Position 175: 0.007590507421446839
Position 840: 0.007350367029190796
Position 89: 0.00722145664014217
Position 41776: 0.0069558518682351165
Position 7607: 0.006007277324038662
Position 4350: 0.00597051527198243
Position 918: 0.005758339150868599
Position 6162: 0.005411843462053474
Position 1636: 0.005284274825103266
Position 43033: 0.0052549429665692616
Position 310: 0.0051765013358731305
Position 41394: 0.004909137156336596
Position 1577: 0.004527164641623814
Position 42997: 0.004292032792622152
Position 942: 0.004169319320958617
Position 138: 0.003922019554434826
Position 10384: 0.003868269747451646
Position 1325: 0.003757899254374389
Position 1843: 0.0035791136514823725
Position 93: 0.0035171130566985917
Position 948: 0.0032931099578848906
Position 8918: 0.002737201447779951
Position 6120: 0.002612652664194507
Position 18843: 0.00256336443808664
Position 7493: 0.002324035979059393
Position 83: 0.002291134600083942
Position 1070: 0.0021394215762343643
Position 2239: 0.0019606119890111084
Position 1687: 0.0018760289107328423
Position 2532: 0.0018033169578373846
Position 6514: 0.0017659858447031456
Position 8223: 0.0017223681491991731
Position 7516: 0.0017216254788085194
Position 6747: 0.0015984612065918888
Position 122: 0.00124668282324885
Position 211: 0.0012263530391257394
Position 2220: 0.0012170875867021384
Position 9371: 0.0010903173045766763
Position 51: 0.0007370787434122077
Position 878: 0.0007176189607650775
Position 669: 0.0007171279739451506
Position 974: 0.0007003139706873111
Position 477: 0.0006019302646181961
Position 6207: 0.00042915900503633244
Position 7067: 0.000415517905307458
Position 1517: 0.00035098106002638766
Position 42733: 0.0002776394401003457
Position 6105: 0.00018642619290029728
Position 324: 0.00017302039152611157
Position 977: 0.00016824195647512956
Position 110: 0.0001080909222992789
Position 350: 0.00010358412509351228
Position 3278: 9.826043426827914e-05
Position 407: 8.492877056447784e-05
Position 7799: 8.179533592666761e-05
Position 2658: 7.552946309464621e-05
Position 6136: 7.110549628482487e-05
Position 6111: 6.991763197018059e-05
Position 8115: 6.259656909964117e-05
Position 2682: 4.509890554114212e-05
Position 489: 4.233725322057027e-05
Position 6213: 4.052402953452211e-05
Position 619: 3.630786190737577e-05
Position 6329: 3.612435393277149e-05
Position 929: 2.99445317495052e-05
Position 3052: 2.610388185551763e-05
Position 3063: 2.6044551800706514e-05
Position 6220: 2.515670705257446e-05
Position 116: 2.5078451647769076e-05
Position 140: 2.4726227408039282e-05
Position 2555: 2.1202386010515928e-05
Position 480: 1.988526611130357e-05
Position 61: 1.5596387456530196e-05
Position 97: 1.4631112610576526e-05
Position 77: 1.4253351606518144e-05
Position 16816: 1.0003530465364762e-05
Position 2599: 9.284102836280278e-06
Position 103: 7.3889362942308625e-06
Position 36: 5.912378919858693e-06
Position 523: 5.085478286670803e-06
Position 71: 4.9141937129578346e-06
Position 992: 4.756193181300956e-06
Position 30: 4.2899165254041846e-06
Position 188: 4.0661068885679385e-06
Position 142: 3.953470621487119e-06
Position 151: 3.5557182553514314e-06
Position 440: 3.056642679873627e-06
Position 855: 2.395263236677067e-06
Position 55: 2.366243216887033e-06
Position 398: 1.3795664355043152e-06
Position 355: 1.3202642829984199e-06
Position 20: 1.1409973358054448e-06
Position 687: 7.518035457173223e-07
Position 156: 6.186580438218076e-07
Position 91: 5.87652774298837e-07
Position 161: 4.913213221392033e-07
Position 16341: 3.0091224603777037e-07
Position 69: 2.435905955687024e-07
Position 18: 2.4232816858440726e-07
Position 14426: 2.288086649057508e-07
Position 14925: 2.023951939011314e-07
Position 600: 1.8571937705521642e-07
Position 14953: 1.514425548827987e-07
Position 362: 9.791195614041224e-08
Position 14921: 5.569687065530654e-08
Position 15323: 3.363628925997931e-08
Position 782: 2.3921821393238374e-08
Position 158: 3.95500717676328e-09
Position 14665: 2.527893015043631e-09
Position 14659: 1.2808007158436836e-09
Position 19826: 1.935679646258108e-15
Position 16588: 2.296357160905517e-18
Position 16165: 2.5713706797370887e-19
Position 14929: 8.620534698669077e-20
Position 14430: 8.691732379423444e-21
Position 15605: 3.1307229951324168e-22
Position 14981: 3.0453686256542453e-22

Sorted 3' Splice Sites (High to Low Probability):
Position 14301: 1.0000000000000004
Position 40223: 0.9989048019519164
Position 5998: 0.973999515372695
Position 7336: 0.9051769126270716
Position 2166: 0.7915682598914049
Position 42644: 0.5873641771831026
Position 5801: 0.5376594040068285
Position 48680: 0.42916649439135385
Position 6562: 0.3165834150491755
Position 5830: 0.3061495402203017
Position 47247: 0.2123432643403586
Position 19679: 0.15449857568909683
Position 7875: 0.10918679519738624
Position 6870: 0.10869738254448458
Position 397: 0.0897388615463816
Position 5699: 0.07614056579855877
Position 1136: 0.06716639364674849
Position 43027: 0.06005337407274166
Position 8275: 0.05957275861220691
Position 40980: 0.05655382794308257
Position 45155: 0.040613720169565486
Position 19293: 0.0381511073019917
Position 5721: 0.031769052573066794
Position 43617: 0.03131470135784004
Position 577: 0.0302462734454349
Position 2583: 0.029877210475467
Position 9197: 0.02783779658491905
Position 43923: 0.022215034611005314
Position 2195: 0.019744886875121284
Position 5769: 0.017390601215792632
Position 2745: 0.01402425710704123
Position 3155: 0.01395795796676671
Position 43315: 0.013148929522138125
Position 8657: 0.012279453820088247
Position 43090: 0.010378790955323897
Position 9294: 0.010134254568247384
Position 18927: 0.006595391051745286
Position 43894: 0.0062893254129640875
Position 6802: 0.006002315311415846
Position 6451: 0.0058913919384538495
Position 3703: 0.004397589316463489
