Gene = hoip
index = 1729
Annotated 5SS: [147]
Annotated 3SS: [208]
SMsplice 5SS: [147]
SMsplice 3SS: [208]
top_k =  500
Partition function (log Z): -2.9645631050500194

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9988740541308643
Position 123: 0.0006320457261552613
Position 117: 0.00021794118558541849
Position 91: 0.00012973693931677278
Position 449: 0.00010441409777701212
Position 161: 0.00010157651642085576
Position 375: 6.608603080757199e-05
Position 418: 3.489307764884313e-05
Position 151: 2.6917803722429132e-05
Position 362: 2.689890945692544e-05
Position 11: 2.0849875267005083e-05
Position 218: 1.446266914599109e-05
Position 365: 1.2132645581890487e-05
Position 53: 9.910433533416453e-06
Position 71: 8.005375919732895e-06
Position 474: 6.749121046540738e-06
Position 434: 3.78507237142709e-06
Position 31: 3.7639872304602764e-06
Position 177: 2.093160322909621e-06
Position 33: 1.8537738038618108e-06
Position 443: 1.6398174535920115e-06
Position 541: 1.5282591558489733e-06
Position 191: 1.7533300271410135e-07
Position 453: 1.0880495587910158e-07
Position 478: 8.606447915669862e-08
Position 485: 6.844969142392187e-09
Position 512: 6.049094088685929e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 208: 0.9997736322278169
Position 500: 0.00013364504764773916
Position 463: 0.00010861255596674829
Position 229: 6.63893805717486e-05
Position 283: 5.179514979382666e-05
Position 253: 3.6876721278532165e-05
Position 214: 3.1880060911621036e-05
Position 460: 2.2803098682127874e-05
Position 191: 2.1122704866364354e-05
Position 71: 1.7699213807466558e-05
Position 117: 1.111881031749377e-05
Position 265: 6.364111893446537e-06
Position 600: 5.253600265415721e-06
Position 287: 3.6007511005152463e-06
Position 430: 2.8208167197959445e-06
Position 531: 2.6043057413430184e-06
Position 313: 1.2052912741037887e-06
Position 565: 1.0724914031599496e-06
Position 138: 5.379307746522003e-07
Position 526: 5.369517007223075e-07
Position 123: 4.133425950056557e-07
Position 568: 2.791280850837523e-07
Position 424: 2.7238513733077844e-07
Position 624: 2.2156555578953472e-07
Position 607: 1.5930947385935395e-07
Position 562: 1.5198859659052227e-07
Position 535: 1.377847663795667e-07
Position 218: 1.045604975041445e-07
Position 76: 1.0415838756246786e-07
Position 104: 9.737682466372878e-08
Position 79: 9.000479151726725e-08
Position 165: 6.387014954717278e-08
Position 151: 2.5246761718810282e-08
Position 547: 1.5465641810568208e-08
Position 394: 5.3574959396596895e-09
Position 584: 3.2718085763282693e-09
Position 485: 3.1124594873655334e-09
Position 541: 2.537423209116648e-09
Position 83: 1.4186226802715105e-11
Position 90: 1.4035648358039161e-12
Position 172: 3.7287062862346464e-13
Position 88: 1.3582115598912807e-13
Position 174: 3.921029331819909e-15
Position 334: 1.3272083332434468e-15
