Gene = pigeon
index = 1836
Annotated 5SS: [ 150  613  978 2200 2489 2763 3058]
Annotated 3SS: [ 207  675 1035 2255 2547 2832 3402]
SMsplice 5SS: [ 150  613  978 2200 2489 2763 3058 3286]
SMsplice 3SS: [ 207  675 1035 2255 2547 2832 3138 3402]
top_k =  500
Partition function (log Z): 22.28279385871828

Sorted 5' Splice Sites (High to Low Probability):
Position 613: 0.990119122048273
Position 2489: 0.9891301737729741
Position 978: 0.9785313139602098
Position 2200: 0.969866262046499
Position 2763: 0.9543320667410635
Position 3286: 0.9329641841594358
Position 150: 0.9256758855127643
Position 3058: 0.865534284264718
Position 1840: 0.11422975078846556
Position 468: 0.06260923560219438
Position 2767: 0.02804973995321618
Position 3073: 0.02145446816612802
Position 982: 0.019767054960796466
Position 2704: 0.009669732728586457
Position 1825: 0.00914388229865824
Position 1844: 0.0025924187592538373
Position 1996: 0.0025581024304309396
Position 373: 0.0018761171416094998
Position 2735: 0.0016163008078243675
Position 975: 0.0014053595816978122
Position 1393: 0.0013318788777061444
Position 2741: 0.0012736735804773451
Position 2493: 0.0011006315680387587
Position 617: 0.0009201100454563042
Position 3557: 0.0009058462983287698
Position 3260: 0.0006690447859617943
Position 2430: 0.0006611167286661272
Position 1426: 0.0005601793619728189
Position 2223: 0.0005474902480635066
Position 3027: 0.0005281564797652755
Position 1482: 0.0004902978041125075
Position 3641: 0.0004812389192133807
Position 624: 0.0004751128561184147
Position 3550: 0.00044677097693725986
Position 2643: 0.0003451710283312184
Position 1530: 0.000335711642334096
Position 3805: 0.0003324393810554347
Position 2497: 0.0002958999912817519
Position 1246: 0.0002920099732437122
Position 154: 0.00020564649161437928
Position 3569: 0.00018298631108031559
Position 2384: 0.00017961293503593028
Position 3589: 0.00017844225828423375
Position 3305: 0.00017390417638083272
Position 812: 0.0001622419553292547
Position 3647: 0.00015689824845762962
Position 2197: 0.00015435158429629315
Position 3337: 0.00015186672267874794
Position 2512: 0.00014631040881047478
Position 2483: 0.00013004811258092485
Position 1292: 0.00012585768936665184
Position 2756: 0.00011751053191992043
Position 2909: 0.00010963379346872788
Position 594: 0.00010590186117240613
Position 2476: 0.00010212155575635029
Position 2997: 9.998836379260935e-05
Position 278: 9.889995190770938e-05
Position 1574: 9.379098551151291e-05
Position 1690: 9.015986310950676e-05
Position 2096: 8.259729159098792e-05
Position 2983: 7.314472189606315e-05
