Gene = bbg
index = 1624
Annotated 5SS: [   238   2716  25373  28663 121510 121707 122197 122702]
Annotated 3SS: [  2553  23005  26356 119080 121577 121781 122560 122765]
SMsplice 5SS: [   795   2716  16179  16388 121510 121707 122197 122702]
SMsplice 3SS: [  1596  15609  16249 119080 121577 121781 122560 122765]
top_k =  500
Partition function (log Z): -136.05708342268412

Sorted 5' Splice Sites (High to Low Probability):
Position 16179: 0.8578499988560393
Position 2716: 0.7846361890818238
Position 795: 0.6513974706001937
Position 16388: 0.20384868792385297
Position 16449: 0.19651729621618663
Position 1734: 0.15674912199325286
Position 16407: 0.14501407581729722
Position 16763: 0.12990981470175447
Position 2503: 0.12498921887377239
Position 10909: 0.12038366596621235
Position 238: 0.0858048003942781
Position 545: 0.08246027942197681
Position 2431: 0.05106358018962977
Position 1019: 0.047512228010403355
Position 154: 0.04137399296826425
Position 1824: 0.032470304571282846
Position 1920: 0.02190610519825246
Position 1727: 0.019160634378673193
Position 844: 0.014342721937637335
Position 437: 0.009456922509491083
Position 539: 0.008286773320428549
Position 1419: 0.006132949716820029
Position 12: 0.006077839907440295
Position 502: 0.006061250856579354
Position 1493: 0.004323771434719128
Position 222: 0.004171195851110568
Position 1390: 0.003833338431389825
Position 269: 0.003640573654409269
Position 529: 0.003566823187472014
Position 747: 0.0032458243418070046
Position 883: 0.0031016222282221045
Position 479: 0.002698391405501474
Position 2191: 0.0024280874564047298
Position 340: 0.001980427346944352
Position 190: 0.0018540068256993475
Position 662: 0.0018297122516883558
Position 964: 0.001740294787308204
Position 1172: 0.0014881458317239828
Position 147: 0.0014725439544732656
Position 1926: 0.001227318111583612
Position 1999: 0.0008808918378470477
Position 650: 0.0007913232682327868
Position 40: 0.0007850535329907007
Position 160: 0.000752511848591845
Position 15882: 0.00044429929791109634
Position 1377: 0.00042676267496720546
Position 859: 0.00038791989427785345
Position 18038: 0.00038041891004684153
Position 231: 0.00034523966364823517
Position 332: 0.00033884765409914353
Position 799: 0.0003333639491349983
Position 98: 0.00027714269230123497
Position 1317: 0.00027664016648230286
