Gene = Skadu
index = 1503
Annotated 5SS: [94]
Annotated 3SS: [148]
SMsplice 5SS: [94]
SMsplice 3SS: [148]
top_k =  500
Partition function (log Z): -6.816984792145398

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9902068225589143
Position 484: 0.032031934670757434
Position 323: 0.02351982480540068
Position 532: 0.019755580693863968
Position 361: 0.006589903368337692
Position 385: 0.003521444575996385
Position 302: 0.000628228360205122
Position 215: 0.0004279530711205629
Position 98: 0.00040788160808187
Position 541: 0.00026228739102488943
Position 389: 0.0002429525753981045
Position 58: 0.00023222230337066472
Position 206: 1.5397246465447926e-05
Position 235: 5.832876872243258e-06
Position 73: 3.552491558864419e-06
Position 589: 2.892370055716403e-06
Position 452: 1.8846355375030473e-06
Position 266: 1.7100846691149184e-06
Position 661: 1.370135009428482e-06
Position 416: 6.343428735440252e-07
Position 594: 6.030893704584837e-07
Position 582: 4.297918000027861e-07
Position 624: 6.65370626559031e-08
Position 178: 5.444285588045979e-08
Position 227: 1.6597954889338877e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 148: 0.9109842681032184
Position 198: 0.04683243737440582
Position 582: 0.04253506466419437
Position 412: 0.03584155229749524
Position 629: 0.01932452303355337
Position 445: 0.010492226292702238
Position 251: 0.006463769593040046
Position 150: 0.001271943410623624
Position 651: 0.0009127133053765482
Position 594: 0.000603351694441296
Position 541: 0.0004734363587258781
Position 361: 0.0003623689366575769
Position 232: 0.00022798471499234436
Position 235: 0.00020852327939859428
Position 510: 0.00017915167340457622
Position 466: 0.00014675973364231516
Position 206: 0.0001405803258323591
Position 215: 0.00014055080715095493
Position 457: 0.00013490751822712663
Position 708: 0.00012144299120632318
Position 385: 9.905511837214171e-05
Position 110: 9.323827582681975e-05
Position 220: 7.407267660697973e-05
Position 340: 6.692925531173516e-05
Position 532: 6.325305720005074e-05
Position 343: 4.4968540371282775e-05
Position 661: 5.630873443323892e-06
Position 484: 5.461005517964465e-06
Position 538: 5.230118563401499e-06
Position 481: 4.00271964908587e-06
Position 302: 1.2472082756667133e-06
Position 686: 4.963227412944135e-07
Position 715: 2.3025209152403472e-07
Position 683: 1.0592910475639026e-07
Position 293: 1.7183104743460535e-09
Position 289: 1.4448821317306625e-09
