Gene = Iyd
index = 1238
Annotated 5SS: [ 507 1698 2051]
Annotated 3SS: [ 602 1889 2105]
SMsplice 5SS: [2051]
SMsplice 3SS: [2105]
top_k =  500
Partition function (log Z): -7.085201155090164

Sorted 5' Splice Sites (High to Low Probability):
Position 2051: 0.9825172551144665
Position 1622: 0.1457399904869149
Position 40: 0.09832123817606783
Position 296: 0.045456791853558984
Position 1136: 0.04233620852654776
Position 437: 0.0415359253705439
Position 69: 0.01946024963600874
Position 1820: 0.017585275387505594
Position 2443: 0.015852618771205258
Position 54: 0.008664050574296908
Position 545: 0.006268552474798133
Position 218: 0.005907301218572115
Position 1287: 0.005295876325464642
Position 88: 0.0030888885003454492
Position 1978: 0.0029255940349970206
Position 300: 0.0018715121902053804
Position 13: 0.001512853137624539
Position 1054: 0.0013750445021927292
Position 1946: 0.0012778987207074071
Position 153: 0.0008819856336904958
Position 1438: 0.0007047035007133812
Position 1289: 0.0001836358599367826
Position 583: 0.00015888337997971037
Position 690: 0.0001513742113036333
Position 1412: 7.673817957580262e-05
Position 478: 7.50603086303937e-05
Position 2447: 6.167614505710098e-05
Position 1537: 5.657545235454533e-05
Position 2735: 5.506167036420555e-05
Position 250: 4.778974482253273e-05
Position 1074: 3.665215256552162e-05
Position 677: 3.3839729798056086e-05
Position 2414: 2.801578412406298e-05
Position 165: 2.5524081863901503e-05
Position 2739: 2.3210269467319745e-05
Position 2347: 2.1176224195290352e-05
Position 2480: 1.9939428442274937e-05
Position 1698: 1.6508998700138673e-05
Position 1754: 1.4609048386242243e-05
Position 2762: 1.1571196841813223e-05
Position 849: 1.1330002141679802e-05
Position 230: 7.042261270167984e-06
Position 692: 6.023021240267791e-06
Position 1198: 5.950536294172781e-06
Position 2506: 5.222851864060299e-06
Position 2607: 5.174537799344336e-06
Position 607: 4.840089966614691e-06
Position 1336: 4.453789278349143e-06
Position 861: 4.17953725637687e-06
Position 1555: 3.6774797299772588e-06
Position 2801: 3.3838335134473562e-06
Position 1463: 3.098606403110342e-06
Position 494: 1.4528570933441573e-07
Position 2174: 8.585755546502102e-08
Position 2238: 6.897081840675808e-08
Position 141: 4.7168370482450824e-08
Position 1803: 4.604976291747934e-08
Position 626: 3.7971183539773716e-08
Position 1048: 3.665129878758027e-08
Position 284: 2.789926229245573e-08
Position 1234: 2.7131649512026717e-08
Position 1033: 2.5512423082634453e-08
Position 242: 1.8920858434922568e-09
Position 2354: 1.4580849590866954e-09
Position 2357: 1.3455757966691851e-09
Position 402: 8.40230073107428e-10
Position 745: 6.802927660663859e-11
Position 1343: 3.0834741181340294e-11
Position 116: 1.7755084303372996e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2105: 0.9978110562298227
Position 128: 0.10393808804345546
Position 1873: 0.05647544063457235
Position 1683: 0.05434147777441708
Position 1667: 0.04283158979249918
Position 1692: 0.03071422211300089
Position 503: 0.02428033432989427
Position 1778: 0.019386168093795935
Position 1876: 0.015737597535178185
Position 2029: 0.014912591357806421
Position 1343: 0.012424838279231099
Position 2530: 0.010310267520728071
Position 278: 0.008489254540233162
Position 359: 0.0073871625169270524
Position 1373: 0.006169656994641695
Position 1509: 0.0036211628731545914
Position 605: 0.003014402364122921
Position 1357: 0.0028292169699716545
Position 137: 0.00276641659290023
Position 1999: 0.0027145874381536567
Position 1227: 0.0025340515560308688
Position 507: 0.002320958987785625
Position 578: 0.0022853346672821895
Position 2527: 0.0022179816712986763
Position 2630: 0.002111070735446117
Position 1820: 0.0020567264681341873
Position 1889: 0.001914011957803492
Position 1670: 0.0011947570219657906
Position 1378: 0.001089102887214997
Position 1273: 0.0010251817805404931
Position 979: 0.00092316535899225
Position 835: 0.0008974181039611155
Position 81: 0.0008846849620713465
Position 148: 0.0008331648262251309
Position 1566: 0.0006574683037156089
Position 1173: 0.0006520816168201934
Position 1250: 0.0005233051028737295
Position 1181: 0.0004860955362629912
Position 2813: 0.00046267821362109673
Position 1006: 0.00043273609077228696
Position 2833: 0.0003989592138060246
Position 2485: 0.00037204242768928714
Position 1119: 0.00036275453098554066
Position 1057: 0.00035913370844070717
Position 553: 0.0003511499418851064
Position 774: 0.00034603831268368
Position 602: 0.00032999404270978727
Position 1255: 0.00032909622589349637
Position 212: 0.0002512319051503292
Position 2259: 0.00023320856435587138
Position 1635: 0.000200954230606236
Position 419: 0.00019111999164388274
Position 2488: 0.00015587113459147677
