Gene = l(2)SH0834
index = 1746
Annotated 5SS: [201]
Annotated 3SS: [314]
SMsplice 5SS: [201]
SMsplice 3SS: [314]
top_k =  500
Partition function (log Z): -3.953687850363721

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.7626804394334369
Position 245: 0.1096040260414149
Position 220: 0.08456058195792755
Position 234: 0.020717222592074033
Position 651: 0.011398022272245522
Position 259: 0.011169334133821037
Position 181: 0.00990388528412672
Position 681: 0.005475566485667815
Position 418: 0.004109726661678828
Position 790: 0.003573392284713923
Position 698: 0.0033189982196842028
Position 353: 0.002157983338904607
Position 643: 0.0015957405301523517
Position 598: 0.0015051675289954598
Position 446: 0.0014596848024564834
Position 676: 0.0012616311135398546
Position 761: 0.001053414349919075
Position 707: 0.0005347399884522093
Position 921: 0.00052089922238613
Position 232: 0.0005079332632161816
Position 926: 0.0003825962188622927
Position 175: 0.00032762782377952207
Position 607: 0.0002755254360384529
Position 955: 0.00024414893046409013
Position 20: 0.00023068856265251515
Position 48: 0.00020230824586792945
Position 530: 0.00020055387397288488
Position 8: 0.00017000776052954078
Position 136: 0.00010934834596714009
Position 670: 0.00010720682204060983
Position 711: 9.95889876281625e-05
Position 378: 9.847599275599477e-05
Position 318: 7.493435351283155e-05
Position 704: 4.242868904686426e-05
Position 504: 3.393767823238139e-05
Position 271: 3.234012590879243e-05
Position 702: 1.9986995021756478e-05
Position 936: 1.9529916627479068e-05
Position 29: 1.199965092708564e-05
Position 31: 9.64896383969626e-06
Position 792: 9.237679866586812e-06
Position 777: 8.22430118350129e-06
Position 269: 4.802600312890199e-06
Position 506: 4.73831665056094e-06
Position 862: 2.4879170631179617e-06
Position 830: 1.5704861166421114e-06
Position 293: 6.559232950695335e-09
Position 88: 3.912144172716583e-09
Position 518: 4.7301611840069835e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 314: 0.9909856779197236
Position 539: 0.013942044624642703
Position 741: 0.012883745035689039
Position 852: 0.009677977027814661
Position 787: 0.005050096565439058
Position 716: 0.0026362363388003716
Position 670: 0.0010996242086685883
Position 988: 0.0008593939164896034
Position 858: 0.0007170976102913587
Position 556: 0.0004452605248234598
Position 1015: 0.0003677624277316558
Position 826: 0.0002515916766766009
Position 902: 0.00020226342001540128
Position 88: 0.0001793054525299635
Position 830: 0.0001367076506428181
Position 68: 0.00010146220213960628
Position 65: 8.136397509271177e-05
Position 504: 6.301321560388974e-05
Position 352: 3.647305854364689e-05
Position 806: 1.9700133204068643e-05
Position 59: 1.5190536746125307e-05
Position 630: 1.3833682234478571e-05
Position 117: 1.3486189947656041e-05
Position 392: 1.1895452927599532e-05
Position 720: 7.271818600495129e-06
Position 995: 6.520110503149279e-06
Position 411: 5.7087824615691105e-06
Position 375: 4.931390021861132e-06
Position 439: 4.183138283375699e-06
Position 444: 3.7650678113274066e-06
Position 810: 2.597765537041206e-06
Position 585: 2.558202907787217e-06
Position 229: 1.7518468881985711e-06
Position 569: 1.5504724297115198e-06
Position 121: 1.0856501066433625e-07
Position 187: 1.0751530937198555e-07
Position 165: 2.6520725718567965e-08
Position 168: 2.4987889816276807e-08
Position 142: 2.1014816968095592e-08
Position 134: 1.1856034326789913e-08
Position 446: 2.2602755304799816e-09
Position 358: 4.938648139894032e-10
