Gene = Rdh
index = 1417
Annotated 5SS: [302]
Annotated 3SS: [2938]
SMsplice 5SS: [1176]
SMsplice 3SS: [1352]
top_k =  500
Partition function (log Z): -10.826939508672922

Sorted 5' Splice Sites (High to Low Probability):
Position 1176: 0.5295022593582082
Position 1199: 0.33442863069980616
Position 1551: 0.14890833265745534
Position 1547: 0.0706069539239253
Position 581: 0.05133166776176778
Position 1295: 0.047387031797803285
Position 2018: 0.01856372747193877
Position 834: 0.016441710667567982
Position 2175: 0.0158451229053369
Position 2746: 0.012227705421894433
Position 1196: 0.011771179220713917
Position 1555: 0.009453485770562473
Position 2203: 0.008856734914462053
Position 1227: 0.005606773009824019
Position 1267: 0.005324802443933224
Position 1832: 0.002636766114442771
Position 371: 0.0016386207279912154
Position 1248: 0.0015793567030342828
Position 593: 0.0012835295589475589
Position 919: 0.0010784993174900487
Position 1565: 0.001017234739281076
Position 2097: 0.0007991812428560204
Position 1961: 0.0007904100669762136
Position 1067: 0.0007787856205781799
Position 1544: 0.0006350850497562661
Position 1150: 0.0005675277853916713
Position 1540: 0.000563569960728027
Position 1596: 0.0005050184105104232
Position 2605: 0.00037570879326843677
Position 2656: 0.0003401349804582991
Position 1010: 0.0003327001016608993
Position 815: 0.0003083175367696884
Position 941: 0.0002826198816458843
Position 2503: 0.0002812821937878811
Position 487: 0.00025519265445078827
Position 1301: 0.0002484039991262337
Position 821: 0.00020186992312183313
Position 419: 0.00018194726290409114
Position 559: 0.00013608871536452904
Position 428: 0.00011094447730506415
Position 994: 8.325865403861193e-05
Position 755: 7.150468670747151e-05
Position 753: 7.133146980674898e-05
Position 480: 6.960340030176247e-05
Position 1700: 6.317158332577887e-05
Position 437: 5.436806774359855e-05
Position 670: 5.115214709165688e-05
Position 578: 4.2094324662692456e-05
Position 850: 3.962314068790667e-05
Position 551: 3.927403197198923e-05
Position 658: 3.757361215207799e-05
Position 440: 2.8388225274495554e-05
Position 316: 2.7250049534340166e-05
Position 780: 2.0822550377053162e-05
Position 77: 2.0363506090042874e-05
Position 458: 1.9336650205496167e-05
Position 118: 1.886763342950175e-05
Position 628: 1.745913334132908e-05
Position 672: 1.7230392960301773e-05
Position 630: 1.5893074828964007e-05
Position 874: 1.3827977590371602e-05
Position 529: 1.3496795691951136e-05
Position 741: 1.2694341888915012e-05
Position 50: 1.2198585777073704e-05
Position 896: 1.1612230735668471e-05
Position 1898: 7.0129308095377495e-06
Position 332: 5.992431739212794e-06
Position 64: 5.477974444680422e-06
Position 88: 4.7301980187384826e-06
Position 880: 4.390447803048349e-06
Position 838: 3.474706088544284e-06
Position 1478: 1.8907879988349903e-06
Position 901: 1.8111607830795407e-06
Position 691: 1.2511455417924676e-06
Position 977: 1.1635214544772654e-06
Position 699: 1.0877344300770846e-06
Position 134: 4.369206450779668e-07
Position 1829: 3.9450553568610384e-07
Position 771: 2.0022552142227847e-07
Position 1078: 1.8330107403677535e-07
Position 878: 1.7150467154798958e-07
Position 91: 1.6317420079363095e-07
Position 450: 1.3690787512007663e-07
Position 109: 1.357072144019487e-07
Position 100: 9.865788907653177e-08
Position 66: 1.2416166381387134e-08
Position 121: 8.110471336231131e-11
Position 127: 3.4939068369125564e-11
Position 925: 4.283953557521919e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1352: 0.7143803824790773
Position 2263: 0.13339969063841306
Position 1367: 0.10840376360573153
Position 2938: 0.09340371922741297
Position 2235: 0.09068862748178483
Position 2332: 0.030470110815646198
Position 2283: 0.021603688820927298
Position 1270: 0.019446859418220504
Position 1971: 0.018177614476661743
Position 866: 0.011665363274840534
Position 1124: 0.01081656507980562
Position 1749: 0.009266408585571588
Position 1315: 0.0070066749960932045
Position 2144: 0.00598264272392749
Position 1301: 0.005688557840462136
Position 1852: 0.0032114642084822725
Position 2451: 0.0020004293994460706
Position 1451: 0.001769467648583027
Position 1318: 0.001688037509983399
Position 2380: 0.001540041648574713
Position 2647: 0.0015124454859267815
Position 2419: 0.0014576779012567271
Position 2908: 0.0012314744399605313
Position 2959: 0.001225783577645159
Position 1424: 0.001126170778990616
Position 2100: 0.001123041755291977
Position 1655: 0.0009496787350884864
Position 919: 0.0008810585930299582
Position 1429: 0.0005182587753144401
Position 2017: 0.000494117732339696
Position 2358: 0.0004755479971923521
Position 557: 0.00037326328847730734
Position 2591: 0.0003431764384300684
Position 1032: 0.0003283099173955167
Position 2635: 0.0003281329832849312
Position 874: 0.0002116672613075174
Position 1114: 0.00018393486025098727
Position 727: 0.0001684155161809781
Position 1247: 0.00014698803625353646
Position 2506: 0.00014442570638404932
Position 771: 5.666184730886227e-05
Position 938: 4.784821161714075e-05
Position 3049: 3.388126527795419e-05
Position 658: 3.1138630287590626e-05
Position 626: 2.919548088400777e-05
Position 925: 2.4482089003952067e-05
Position 478: 1.1362788529100553e-05
Position 1155: 6.283258733999392e-06
Position 140: 5.7175539040063415e-06
Position 923: 4.884646235201339e-06
Position 570: 2.7512843473746366e-06
Position 1150: 2.540000982212569e-06
Position 665: 2.4601817481684008e-06
Position 371: 1.9055053754066604e-06
Position 507: 1.250821830188615e-06
Position 940: 5.276806054756121e-07
Position 365: 4.838212399299147e-07
Position 504: 3.7508273325142464e-07
Position 1245: 8.675851413571401e-08
Position 480: 5.41105929073747e-09
Position 149: 3.447440716821952e-09
Position 598: 1.1621913118839464e-09
