Gene = dunk
index = 1680
Annotated 5SS: [5]
Annotated 3SS: [130]
SMsplice 5SS: [43]
SMsplice 3SS: [110]
top_k =  500
Partition function (log Z): -9.879212463591623

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.907766615614042
Position 201: 0.05150725500541687
Position 892: 0.0175137776441145
Position 733: 0.014448855186380373
Position 508: 0.01441179219079382
Position 694: 0.007252598993395811
Position 47: 0.004817588543778905
Position 272: 0.004702574459574842
Position 957: 0.0022945119136470655
Position 499: 0.0012313657063650306
Position 586: 0.0007679449116036335
Position 64: 0.0007343582870030712
Position 226: 0.000581494202924453
Position 467: 0.000409546413013245
Position 515: 0.00028686062279357556
Position 698: 0.00015284013882491983
Position 100: 0.0001240463650254571
Position 828: 8.054900525356278e-05
Position 441: 7.437663676206312e-05
Position 906: 4.5943748531238e-05
Position 630: 4.548895630086319e-05
Position 256: 3.95934473326115e-05
Position 205: 2.8256596663461997e-05
Position 594: 4.024188127623656e-07
Position 262: 3.837924141978053e-07
Position 601: 3.5728970672824535e-07
Position 35: 2.9152590398296165e-07
Position 5: 1.661236305956519e-07
Position 327: 1.4824050665146068e-07
Position 19: 1.4725563861944574e-07
Position 91: 1.4209355726471202e-07
Position 136: 1.042402514208256e-07
Position 571: 7.359514692444394e-08
Position 418: 1.8292023863403272e-08
Position 251: 1.5970566877474747e-08
Position 83: 1.5684606324507005e-08
Position 37: 1.3046337604618e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 110: 0.29766042875967014
Position 201: 0.12417991210123329
Position 180: 0.11239923427234402
Position 332: 0.08240047347164467
Position 247: 0.08020056041665256
Position 226: 0.0572717637356967
Position 775: 0.041951400810197076
Position 814: 0.03818106054677894
Position 1006: 0.03133010817058771
Position 287: 0.026793966912632333
Position 538: 0.025615644013260882
Position 783: 0.018436179826452372
Position 130: 0.017886920072535936
Position 662: 0.015070164501071742
Position 974: 0.012867624507685416
Position 354: 0.01023255006978531
Position 163: 0.007484299971711174
Position 146: 0.007464641428063978
Position 777: 0.0064612388421679875
Position 304: 0.004011937211359506
Position 136: 0.0020654997296329835
Position 584: 0.0018155503689093533
Position 608: 0.0016747667140998702
Position 358: 0.0015147566823993873
Position 882: 0.000910269929641467
Position 820: 0.0005815554964091992
Position 666: 0.0004688897714922745
Position 615: 0.00037697581065684166
Position 843: 0.0003402699088448128
Position 633: 0.000310594857780583
Position 790: 0.00025703161489838645
Position 732: 0.0002446876980541833
Position 455: 0.00018254573505337724
Position 618: 0.00011096010190137115
Position 209: 9.546354879818911e-05
Position 393: 9.156990444922274e-05
Position 376: 8.513673386645093e-05
Position 947: 7.19876290799401e-05
Position 715: 5.4048451587400004e-05
Position 325: 5.324199517599505e-05
Position 403: 4.8654073816594464e-05
Position 727: 3.548426814740096e-05
Position 891: 3.0399949014194914e-05
Position 165: 5.647200724044918e-08
Position 499: 2.4058622429755484e-09
Position 198: 1.876640835270635e-09
Position 441: 1.269554277495298e-09
Position 50: 8.322646003332826e-10
Position 327: 6.864737644707075e-10
Position 71: 4.852574257060231e-13
Position 73: 1.1605927727879969e-13
