Gene = GlcAT-P
index = 1188
Annotated 5SS: [   36   970 13148 13903 15382 18007 18313 18889]
Annotated 3SS: [  660 13116 13327 14892 17819 18154 18597 19004]
SMsplice 5SS: [  970 13903 18007 18313 18889]
SMsplice 3SS: [13327 17819 18154 18597 19004]
top_k =  500
Partition function (log Z): 1.5071522609475667

Sorted 5' Splice Sites (High to Low Probability):
Position 970: 0.9979156090257125
Position 18889: 0.9956920339896727
Position 13903: 0.9734120755511605
Position 18007: 0.5403016848940122
Position 18313: 0.45312316020521903
Position 18003: 0.1982630370542571
Position 12302: 0.13814004801468224
Position 12359: 0.09571843451460806
Position 19218: 0.08620618927752514
Position 19382: 0.07383356791944114
Position 13463: 0.05980431872454501
Position 13148: 0.05608483680479463
Position 13467: 0.03470613023992499
Position 232: 0.02971537731273047
Position 137: 0.02101577250016614
Position 1229: 0.020591590875584122
Position 2563: 0.01930957171154074
Position 246: 0.01804790760397179
Position 19107: 0.016993845093589935
Position 19272: 0.01593081426564796
Position 611: 0.015733581643233952
Position 384: 0.01403346919875915
Position 221: 0.011745096793168939
Position 388: 0.01122370582508366
Position 6287: 0.010526073142222798
Position 758: 0.009472183973012905
Position 14354: 0.00944779010949811
Position 32: 0.009378488311345742
Position 3011: 0.008936582607701379
Position 19266: 0.008331709617136846
Position 2812: 0.008233256663486503
Position 2058: 0.007483290717863124
Position 36: 0.006596443484525449
Position 3055: 0.005928646491170699
Position 18351: 0.00523443760901608
Position 19895: 0.00522107060198052
Position 4897: 0.005071119977259959
Position 19130: 0.002713149536509237
Position 392: 0.0025988701406607934
Position 19270: 0.0023121014107258565
Position 400: 0.001978934516223001
Position 19630: 0.0019654456823319077
Position 19173: 0.0018625888017706693
Position 402: 0.0017408942703971532
Position 404: 0.0017106824468454355
Position 615: 0.001702490579282391
Position 396: 0.0016553654558444605
Position 1028: 0.001388962559307334
Position 19300: 0.0012259780759948978
Position 298: 0.0010727825248164988
Position 20238: 0.001003674297215204
Position 18751: 0.0009977930028071881
Position 398: 0.0009689673770829693
Position 128: 0.0009256702432935204
Position 12401: 0.0007733512706000023
Position 408: 0.0006663572726669068
Position 18893: 0.0005215888090064672
Position 214: 0.000484747498885888
Position 597: 0.00042211323668269314
Position 19141: 0.00026976861164592736
Position 382: 0.00024230281515904184
Position 236: 0.00015213068613111804
Position 436: 0.00011588719170745067
Position 25: 8.915452419350876e-05
Position 19212: 8.604670639937775e-05
Position 19422: 8.136110339630978e-05
Position 2382: 8.049589175240957e-05
Position 1421: 7.687040737233766e-05
Position 346: 6.416047770474815e-05
Position 2158: 6.038360913326133e-05
Position 609: 4.221097677595756e-05
Position 216: 3.526223696801268e-05
Position 211: 3.458249828639356e-05
Position 2624: 2.380514551333572e-05
Position 1660: 2.2866194615672496e-05
Position 1869: 2.151440190441747e-05
Position 350: 1.990869314747179e-05
Position 2049: 1.7992774662411085e-05
Position 412: 1.661450537663669e-05
Position 599: 1.5679510438057324e-05
Position 5007: 1.5513258533047586e-05
Position 5009: 1.4720951233220203e-05
Position 1703: 1.4355381977618163e-05
Position 205: 1.405466150276797e-05
Position 19133: 1.3110052277756825e-05
Position 539: 9.728801769332936e-06
Position 2205: 7.96463745987818e-06
Position 617: 7.510245997974149e-06
Position 18723: 7.2911082689394445e-06
Position 2252: 7.241769663403533e-06
Position 2560: 6.837251231280103e-06
Position 866: 6.732600840391291e-06
Position 4905: 6.681518124150782e-06
Position 2620: 6.500526015980686e-06
Position 2611: 6.131722198821353e-06
Position 190: 5.374422098896312e-06
Position 5040: 4.810193126855233e-06
Position 2064: 4.488020965540513e-06
Position 2062: 4.361499230291405e-06
Position 2208: 4.218355656133176e-06
Position 203: 4.0448791282087e-06
Position 132: 3.917633174928778e-06
Position 829: 3.6318491795833998e-06
Position 2275: 3.5207988106065844e-06
Position 3166: 1.6919500472461728e-06
Position 1485: 1.6168700658924609e-06
Position 951: 1.5099758817750305e-06
Position 19165: 1.4301366251937199e-06
Position 3775: 1.328486987866119e-06
Position 974: 1.2998135016617519e-06
Position 1294: 1.2896906295729635e-06
Position 2060: 1.1747869564101362e-06
Position 19506: 7.230786034357617e-07
Position 20078: 4.858977771790275e-07
Position 13750: 3.724550104105735e-07
Position 1879: 3.470508452506793e-07
Position 15382: 2.7108896071634774e-07
Position 1202: 2.54745598843985e-07
Position 2172: 2.4557328438074173e-07
Position 19344: 1.5164013174368982e-07
Position 19353: 1.503558233639869e-07
Position 3544: 6.213878356605273e-08
Position 9999: 5.789323625220572e-08
Position 1549: 4.7787463803319306e-08
Position 1520: 2.848662881588665e-08
Position 5596: 5.748035357547671e-09
Position 3537: 4.9226513872420396e-09
Position 3589: 4.263047054977242e-09
Position 5530: 3.928778953080496e-09
Position 3410: 2.668313118447135e-09
Position 2981: 2.1036974155491034e-09
Position 3170: 1.6193878063403064e-09
Position 2924: 1.2573542319704311e-09
Position 406: 8.371646296807577e-12
Position 318: 4.924803941024038e-12
Position 250: 4.6141008689417425e-12
Position 252: 4.603219132967684e-12
Position 585: 3.8973525600593895e-12
Position 19: 2.66907125910386e-12
Position 188: 2.602470040717812e-12
Position 1213: 1.5009618598297868e-12
Position 1497: 1.2811673087201367e-12
Position 497: 8.68451344263443e-13
Position 1394: 6.138763954113818e-13
Position 1405: 5.200540093021256e-13
Position 678: 5.217912254420493e-14
Position 40: 3.2801579179384404e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 19004: 0.9994587707970718
Position 18597: 0.9251833293569113
Position 13327: 0.7983427049215607
Position 17819: 0.5689351212879343
Position 18154: 0.4323454951588671
Position 13633: 0.16637013610748727
Position 13116: 0.1348989760474625
Position 12148: 0.12388776328321212
Position 17501: 0.10484817536317945
Position 12214: 0.1047561408830477
Position 17460: 0.09789150447042749
Position 660: 0.09397864404040182
Position 19347: 0.08767393118207936
Position 19435: 0.072241689650015
Position 18555: 0.0649375312037158
Position 2493: 0.03995521406594171
Position 12610: 0.02242371401255997
Position 845: 0.02194514629127257
Position 1106: 0.017386591086802832
Position 503: 0.016042670482579343
Position 866: 0.014654021988031243
Position 19556: 0.014099558315810683
Position 914: 0.01149987129988026
Position 20186: 0.01063848968048704
Position 20326: 0.007462199315759108
Position 11785: 0.0059879296336303916
Position 19459: 0.00589232669153524
Position 4779: 0.005249200408920855
Position 1953: 0.004949173390330327
Position 19591: 0.004273197963105979
Position 14149: 0.0037248839323220768
Position 1142: 0.0035184657399938714
Position 12467: 0.0031361381112377873
Position 19522: 0.0031277815391043836
Position 6041: 0.002440739413285155
Position 19617: 0.0023972988009028913
Position 6146: 0.0019485080725856311
Position 6026: 0.0019406539039016726
Position 5213: 0.0019027528153199734
Position 14260: 0.001850998386826405
Position 14216: 0.0017535241754018437
Position 2666: 0.0015870363920985427
Position 1612: 0.0015844916555023151
Position 197: 0.0014626868701307569
Position 19172: 0.0014420361447059064
Position 20493: 0.0012817797378888974
Position 5847: 0.001132724925097096
Position 19405: 0.0011306911775152272
Position 19300: 0.0009555182079043463
Position 14257: 0.0009544481900750128
Position 19442: 0.0008863799916125715
Position 20460: 0.0008452269584613718
Position 19185: 0.0007964570943530334
Position 19477: 0.0007470586915906062
Position 98: 0.0006204500719009273
Position 20015: 0.000599446223641723
Position 745: 0.0005783952905528534
Position 19025: 0.000533940986087371
Position 807: 0.0005312250110546805
Position 1733: 0.000531115527344336
Position 20423: 0.0004207261824166001
Position 301: 0.000418710570502882
Position 6211: 0.00039620991750822105
Position 821: 0.00037874874061269296
Position 811: 0.0003712165989771301
Position 4796: 0.0003530903713991781
Position 886: 0.00027781957917575337
Position 4623: 0.0002750488892965604
Position 20197: 0.0002662940305747075
Position 2238: 0.00023424646297909903
