Gene = TfIIEbeta
index = 1554
Annotated 5SS: [174 351 589 940]
Annotated 3SS: [245 425 648 995]
SMsplice 5SS: [174 351 599 940]
SMsplice 3SS: [245 425 648 995]
top_k =  500
Partition function (log Z): 4.509741280447654

Sorted 5' Splice Sites (High to Low Probability):
Position 351: 0.9960076971867522
Position 174: 0.9377593756756468
Position 940: 0.7794440940748258
Position 599: 0.5149707949649558
Position 589: 0.47051782943594483
Position 844: 0.06273217870844312
Position 880: 0.0104025976998609
Position 620: 0.0034135408960978895
Position 1237: 0.0027464519837578543
Position 580: 0.0012699283566634978
Position 877: 0.0009854801750905345
Position 603: 0.0007515780547797063
Position 711: 0.00044388843941674884
Position 42: 0.0003796720923268461
Position 178: 0.0003405239689090928
Position 1250: 0.00032027753028491645
Position 1206: 0.00029194426835322537
Position 944: 0.0002752523848485155
Position 685: 0.00025525730825855497
Position 610: 6.892426074477898e-05
Position 355: 6.707471779728835e-05
Position 388: 6.482609653792199e-05
Position 31: 4.786578694734141e-05
Position 761: 3.542159332108341e-05
Position 5: 2.6570414037363434e-05
Position 1239: 2.4445619874251593e-05
Position 716: 1.4941178820436172e-05
Position 49: 1.3555718739037663e-05
Position 70: 9.699329453064908e-06
Position 1035: 8.417002510939208e-06
Position 814: 4.130321678248058e-06
Position 481: 3.5211608898970525e-06
Position 453: 3.203451949735533e-06
Position 1067: 3.1020702286907015e-06
Position 189: 2.9745008174690042e-06
Position 727: 1.579399159359267e-06
Position 446: 5.248598796785659e-07
Position 400: 2.786410032105847e-07
Position 80: 2.6460830743391273e-07
Position 500: 1.6339920712136127e-07
Position 1160: 1.633778179943851e-07
Position 438: 9.56609259803184e-08
Position 466: 6.162216206234382e-08
Position 701: 6.142663877370877e-08
Position 1197: 4.2099701231698955e-08
Position 247: 2.8496738528479314e-08
Position 258: 1.7449713952722895e-08
Position 613: 2.4279220516585727e-09
Position 996: 1.5677807026522557e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 425: 0.9789501016836891
Position 648: 0.9783240158997056
Position 245: 0.9235418474069973
Position 995: 0.8366661134748209
Position 972: 0.018459805329928875
Position 446: 0.010549355559048538
Position 272: 0.008350551739306418
Position 684: 0.005781121234275569
Position 923: 0.004760798051886973
Position 659: 0.004523440285916954
Position 1303: 0.0033284066777836494
Position 507: 0.002396894624993115
Position 305: 0.0022900988978776663
Position 258: 0.001204739243560761
Position 453: 0.0008863771087083026
Position 786: 0.000664261499672156
Position 255: 0.0006587767309914381
Position 432: 0.0006038730919679832
Position 293: 0.0005188003376584404
Position 121: 0.00033580230898104193
Position 1100: 0.00018047462006941112
Position 277: 0.00011413780809565844
Position 900: 9.101703414227374e-05
Position 903: 6.648461650889199e-05
Position 477: 6.118438094634884e-05
Position 335: 5.739141363833785e-05
Position 771: 4.696742869052615e-05
Position 83: 3.968387670901005e-05
Position 1267: 3.67273571736485e-05
Position 264: 3.0178000296841546e-05
Position 711: 2.4824710217493396e-05
Position 1013: 2.3376565805250408e-05
Position 716: 2.1370253330687594e-05
Position 66: 1.917175803092678e-05
Position 1253: 1.4618152990968736e-05
Position 1016: 1.1175985544539177e-05
Position 1058: 1.0822592711910779e-05
Position 466: 8.288473163310981e-06
Position 884: 7.461728218056774e-06
Position 1260: 7.2877715043587065e-06
Position 63: 5.995948609436524e-06
Position 695: 5.897137041734618e-06
Position 1258: 5.596344863007697e-06
Position 727: 3.98061693162195e-06
Position 1130: 3.052417087216601e-06
Position 735: 2.9454175225996837e-06
Position 1139: 2.8487100537431167e-06
Position 723: 2.6130004428882978e-06
Position 1007: 2.3655795919333897e-06
Position 819: 2.042659153728656e-06
Position 540: 1.5069444267091622e-06
Position 585: 8.976038187006839e-07
Position 1082: 7.459475085303442e-07
Position 1136: 7.099360812502637e-07
Position 593: 2.7212437029158993e-07
Position 1079: 2.700656782378402e-07
Position 382: 2.35640536372139e-07
Position 561: 2.1841142727862222e-07
Position 153: 2.1423815587626402e-07
Position 206: 6.76600950280876e-08
Position 141: 7.607199644150412e-09
Position 364: 7.506047499291973e-09
Position 691: 2.1804805806780424e-09
Position 355: 7.827407043712887e-10
Position 70: 7.020699940514463e-10
Position 599: 5.029791594566261e-10
Position 178: 6.119279375263963e-11
Position 85: 4.857620727097352e-12
