Gene = Eip63F-1
index = 1150
Annotated 5SS: [ 2371  4660  4805 15734 21766 21992]
Annotated 3SS: [ 4620  4764 15589 21614 21842 23702]
SMsplice 5SS: [  132  4805 15734 21766 21992]
SMsplice 3SS: [ 4620 15589 21614 21842 23702]
top_k =  500
Partition function (log Z): 3.0317927867065517

Sorted 5' Splice Sites (High to Low Probability):
Position 21992: 0.9853422220419271
Position 21766: 0.9680120674102601
Position 4805: 0.7900014995375783
Position 2371: 0.7803703056187112
Position 132: 0.7774175401074092
Position 15734: 0.720543465158745
Position 17150: 0.5185190902106831
Position 16842: 0.47027833407635794
Position 4707: 0.29631711474904115
Position 4703: 0.23964769533051627
Position 15685: 0.21661369175734982
Position 17157: 0.18970412746075185
Position 2678: 0.18399238735559958
Position 3358: 0.16836656089116686
Position 3775: 0.16458051329969953
Position 885: 0.16138712765975638
Position 4385: 0.14207265217680892
Position 6291: 0.0920660673150527
Position 4660: 0.050571008075746764
Position 6060: 0.04937768869947184
Position 3057: 0.04250394220549236
Position 16969: 0.0310096992971755
Position 987: 0.030771052818348944
Position 21770: 0.02641000206704713
Position 23554: 0.026047478922447867
Position 504: 0.0221880227233172
Position 19075: 0.020050848608122854
Position 24598: 0.018961997087270935
Position 1089: 0.018961402152330536
Position 6054: 0.018690011091308186
Position 1350: 0.018357098680521693
Position 17361: 0.016466974005451916
Position 3204: 0.016465662891470202
Position 6620: 0.014670052065371449
Position 4908: 0.013889576265554733
Position 24231: 0.013539998473473954
Position 17698: 0.012454370520892892
Position 5821: 0.010676572568036738
Position 25327: 0.010356853754379995
Position 5086: 0.009938477895717628
Position 3342: 0.00934919564596361
Position 998: 0.009315727658092524
Position 5164: 0.009034933628629059
Position 3856: 0.00877047149636536
Position 22590: 0.008635738306265494
Position 157: 0.007991133641700668
Position 22432: 0.00782656168296316
Position 3889: 0.00753265774927478
Position 5078: 0.007525204447472346
Position 558: 0.007243038851843778
Position 23818: 0.007232932544609697
Position 19784: 0.007087643178921759
Position 16016: 0.006815683629516688
Position 22468: 0.006796613105113475
Position 2811: 0.006408359528098429
Position 22376: 0.006314964726489509
Position 23927: 0.005872228944462637
Position 2705: 0.005442892202434175
Position 19271: 0.004945365975457303
Position 2842: 0.004173892932248028
Position 24388: 0.0040480498279779975
Position 7067: 0.0037767527865477084
Position 24773: 0.003710886930249789
Position 25331: 0.0036513526248051933
Position 22878: 0.0034769826351284732
Position 17329: 0.0032028714970835487
Position 24334: 0.0031257072438657784
Position 23376: 0.0030037219828931306
Position 16374: 0.0026175034245824944
Position 3711: 0.0025711562650333054
Position 636: 0.002548493705085256
Position 22963: 0.0024690146262927467
Position 2152: 0.0024454478929194006
Position 22576: 0.0023622918831637464
Position 3794: 0.002254449383814783
Position 19710: 0.0022141301126836583
Position 149: 0.0021916198854290527
Position 333: 0.0021246484251974916
Position 22417: 0.001870868222544944
Position 11394: 0.0018148622384796258
Position 22583: 0.0017626018716392624
Position 5180: 0.0015861709354705353
Position 22488: 0.0015379297721941352
Position 694: 0.001440827789945441
Position 6276: 0.001423972621081651
Position 4689: 0.0013996609650177745
Position 3695: 0.0013569829827264122
Position 66: 0.0012542125118161836
Position 23881: 0.0011878459758038473
Position 22641: 0.0011638993856167771
Position 328: 0.0011262918730814595
Position 541: 0.0009047252585456422
Position 2765: 0.000791413802414746
Position 68: 0.0007594773413904964
Position 22476: 0.0006615929330964868
Position 70: 0.0006324597778661441
Position 946: 0.000569229572304602
Position 72: 0.000542375295871503
Position 16709: 0.0005033195024975723
Position 1425: 0.0004883888468135589
Position 530: 0.00034673308844225255
Position 19065: 0.00033513904268813485
Position 1597: 0.00032748387799799516
Position 459: 0.00029711780039849695
Position 1200: 0.0001705940058868227
Position 1372: 0.00015840303779623063
Position 2648: 0.00015198519929281618
Position 136: 0.00015092948163303297
Position 64: 0.0001424580122182233
Position 213: 0.00011301212093415254
Position 282: 8.942064739987127e-05
Position 22092: 6.879711174748552e-05
Position 286: 6.665206882541832e-05
Position 314: 6.665057953493088e-05
Position 4868: 3.776237162412399e-05
Position 24018: 2.314573716088853e-05
Position 346: 1.3643130786282782e-05
Position 3061: 1.1920751084320462e-05
Position 929: 1.0573183782998824e-05
Position 3442: 9.960190329846696e-06
Position 627: 8.809353082482629e-06
Position 416: 5.863463996764432e-06
Position 22149: 5.102771761652594e-06
Position 396: 4.28067197938354e-06
Position 219: 3.690892727932568e-06
Position 115: 2.9736817860766855e-06
Position 22094: 2.4547150797806295e-06
Position 661: 2.1603588875148975e-06
Position 21996: 1.8844296313601575e-06
Position 232: 1.3131300749224432e-06
Position 374: 7.540373473819602e-07
Position 890: 6.391437675575794e-07
Position 757: 4.7115751635660826e-07
Position 924: 4.357647502388899e-07
Position 2699: 3.281342160487138e-07
Position 10: 4.1041057063449264e-08
Position 290: 3.394481112907501e-08
Position 1064: 1.7524905999549944e-08
Position 284: 1.4004836195486756e-08
Position 173: 1.1567692896241173e-08
Position 15: 8.893263152719347e-09
Position 76: 8.7424692852739e-09
Position 279: 7.22726671798437e-09
Position 17: 4.190961356120883e-09
Position 74: 1.901335132264452e-09
Position 185: 1.8748516424458654e-09
Position 267: 1.3930775034816402e-09
Position 387: 6.542808255797047e-10
