Gene = IntS10
index = 1232
Annotated 5SS: [ 302 1400]
Annotated 3SS: [ 354 1455]
SMsplice 5SS: [ 302 1400]
SMsplice 3SS: [ 354 1455]
top_k =  500
Partition function (log Z): -0.5282756604833594

Sorted 5' Splice Sites (High to Low Probability):
Position 1400: 0.9968796145149275
Position 302: 0.9857584944750455
Position 680: 0.18245487895460427
Position 2119: 0.05532128034072759
Position 1008: 0.021136875260622648
Position 1630: 0.014701309426492032
Position 12: 0.013693123344954561
Position 42: 0.013163838013907445
Position 950: 0.011294453951202274
Position 461: 0.010655995278504667
Position 993: 0.010140499177864127
Position 2095: 0.006509872813060842
Position 491: 0.00638137324792027
Position 1581: 0.0043108845169148625
Position 469: 0.003943537599694572
Position 1645: 0.002464039939944412
Position 287: 0.0017553836427527969
Position 2075: 0.0009010577067481023
Position 306: 0.0007811243526786344
Position 671: 0.0007188096502974349
Position 1597: 0.00041714132802347345
Position 528: 0.0003925772842886565
Position 1555: 0.00036039505378822437
Position 1404: 0.00032781134486253307
Position 1080: 0.000277339935784934
Position 2269: 0.0002717317545820863
Position 2103: 0.00026354843645070447
Position 1585: 0.00022391724670854941
Position 837: 0.0002132396855876457
Position 1622: 0.00021274040527676004
Position 1675: 0.00020340208720485113
Position 973: 0.00019683191496176403
Position 2276: 0.0001517965889639819
Position 911: 0.00013192380343769573
Position 289: 0.0001246333196731312
Position 454: 0.00011850376309165086
Position 1590: 0.0001103731775893702
Position 955: 7.605838216851441e-05
Position 295: 6.537827096410048e-05
Position 2005: 6.393985696915383e-05
Position 1511: 4.614281914485504e-05
Position 6: 2.285943150934473e-05
Position 577: 2.056904666609946e-05
Position 1429: 2.0296404065046823e-05
Position 821: 1.578736518214284e-05
Position 2083: 1.317715959009048e-05
Position 568: 1.2135938751374236e-05
Position 2162: 8.971651830147815e-06
Position 135: 8.937085816812821e-06
Position 46: 1.9091387909051957e-06
Position 128: 1.5374857661491372e-06
Position 330: 7.910166553774945e-07
Position 52: 7.278213696887206e-07
Position 1488: 4.085741813654989e-07
Position 1349: 3.260219119477258e-07
Position 757: 2.3631293992558368e-07
Position 747: 1.6450353280153536e-07
Position 125: 1.1196353137268497e-07
Position 1705: 3.164209441297563e-08
Position 1049: 2.268351333069832e-08
Position 1034: 1.965378018928598e-08
Position 1901: 1.8127447801539887e-08
Position 348: 1.4133363568274164e-08
Position 1094: 1.0314016446435909e-08
Position 893: 4.755271138203442e-10
Position 1752: 5.950628069290538e-12
Position 388: 2.8306466221114455e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1455: 0.9801551713316755
Position 354: 0.7691950764752813
Position 370: 0.19816244934447008
Position 735: 0.10218894854166242
Position 1052: 0.09886796180709007
Position 2198: 0.03944235090734567
Position 1722: 0.025846637663717795
Position 1055: 0.014933268350467287
Position 97: 0.013289517185904685
Position 528: 0.011776221261083245
Position 85: 0.010876343026471594
Position 2330: 0.009291654435357516
Position 2147: 0.00795386992777132
Position 1461: 0.00723499902264219
Position 873: 0.007177061285749251
Position 590: 0.006760209258172458
Position 794: 0.00519379792549932
Position 423: 0.004318563149714535
Position 1177: 0.0033470211131742455
Position 1012: 0.0031228115175150535
Position 2206: 0.002894380141938374
Position 747: 0.002452208630027892
Position 2257: 0.0021875606879056494
Position 1482: 0.0020823537713622157
Position 2211: 0.001925081646008013
Position 62: 0.0019104044501466121
Position 1221: 0.0016830278743726547
Position 1470: 0.0013770264028864195
Position 601: 0.0013285123392892438
Position 821: 0.0012573804196007443
Position 1651: 0.001197768942792601
Position 797: 0.001039929507593086
Position 1509: 0.0007723565569521945
Position 841: 0.0006400127955424834
Position 577: 0.0006365849892486465
Position 1833: 0.0005737043461385544
Position 114: 0.00046394253792854634
Position 2301: 0.00044548360755786853
Position 1492: 0.00040212319014090064
Position 1263: 0.00028345937421889536
Position 1079: 0.00021312628001901362
Position 1856: 0.0001987530778317875
Position 356: 0.00019389715973766708
Position 1186: 0.00016739173214370636
Position 661: 0.0001604060633925347
Position 609: 0.00015745848360786623
Position 1579: 0.00015584534813584065
Position 1897: 0.00015268669064576716
Position 877: 0.00014178448238292665
Position 394: 0.00012387654934947274
Position 757: 9.164398815937227e-05
Position 1204: 9.014334570980083e-05
Position 930: 7.74010764640641e-05
Position 1140: 6.870099410113057e-05
Position 496: 6.581246498189527e-05
Position 1740: 5.420799804288702e-05
Position 1212: 5.169980091175198e-05
Position 1830: 5.1296321719533946e-05
Position 475: 5.060531462778744e-05
Position 1675: 4.890878160839232e-05
Position 1101: 3.396163397220154e-05
Position 116: 3.3834548628585936e-05
Position 697: 2.9866638558383225e-05
Position 143: 2.9401313602279668e-05
Position 198: 2.5554889481946356e-05
Position 1803: 2.35463764392075e-05
Position 889: 2.337575930499909e-05
Position 1683: 1.9463422509486246e-05
Position 491: 1.6628969164151978e-05
Position 385: 1.6405567762268948e-05
Position 808: 1.6089448829596276e-05
Position 1547: 1.3372573990915172e-05
Position 330: 1.0148702902163361e-05
Position 1663: 9.860001495481506e-06
Position 2269: 9.201374974127377e-06
Position 1539: 8.669457946178673e-06
Position 140: 7.643432559619059e-06
Position 266: 4.97091531620994e-06
Position 397: 4.310431105479447e-06
Position 2038: 1.5569129304324133e-06
Position 2058: 1.030429083713512e-06
Position 544: 8.242931905110707e-07
Position 163: 7.55662683091366e-07
Position 65: 4.900661613637096e-07
Position 1616: 3.0782604249857197e-07
Position 109: 2.7858446536360027e-07
Position 1590: 2.3990045757524717e-07
Position 239: 9.702680629081325e-08
Position 151: 8.869734047917249e-08
Position 454: 3.698739422782133e-08
Position 295: 3.6514222494923545e-08
Position 287: 4.047300130913877e-09
Position 316: 8.840548278250073e-10
Position 275: 8.368126862369452e-10
Position 282: 6.200298865303883e-10
Position 125: 1.785458374245798e-10
Position 278: 4.144210059628087e-12
Position 306: 2.6561893561906842e-18
