Gene = Acp76A
index = 12
Annotated 5SS: [994]
Annotated 3SS: [1062]
SMsplice 5SS: [994]
SMsplice 3SS: [1062]
top_k =  500
Partition function (log Z): -6.968334786551937

Sorted 5' Splice Sites (High to Low Probability):
Position 994: 0.9559393627506914
Position 718: 0.1636307164462238
Position 685: 0.048456446034463176
Position 389: 0.03452528656352401
Position 357: 0.012684076750649429
Position 15: 0.008834487047013418
Position 187: 0.002249438416783145
Position 396: 0.0013524859493732322
Position 1197: 0.0011832225644787216
Position 312: 0.0009627069348667741
Position 366: 0.0009266185069987892
Position 1009: 0.0007245069109942999
Position 510: 0.0006528508183219851
Position 72: 0.0005869939283576237
Position 408: 0.00041400360686967336
Position 745: 0.0003982013153540815
Position 1107: 0.0002489683213813229
Position 488: 0.00019247497313095102
Position 437: 0.0001757327914191846
Position 457: 0.0001308284482767089
Position 474: 0.00010283456175149142
Position 459: 9.195973175715626e-05
Position 123: 9.175710056678549e-05
Position 792: 6.716269469583053e-05
Position 249: 6.359762114616336e-05
Position 988: 6.089190772872946e-05
Position 816: 3.565116767321709e-05
Position 293: 2.8478030984605538e-05
Position 1149: 2.5804992591670992e-05
Position 38: 1.3541434498674112e-05
Position 27: 1.175234564427285e-05
Position 1065: 1.007695677913466e-05
Position 1158: 7.430519284612439e-06
Position 1100: 6.608409427622247e-06
Position 625: 4.6249692243129574e-06
Position 914: 3.6478410569693626e-06
Position 899: 2.809303385460935e-06
Position 954: 2.51123528926925e-06
Position 180: 1.977453026166368e-06
Position 134: 1.1460047479654226e-06
Position 32: 8.423842437608708e-07
Position 1162: 7.278575968416419e-07
Position 320: 1.6679722403869291e-07
Position 132: 7.598019826981062e-08
Position 318: 2.345528909190565e-08
Position 1068: 4.624007581225298e-10
Position 722: 4.066546426375271e-10
Position 653: 2.086601284062186e-10
Position 531: 1.239965601217098e-10
Position 352: 3.68578044202033e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1062: 0.9733447586741778
Position 785: 0.15672624729713622
Position 894: 0.038301630515887995
Position 1065: 0.017673851456568017
Position 906: 0.011395287844027945
Position 564: 0.010375451199346623
Position 842: 0.006752580680839407
Position 744: 0.0031521794389553206
Position 993: 0.0016120551232336221
Position 237: 0.0014993911588292467
Position 480: 0.0013047699324632719
Position 927: 0.0012642966204328462
Position 1258: 0.0012351750349117862
Position 485: 0.0009943900463965536
Position 1136: 0.0009802193389015766
Position 812: 0.0009218808839083758
Position 615: 0.0007096520481548313
Position 103: 0.000695281986479969
Position 132: 0.0006535782990098778
Position 144: 0.0005762811599169648
Position 347: 0.00044412227231675614
Position 513: 0.00044133905703199134
Position 241: 0.0004184552052757885
Position 1158: 0.0004126875771202846
Position 574: 0.0003909716642736646
Position 758: 0.0003657186129221745
Position 1068: 0.0003313183136876726
Position 566: 0.0003030764593170887
Position 176: 0.00028271197854293944
Position 1091: 0.0001786117807582053
Position 520: 0.00017494154644149616
Position 91: 0.00012497567525583897
Position 205: 0.00012297734891583646
Position 161: 0.00010509141730238929
Position 412: 9.866372629798877e-05
Position 845: 8.086895600194647e-05
Position 482: 7.843071900277502e-05
Position 114: 5.2951445367808166e-05
Position 1179: 5.071219417835437e-05
Position 275: 4.1593382480033064e-05
Position 1107: 3.93764948827591e-05
Position 488: 3.747306004602085e-05
Position 180: 3.192471427234748e-05
Position 404: 3.154951402593603e-05
Position 1142: 2.9040105884505553e-05
Position 1211: 2.560647141712629e-05
Position 245: 1.4403607995443018e-05
Position 299: 1.22543689324394e-05
Position 279: 8.747017089011712e-06
Position 531: 2.2943198184579165e-06
Position 268: 1.4015001578161667e-06
Position 208: 1.2756794523888499e-06
Position 293: 8.076009722509335e-07
Position 311: 1.1740368948880713e-07
Position 249: 5.443314794390162e-08
Position 286: 2.3802516092685046e-09
Position 326: 2.24085648526673e-09
Position 116: 1.2074980648763402e-09
Position 187: 8.270106344219322e-10
Position 318: 2.0911205855881854e-11
