Gene = l(2)gd1
index = 1747
Annotated 5SS: [ 179 1865 2355 2565 3307]
Annotated 3SS: [ 265 1922 2412 3161 3372]
SMsplice 5SS: [ 179 1865 2355 2565 3307]
SMsplice 3SS: [ 265 1922 2412 3215 3372]
top_k =  500
Partition function (log Z): 16.416290102547624

Sorted 5' Splice Sites (High to Low Probability):
Position 3307: 0.9989412782631728
Position 2355: 0.9988742845665041
Position 1865: 0.994989654092379
Position 2565: 0.9948025972968823
Position 179: 0.9890005164163778
Position 3018: 0.3167014818669081
Position 3474: 0.08453787755929364
Position 2160: 0.04593950543431965
Position 2868: 0.02372477305089647
Position 3528: 0.021752294055827022
Position 2117: 0.02022871005401579
Position 1100: 0.01071859873796071
Position 2883: 0.007280274223635975
Position 3573: 0.006773313300125844
Position 3167: 0.006257474356740595
Position 3471: 0.004634298465348743
Position 2660: 0.002030128733856966
Position 3394: 0.0020268910584005447
Position 806: 0.0020161330816847
Position 2872: 0.0015968520979485277
Position 3678: 0.001223143782225426
Position 3478: 0.001106990469661758
Position 1050: 0.0010663918048051378
Position 1103: 0.001059088619239013
Position 3608: 0.0008751431712306298
Position 1114: 0.0008647108361148482
Position 2705: 0.0008642187362739121
Position 42: 0.0008187238785361161
Position 3569: 0.0006825062746162397
Position 198: 0.0005979282147253247
Position 1082: 0.0005816390131897629
Position 423: 0.000512563640097819
Position 3311: 0.0004838240365486258
Position 2544: 0.0004261411327578964
Position 1417: 0.0004259481632548143
Position 315: 0.0004140257219599752
Position 2060: 0.0004064812953029616
Position 812: 0.0003019942504375325
Position 2334: 0.0002931379556033721
Position 2719: 0.0002746699621330631
Position 2722: 0.0002665639412438743
Position 2328: 0.00025857300943572955
Position 2981: 0.00025433702675267385
Position 2507: 0.0002490333416315769
Position 2198: 0.00022929890812068064
Position 2100: 0.00018700427748605998
Position 2257: 0.00017778298483536698
Position 3562: 0.0001776473002093187
Position 3542: 0.00016696422536658718
Position 2946: 0.00015562336543267533
Position 661: 0.000152451431850484
Position 3282: 0.00014891374483245188
Position 1836: 0.0001303732702253631
Position 1470: 0.00012204846551438836
Position 1085: 0.00011853069391244727
Position 531: 0.00011254476258825757
Position 2485: 9.941563902986835e-05
