Gene = Unr
index = 1585
Annotated 5SS: [4189 4874 5343 6136 6360 6591 7598 7832]
Annotated 3SS: [4325 4947 5408 6205 6420 6649 7653 7895]
SMsplice 5SS: [  49 4874 5343 5617 6136 6360 6591 7598 7832]
SMsplice 3SS: [4325 4947 5408 5691 6205 6420 6649 7653 7895]
top_k =  500
Partition function (log Z): 27.653002555594274

Sorted 5' Splice Sites (High to Low Probability):
Position 7832: 0.9989710071861804
Position 6360: 0.9985518903979793
Position 7598: 0.9981557861990173
Position 6591: 0.9981453562856583
Position 5343: 0.9976955979301582
Position 6136: 0.9968491435190413
Position 4874: 0.9868365940177982
Position 49: 0.978714330828556
Position 5617: 0.8963097973962499
Position 4189: 0.5525277698269683
Position 5779: 0.08250753440787746
Position 8756: 0.08233931292470041
Position 8772: 0.07379948518052554
Position 7467: 0.050732634761417865
Position 3112: 0.04785632645658128
Position 3122: 0.04313966416735001
Position 4681: 0.04038670792247551
Position 8020: 0.04012233731176468
Position 8344: 0.03585470967028334
Position 5219: 0.017293298733461183
Position 7992: 0.016187573820505112
Position 5809: 0.00962700781018396
Position 6959: 0.008056950215782469
Position 9487: 0.00743236124579857
Position 5906: 0.007122817112979835
Position 8801: 0.006774055530945211
Position 350: 0.005980224802679029
Position 6481: 0.005861089505268328
Position 8106: 0.005539474981918106
Position 6954: 0.0050452403059353
Position 1610: 0.00398729675970605
Position 9225: 0.003097174237292813
Position 7427: 0.003054783432947991
Position 6233: 0.002909570482491094
Position 1842: 0.002797286709223803
Position 7091: 0.0027659203036526554
Position 7110: 0.002693965140294799
Position 2283: 0.0026340489431358476
Position 8292: 0.0025963905958986027
Position 5787: 0.002467229252844814
Position 8740: 0.002356546271922254
Position 1876: 0.0022915318548179502
Position 9345: 0.0021947068786138434
Position 1593: 0.0018269659123977058
Position 5764: 0.001517273122953311
Position 352: 0.00151487146007692
Position 6570: 0.0012534526480658663
Position 338: 0.0012514870236209836
Position 8501: 0.0012333967347736203
Position 5285: 0.001230974634926159
Position 8596: 0.0010751927230448811
Position 7031: 0.0009600785243227187
Position 612: 0.000950128836185868
Position 5314: 0.0009283730841870268
Position 9288: 0.0008367392982426147
Position 6144: 0.0007337148705437423
Position 7072: 0.0006659588087835037
Position 1844: 0.000627678623592327
Position 5018: 0.0005763879202055727
Position 8322: 0.0005359121751273393
Position 6483: 0.0005330558508030697
Position 5458: 0.0005048517794744463
Position 5766: 0.0005004079673671987
Position 5468: 0.00048621418311946914
Position 4867: 0.0004602693662880701
Position 7096: 0.0004468828847852258
Position 2544: 0.00044674500401284953
Position 7127: 0.0004044197805461515
Position 5463: 0.00039149165101686324
Position 7842: 0.00037312190771015364
Position 8822: 0.00037115845517897113
Position 6899: 0.0003626179681286525
Position 5878: 0.0003298400200016597
Position 6364: 0.000325786924033798
Position 5473: 0.00030701848904638216
Position 5194: 0.00029875299009891095
Position 5411: 0.0002009444770754385
Position 6124: 0.00019322870992452337
Position 7161: 0.00018574987574020908
Position 4697: 0.00018108959508591476
Position 569: 0.0001771864159451953
Position 4973: 0.00017714473413015875
Position 6692: 0.00016956724243845914
Position 7272: 0.00016890694075368827
Position 5125: 0.00014986513133830395
Position 6961: 0.00014813383260436487
Position 7083: 0.0001376193831068117
Position 8028: 0.00013451285956937715
Position 5493: 0.00012888661089933997
Position 6683: 0.00011892251854417851
Position 567: 0.00011622928918698096
Position 257: 0.00011026963583019783
Position 6745: 0.00010522349877093514
Position 7223: 0.00010161392977465906
Position 464: 0.00010103501587789875
Position 6966: 9.537611319654677e-05
Position 6085: 9.3933472254335e-05
Position 471: 8.378348619793927e-05
Position 4870: 8.216752821625172e-05
Position 5582: 7.716453338180759e-05
Position 6471: 7.563358408250701e-05
Position 6092: 6.799945097508613e-05
Position 7493: 6.273257939767426e-05
Position 1239: 4.747667018964954e-05
Position 6524: 4.690353804552693e-05
Position 6881: 4.5924679886893396e-05
Position 5621: 4.0493632368764015e-05
Position 7140: 3.8992513222910095e-05
Position 5476: 3.6910388230533656e-05
Position 458: 3.42578393937684e-05
Position 6730: 3.1847943340391935e-05
Position 8354: 2.6322734413565694e-05
Position 175: 2.216436690147794e-05
Position 436: 2.0558919599590594e-05
Position 8320: 2.0245130782939623e-05
Position 5872: 1.954374431691757e-05
Position 245: 1.9299935753359225e-05
Position 6793: 1.8955072870606492e-05
Position 6595: 1.8318463959538882e-05
Position 444: 1.7371701002615524e-05
Position 8348: 1.6400827015562432e-05
Position 251: 1.5772276077520858e-05
Position 460: 1.566835957524087e-05
Position 5752: 1.5640547021309308e-05
Position 5737: 1.504971329625932e-05
Position 249: 1.4918714958856763e-05
Position 253: 1.490548258896894e-05
Position 247: 1.4387897006353017e-05
Position 53: 1.4106592395015919e-05
Position 8454: 1.400346489533846e-05
Position 5566: 1.2652976796053138e-05
Position 407: 1.2452852603937901e-05
Position 6101: 1.2149986940068341e-05
Position 5627: 1.0334038465023748e-05
Position 269: 9.794857325695741e-06
Position 486: 9.341973980791768e-06
Position 8242: 8.06156292734001e-06
Position 370: 7.413898457516487e-06
Position 8212: 7.334665750163984e-06
Position 6158: 7.1065961392321086e-06
Position 153: 7.0053072525996715e-06
Position 440: 6.959789869505398e-06
Position 7583: 6.6644366299510425e-06
Position 484: 5.8703040233430875e-06
Position 6373: 5.51531237431707e-06
Position 173: 5.455030135648633e-06
Position 46: 4.658293494238344e-06
Position 354: 4.616870998806009e-06
Position 296: 4.520156812457508e-06
Position 475: 4.377602714245156e-06
Position 361: 4.075909262039305e-06
Position 6016: 3.4800483362919156e-06
Position 136: 3.265925641414564e-06
Position 7532: 3.2130327866611614e-06
Position 5935: 2.905108111366965e-06
Position 468: 2.8962673768525958e-06
Position 6426: 2.5633998987518113e-06
Position 8868: 1.949305339018745e-06
Position 5496: 1.8139502545492927e-06
Position 7220: 1.7938453792211294e-06
Position 344: 1.517204823273026e-06
Position 1585: 1.2051681159408732e-06
Position 6657: 1.184992514827029e-06
Position 33: 9.282373815393812e-07
Position 6669: 8.787162585104649e-07
Position 668: 8.429241341142171e-07
Position 7928: 8.333632332302089e-07
Position 6282: 7.755422222726222e-07
Position 7909: 7.532022669821821e-07
Position 7925: 6.421358130788127e-07
