Gene = Hakai
index = 1206
Annotated 5SS: [ 468 1119]
Annotated 3SS: [ 570 1188]
SMsplice 5SS: [ 468 1119]
SMsplice 3SS: [ 597 1188]
top_k =  500
Partition function (log Z): -3.4581960588345857

Sorted 5' Splice Sites (High to Low Probability):
Position 468: 0.9984904328726724
Position 1126: 0.48445904190449013
Position 699: 0.19495333950377333
Position 1123: 0.014895935526709928
Position 720: 0.0024281343134857436
Position 1087: 0.0020700640022655935
Position 1083: 0.0016074135461870578
Position 801: 0.00034563808112394827
Position 815: 0.00031920752911036165
Position 1277: 0.00026889128030067704
Position 1286: 0.0002545901353758471
Position 752: 0.00021711535931470772
Position 864: 0.00018801939428299632
Position 1295: 0.00018217923202276995
Position 492: 0.00015033238066955966
Position 946: 0.00013602447974321642
Position 505: 0.00011982441811825501
Position 1777: 0.00010058495367032617
Position 472: 9.302078844229842e-05
Position 1729: 8.649944142812254e-05
Position 369: 7.00711857277311e-05
Position 1100: 5.2871815421603214e-05
Position 1556: 5.1070433898530635e-05
Position 543: 4.15222034407812e-05
Position 1464: 4.111480610944863e-05
Position 905: 3.264318604818323e-05
Position 897: 2.3642945675465773e-05
Position 686: 2.2462733948841708e-05
Position 1040: 1.9938009708631544e-05
Position 1720: 1.904801780384389e-05
Position 771: 1.90203626349063e-05
Position 1470: 1.8358131410220446e-05
Position 1019: 1.384506320474375e-05
Position 440: 1.339912242756504e-05
Position 1767: 1.3346730318677882e-05
Position 841: 1.0694890534370617e-05
Position 428: 1.0487872729504382e-05
Position 452: 8.261913889092216e-06
Position 899: 2.7864276453258052e-06
Position 922: 2.538451340657903e-06
Position 873: 1.235694163851619e-06
Position 883: 1.0162612904525522e-06
Position 1775: 9.556822952264946e-07
Position 495: 5.3811823491007e-07
Position 267: 4.916711454103446e-07
Position 91: 2.626265466690825e-07
Position 249: 2.328942158445792e-07
Position 119: 2.1533783233701812e-07
Position 299: 1.5544729911056006e-07
Position 97: 1.0128210656858623e-07
Position 189: 3.615700524958469e-08
Position 186: 2.5464636392119463e-08
Position 144: 2.4214498290152874e-08
Position 383: 1.1788293311766198e-08
Position 171: 9.21312172900753e-09
Position 1298: 1.2022682791788539e-09
Position 1474: 6.772102357648305e-10
Position 999: 4.1383034277444755e-10
Position 1273: 3.367856534524412e-10
Position 866: 8.066208196272999e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 597: 0.9127000025379712
Position 1188: 0.6614970472249091
Position 977: 0.04330267163617314
Position 558: 0.03461466067453121
Position 570: 0.01322951679571399
Position 1025: 0.006526608288387907
Position 815: 0.005592991589578052
Position 752: 0.004545741772308358
Position 1010: 0.003862948012806245
Position 1404: 0.0026441270137129605
Position 1520: 0.0025349735978683246
Position 1031: 0.002444446072568764
Position 994: 0.0015134754671225741
Position 1312: 0.0014518477552146192
Position 629: 0.000719544000193969
Position 881: 0.0006069210492042799
Position 1289: 0.0004999540908108051
Position 797: 0.00036111994457006444
Position 608: 0.0003433152614253439
Position 1824: 0.00031346376934884097
Position 839: 0.0002588092018621066
Position 1618: 0.0002579656545556786
Position 1499: 0.0002466334952756984
Position 1298: 0.0002430038452755879
Position 922: 0.0002382049326192811
Position 863: 0.00021700382242819183
Position 1382: 0.0002148191934788436
Position 949: 0.0002075338462123308
Position 1037: 0.0001442384286918615
Position 1807: 8.459450887616013e-05
Position 761: 7.714190715462376e-05
Position 1058: 5.9029385479941716e-05
Position 698: 5.703742491831393e-05
Position 719: 4.362834674644705e-05
Position 1416: 3.102879280242774e-05
Position 1496: 2.880800983885456e-05
Position 1464: 2.7168334357103275e-05
Position 934: 2.6018173463268584e-05
Position 1449: 1.8640176051218055e-05
Position 1786: 1.780703623099274e-05
Position 1446: 1.1562503937363713e-05
Position 686: 1.057033142368986e-05
Position 878: 9.467690687818624e-06
Position 1567: 5.49321952951119e-06
Position 1112: 4.393155938604221e-06
Position 841: 3.6058156206111336e-06
Position 421: 3.1063130973267135e-06
Position 1148: 3.0385671018463396e-06
Position 427: 2.0480961304001037e-06
Position 307: 2.8469241309298623e-07
Position 436: 2.5697336133331654e-07
Position 213: 1.3822472062949765e-07
Position 293: 1.275007382916113e-07
Position 377: 3.053848163186879e-08
Position 501: 2.4858204235282667e-08
Position 668: 2.426382379280419e-08
Position 246: 1.9586938589023296e-08
Position 230: 9.459372236198633e-09
Position 210: 7.887879415333952e-09
Position 153: 7.764782971885473e-09
Position 267: 3.940069515800326e-09
Position 319: 3.427986277586919e-09
Position 310: 3.142740132033367e-09
Position 352: 2.894761996399448e-09
Position 393: 2.5520606997916524e-09
Position 410: 7.752507120312704e-10
Position 505: 7.294417901080732e-10
Position 243: 6.724158542891214e-10
Position 440: 4.350917801121012e-10
Position 196: 3.180779019744288e-10
Position 380: 2.757133619595484e-10
Position 254: 1.1393974466339949e-10
Position 276: 1.0952241612761215e-10
Position 262: 2.102111590706131e-11
Position 355: 3.0474683330759937e-12
Position 179: 2.240082429342796e-12
Position 140: 1.0732067585091338e-12
Position 468: 4.534799178117593e-13
Position 716: 5.5589643768366533e-14
