Gene = Cpr64Ad
index = 1097
Annotated 5SS: [86]
Annotated 3SS: [160]
SMsplice 5SS: [86]
SMsplice 3SS: [160]
top_k =  500
Partition function (log Z): -3.6215664535242675

Sorted 5' Splice Sites (High to Low Probability):
Position 86: 0.9679278394083217
Position 6: 0.0688443370670081
Position 92: 0.0018161553362212638
Position 108: 0.0013209635945460182
Position 96: 0.0008170009979690804
Position 651: 0.0005813951665572273
Position 659: 0.0001611453204245071
Position 35: 0.00014842931515396057
Position 10: 0.00014076321096506458
Position 618: 9.319950328789842e-05
Position 905: 6.258514683462318e-05
Position 957: 5.3603639229397335e-05
Position 90: 3.7631061326617015e-05
Position 645: 3.6170431559175766e-05
Position 121: 3.1336407484487273e-05
Position 350: 2.0036510723074674e-05
Position 580: 1.3399013319095416e-05
Position 693: 1.2727820357155171e-05
Position 512: 1.2480580795228162e-05
Position 923: 8.695168125748524e-06
Position 116: 6.705486798963236e-06
Position 914: 5.9835716754857705e-06
Position 240: 5.4171823752483065e-06
Position 209: 4.9167235609339646e-06
Position 586: 4.7685977645203225e-06
Position 204: 4.1524205087896114e-06
Position 298: 3.749658636504811e-06
Position 663: 3.371128100949565e-06
Position 431: 2.6358267711154528e-06
Position 536: 2.5777419172742835e-06
Position 373: 2.4130450076651194e-06
Position 699: 2.403217486213385e-06
Position 563: 2.1156109885801216e-06
Position 479: 2.0508068203451842e-06
Position 890: 1.819820565547048e-06
Position 14: 1.2782204890924346e-06
Position 371: 8.92903384364584e-07
Position 735: 8.860008327126068e-07
Position 488: 6.413605477967044e-07
Position 161: 6.007846202355873e-07
Position 702: 4.912479533015072e-07
Position 911: 4.128131295929258e-07
Position 749: 3.1377304086828024e-07
Position 656: 2.7679522546520154e-07
Position 707: 2.203748200555802e-07
Position 978: 3.5947686702950596e-08
Position 422: 3.738393687718478e-10
Position 455: 3.8052122014010233e-11
Position 170: 3.9876722734046155e-15
Position 164: 5.465694742652322e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 160: 0.9981523987449127
Position 63: 0.04188370357211392
Position 711: 0.0007134478386354295
Position 170: 0.0004946755545363965
Position 746: 0.0002574581125584403
Position 580: 0.00019612874861226666
Position 1022: 0.00013961455783135908
Position 120: 0.00011177950941079019
Position 199: 8.011787247686089e-05
Position 90: 7.078555671799924e-05
Position 422: 3.545841121938343e-05
Position 479: 1.927900150762585e-05
Position 604: 1.5019056952347582e-05
Position 754: 4.8585809409635875e-06
Position 782: 3.4340751009239657e-06
Position 536: 3.154791021059758e-06
Position 791: 3.084168511129677e-06
Position 512: 2.9689691867030603e-06
Position 628: 2.5305928815828805e-06
Position 818: 1.7877076837907274e-06
Position 851: 1.6768318668473715e-06
Position 586: 1.6301545884202729e-06
Position 491: 1.4393118776234147e-06
Position 431: 1.0397962461768172e-06
Position 945: 1.0045381863422747e-06
Position 379: 7.346280095060897e-07
Position 757: 4.1605834946951627e-07
Position 634: 3.421087043850239e-07
Position 125: 3.333371145828438e-07
Position 455: 3.078744347100847e-07
Position 685: 2.8022353242798257e-07
Position 559: 1.3588668186055563e-07
Position 128: 4.1018169738715036e-13
