Gene = bwa
index = 1637
Annotated 5SS: [ 508 2914 3124 6256]
Annotated 3SS: [2656 2985 5962 6986]
SMsplice 5SS: [ 508 2914 3124 6256]
SMsplice 3SS: [2656 2985 5962 6986]
top_k =  500
Partition function (log Z): 0.0007271151267560505

Sorted 5' Splice Sites (High to Low Probability):
Position 2914: 0.9884000106259293
Position 3124: 0.9640010701529574
Position 508: 0.8661511067356444
Position 6256: 0.7873687879730902
Position 1335: 0.5628515032669988
Position 2526: 0.24431650782149092
Position 6919: 0.1141798605169896
Position 5729: 0.10573389316329303
Position 2088: 0.06836485662421814
Position 5558: 0.05662372658629635
Position 512: 0.04965507995247957
Position 1550: 0.04388387054807548
Position 5537: 0.03233428610549548
Position 3098: 0.025060603729580754
Position 5705: 0.021629088536841253
Position 4988: 0.0203252544069449
Position 2307: 0.019162109962168952
Position 4810: 0.01795361250673526
Position 6065: 0.0148091270161236
Position 1611: 0.014376121094291192
Position 6373: 0.012919657083369906
Position 961: 0.011732657219856127
Position 6389: 0.01092839619034543
Position 456: 0.010753321685409415
Position 3270: 0.010405537657917597
Position 6343: 0.01034447645271974
Position 157: 0.010081285469980354
Position 2248: 0.009461535711315994
Position 47: 0.007850041262735289
Position 1509: 0.007080846979030576
Position 5554: 0.006351521892973142
Position 6798: 0.006273023482724586
Position 2896: 0.006271594178867249
Position 3691: 0.005791184049563432
Position 3657: 0.005685083171990307
Position 837: 0.005341167388984322
Position 535: 0.00532357956744222
Position 495: 0.0048118111073832594
Position 6317: 0.00447132430880212
Position 6795: 0.003926216034476588
Position 4771: 0.0033657947960462
Position 7233: 0.0031433171428684454
Position 1229: 0.0030256080902249754
Position 5576: 0.0027622854879077673
Position 1135: 0.0023150723268067852
Position 516: 0.0022754141210740856
Position 3376: 0.0017585661569146601
Position 740: 0.0016709515790454305
Position 1889: 0.0015194958700501199
Position 6605: 0.0015148589517999121
Position 3475: 0.0014268964904867116
Position 1867: 0.0012503174529694032
Position 6892: 0.001208143184316639
Position 3154: 0.0011894607031686449
Position 2253: 0.0011482344130695587
Position 4820: 0.001081890126490037
Position 539: 0.0009650356881572774
Position 2923: 0.0009491439457057208
Position 3949: 0.0008009773905470622
Position 1658: 0.0007941656076936582
Position 6197: 0.0007854460593502736
Position 1882: 0.000778479567763474
Position 2237: 0.0007344378984566228
Position 532: 0.0007094195575222704
Position 1289: 0.000683759190090604
Position 5658: 0.0006571054224939047
Position 3603: 0.0006425653336441622
