Gene = Acn
index = 7
Annotated 5SS: [1693 2008 2300 2471]
Annotated 3SS: [1796 2064 2360 2558]
SMsplice 5SS: [1693 2008 2300 2471]
SMsplice 3SS: [1796 2064 2360 2558]
top_k =  500
Partition function (log Z): -3.3268130076091893

Sorted 5' Splice Sites (High to Low Probability):
Position 2471: 0.9321614470788673
Position 1693: 0.8585567216028716
Position 2300: 0.8338834936070423
Position 2008: 0.7577953772628447
Position 788: 0.35760618663347876
Position 2734: 0.051822208609384225
Position 1986: 0.0455024561057099
Position 3025: 0.029923855091430657
Position 1117: 0.023652792943187385
Position 2913: 0.020545502959778233
Position 82: 0.01984045005224338
Position 1932: 0.015863019543220024
Position 2770: 0.015461756243352632
Position 794: 0.015046859310371715
Position 1463: 0.01481952689668252
Position 3010: 0.01248768419370033
Position 2909: 0.011853276185946886
Position 54: 0.008886760351282844
Position 2677: 0.00572483379074682
Position 515: 0.005430404673128368
Position 3231: 0.005280792015075056
Position 1508: 0.005163627005817465
Position 101: 0.004821942582058997
Position 1121: 0.003559717756482657
Position 3028: 0.0034684620765265657
Position 1735: 0.002228187104494673
Position 1995: 0.001879988716306787
Position 132: 0.0015825397132955283
Position 1135: 0.0014683063778939537
Position 1702: 0.0012891247555037396
Position 737: 0.0011638464787315536
Position 686: 0.0009514673305665151
Position 1660: 0.0009003526228402701
Position 3031: 0.0008668755016787283
Position 2841: 0.0008339328561451478
Position 20: 0.0008115509927662014
Position 1697: 0.0007767627799100653
Position 299: 0.0007677733389295133
Position 2713: 0.0007288089630073557
Position 323: 0.00064677969629295
Position 1568: 0.0006351991057523855
Position 371: 0.0005854527352460422
Position 2309: 0.0005004837637404984
Position 590: 0.000463933196922283
Position 1153: 0.0004577685137513885
Position 3287: 0.0004268889762813272
Position 1164: 0.00041846546899374816
Position 1451: 0.0003509366492188474
Position 2891: 0.0003313567128191064
Position 845: 0.0003206694507810938
Position 2686: 0.0002466425990702723
Position 1638: 0.00022868824492806302
Position 2964: 0.00019313072984271671
Position 117: 0.0001520154083648956
Position 1867: 8.850402798455973e-05
Position 1965: 7.502738580873291e-05
Position 2656: 6.172326289790385e-05
Position 1666: 4.0667459970071873e-05
Position 704: 3.845614716567972e-05
Position 840: 3.475809447773524e-05
Position 2288: 2.7053255876303446e-05
Position 2581: 2.2095073147181408e-05
Position 1859: 1.2276971045132528e-05
Position 155: 1.2137242179119695e-05
Position 136: 1.1980929950225669e-05
Position 147: 1.0782203680226173e-05
Position 689: 1.074962403361651e-05
Position 619: 9.351235015138525e-06
Position 446: 7.347534523455827e-06
Position 672: 7.345493501386606e-06
Position 2475: 3.6553649347073236e-06
Position 2491: 2.1974549903210764e-06
Position 2172: 8.847463372011041e-07
Position 301: 5.813363081417462e-07
Position 557: 3.84846980717631e-07
Position 630: 2.8733521915464556e-07
Position 257: 2.3986718804087766e-07
Position 869: 1.856752624073515e-07
Position 178: 1.6159357869418806e-07
Position 219: 1.589667457199193e-07
Position 282: 8.64195092050042e-08
Position 335: 8.298514613842842e-08
Position 493: 8.255331140143069e-08
Position 238: 6.261886002576999e-08
Position 263: 1.2570872819131863e-08
Position 338: 6.9661108179858636e-09
Position 414: 5.188845721563192e-11
Position 572: 3.20709194621079e-11
Position 423: 3.037431895391578e-11
Position 269: 8.727228271872702e-12
Position 241: 2.715389410903221e-12
Position 244: 2.414950545824611e-12
Position 188: 2.0998134944340343e-12
Position 2210: 1.4035500738479046e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2064: 0.9562593647409808
Position 2360: 0.7257317549333755
Position 2558: 0.7247990682382716
Position 1796: 0.7169704489369797
Position 3105: 0.2452851431243428
Position 3115: 0.13431439002163334
Position 1583: 0.11398508238125235
Position 851: 0.10766586587113797
Position 1870: 0.0732976735407401
Position 3151: 0.035211779553165436
Position 166: 0.02973747438064715
Position 912: 0.020335288164005955
Position 2428: 0.019540774967089555
Position 859: 0.019315560996241415
Position 1204: 0.01905224536546993
Position 1228: 0.017011041396906977
Position 2397: 0.015429402800579261
Position 1071: 0.012427352606878312
Position 863: 0.010052298287880965
Position 2374: 0.009224494386774338
Position 1880: 0.008207400545497873
Position 1268: 0.008200052463306257
Position 840: 0.007522685256198827
Position 1214: 0.0067627258738606
Position 1034: 0.006545137001580874
Position 3324: 0.006110073649060933
Position 2902: 0.004679377976125957
Position 1074: 0.004597385522817427
Position 2517: 0.00270766858506275
Position 810: 0.002066806191135997
Position 2103: 0.0020048616512889817
Position 2377: 0.0014730877339231693
Position 2027: 0.0011581486527615947
Position 2585: 0.001063593329460736
Position 1591: 0.0010388397559123832
Position 1731: 0.0009704021177208856
Position 1917: 0.0008917896590630846
Position 1394: 0.0007745688886301751
Position 2405: 0.0007566750020296193
Position 3343: 0.0007333152314684875
Position 1100: 0.0006997059142832908
Position 3047: 0.0006229896465952174
Position 1542: 0.000513784920648216
Position 1153: 0.0004516296979214811
Position 866: 0.000448027425412664
Position 2129: 0.00039620093026442537
Position 176: 0.0003705881030260346
Position 76: 0.00036282344215921296
Position 117: 0.00035263728983032087
Position 2565: 0.00027314317401899176
Position 1304: 0.00025451240767307816
Position 209: 0.0002000792579541313
