Gene = ORMDL
index = 1340
Annotated 5SS: [257 465]
Annotated 3SS: [312 681]
SMsplice 5SS: [257 465]
SMsplice 3SS: [312 681]
top_k =  500
Partition function (log Z): -0.18236859589833243

Sorted 5' Splice Sites (High to Low Probability):
Position 257: 0.984972422363402
Position 465: 0.5225941734106804
Position 500: 0.46528244780484224
Position 20: 0.017411080730386396
Position 823: 0.010659005379875174
Position 622: 0.0046796311452103985
Position 415: 0.002975303758895911
Position 469: 0.0022810996491036133
Position 617: 0.0014057558634740543
Position 477: 0.0003125753084348488
Position 438: 0.00029184585706387256
Position 283: 0.0002852512058286383
Position 811: 0.0002531908284356774
Position 486: 0.00019971393598994637
Position 8: 0.00012081370973588224
Position 504: 9.58323797205669e-05
Position 460: 8.559672107153507e-05
Position 63: 5.755167489466678e-05
Position 175: 4.737939540260779e-05
Position 572: 2.3707153806802122e-05
Position 179: 2.3525783541485962e-05
Position 135: 2.2843590001796545e-05
Position 209: 1.8619052642299353e-05
Position 595: 1.143561639393351e-05
Position 261: 8.16116704613062e-06
Position 788: 4.802847498484148e-06
Position 383: 3.564738563787665e-06
Position 603: 1.8572522224537914e-06
Position 46: 1.334672750257461e-06
Position 562: 8.372360172317594e-07
Position 200: 5.14100589625435e-07
Position 451: 2.727341608966754e-07
Position 37: 2.159984510443305e-07
Position 48: 1.953684795697862e-07
Position 796: 1.5994668551865396e-07
Position 554: 1.481436310427379e-07
Position 275: 1.2159227508131126e-07
Position 778: 1.0516103504003618e-07
Position 696: 6.077202886641201e-08
Position 287: 5.668757696066484e-08
Position 700: 4.616889936367496e-08
Position 321: 1.0591465814432808e-08
Position 85: 6.4096039041935736e-09
Position 334: 4.6550832970016293e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 312: 0.9819143489780526
Position 681: 0.9547527768095531
Position 603: 0.03208123185609179
Position 75: 0.012890144832413242
Position 888: 0.011012835276262792
Position 651: 0.010672165163577194
Position 62: 0.004179877123421159
Position 342: 0.0032816146311698915
Position 572: 0.0012625430637518158
Position 536: 0.0010778617537743345
Position 769: 0.0005333626432828787
Position 200: 9.582859639977704e-05
Position 123: 9.367322713384925e-05
Position 617: 9.329706930760258e-05
Position 778: 6.970947707527369e-05
Position 213: 5.950943609744083e-05
Position 155: 2.65085231735575e-05
Position 366: 1.4884995886429446e-05
Position 817: 4.707831093948737e-06
Position 257: 4.295029894728924e-06
Position 469: 3.714148283552425e-06
Position 402: 2.577234523113134e-06
Position 377: 1.9992274736002608e-06
Position 811: 1.6030356887963666e-06
Position 420: 8.873944408110585e-07
Position 448: 4.596229773625789e-07
Position 486: 2.909565782833391e-07
Position 499: 2.6725335040459835e-07
Position 98: 1.1966691154781036e-07
Position 135: 8.347521028277305e-08
Position 359: 7.342550906455158e-08
Position 109: 1.4113027410025534e-08
Position 280: 7.3294632700871624e-09
Position 438: 1.161751818532882e-09
Position 261: 1.0651541292566499e-11
Position 287: 6.983268549289469e-14
Position 283: 1.3584174056725485e-18
