Gene = Notum
index = 1327
Annotated 5SS: [ 440 6185 6764]
Annotated 3SS: [5790 6250 6827]
SMsplice 5SS: [ 440 6185 6764 6962]
SMsplice 3SS: [5790 6250 6827 8115]
top_k =  500
Partition function (log Z): 6.234169434238197

Sorted 5' Splice Sites (High to Low Probability):
Position 6185: 0.9994543367551842
Position 6764: 0.9985696769645781
Position 440: 0.9921123708456322
Position 6962: 0.656844301316804
Position 8018: 0.11764069442026844
Position 8008: 0.05350650964122755
Position 7917: 0.031033581687358616
Position 8226: 0.024435795813237408
Position 1657: 0.024023424917765924
Position 8230: 0.02046583077179588
Position 3742: 0.020420659976441963
Position 7976: 0.018016640701060776
Position 1255: 0.01765782085268928
Position 3068: 0.010471165742587102
Position 2239: 0.010227849822235695
Position 7828: 0.00800517956870625
Position 8196: 0.006302000213770865
Position 4333: 0.006084649926032523
Position 7934: 0.00514361468412382
Position 7089: 0.0046037403881281965
Position 8355: 0.00446042097696883
Position 471: 0.004417897396288568
Position 7902: 0.0033381581634473203
Position 5677: 0.0022143149554034697
Position 6993: 0.002055696542756736
Position 3136: 0.001830898728280886
Position 8222: 0.0014716148248171228
Position 6508: 0.0014605805019865877
Position 6973: 0.0013548396352734242
Position 8928: 0.0010974240927795627
Position 6768: 0.0010073565489501302
Position 8994: 0.00099630562956736
Position 6421: 0.0008306038260739086
Position 8211: 0.0005463001527208113
Position 7832: 0.0005148404453445072
Position 6971: 0.0005079559416085694
Position 7001: 0.0004811942014750018
Position 6580: 0.00034662768426577275
Position 3132: 0.00028635155719535334
Position 8243: 0.0002634764804725446
Position 8736: 0.00023387421666887391
Position 8998: 0.00021042248210852456
Position 7393: 0.00016359109404978436
Position 8348: 0.00015001290025340013
Position 6191: 0.00013125436724796243
Position 7548: 0.00011502547698439093
Position 8593: 0.00010633597001951414
Position 7182: 9.744556330683621e-05
Position 8625: 9.58811163253103e-05
Position 7878: 8.426202688305229e-05
Position 7962: 8.035888083381098e-05
Position 9139: 7.598101617252681e-05
Position 6593: 7.318511786379065e-05
Position 7597: 7.31059887182481e-05
Position 6544: 6.7144679807794e-05
Position 1129: 6.686527789801853e-05
Position 7022: 6.664411728493347e-05
Position 1108: 6.437623193857693e-05
Position 1366: 6.107693081516867e-05
Position 6189: 5.7869947870770166e-05
Position 1425: 5.472557450623388e-05
Position 6506: 5.386855631537189e-05
Position 24: 5.2479218647987536e-05
Position 7113: 4.837007123786643e-05
Position 1986: 4.4155174231022215e-05
Position 7530: 3.957556251761324e-05
Position 2007: 3.9369203747964445e-05
Position 7790: 3.4826917648279685e-05
Position 1206: 2.9936055505186347e-05
Position 6497: 2.6838492256776634e-05
Position 1222: 2.617346841376652e-05
Position 6442: 2.2649707614319766e-05
Position 6393: 2.2516110274874497e-05
Position 6649: 2.203547994209158e-05
Position 876: 2.1660047155561054e-05
Position 3109: 2.152525458700973e-05
Position 3484: 2.0190660997144536e-05
Position 6704: 1.85644024433711e-05
Position 1680: 1.8181213227706414e-05
Position 652: 1.7616523496073827e-05
Position 6659: 1.5860125003000237e-05
Position 77: 1.4787569444919503e-05
Position 2287: 1.4135819196000439e-05
Position 6089: 1.2539741325173041e-05
Position 3839: 1.0815763801362043e-05
Position 2322: 1.06323717835722e-05
Position 6332: 1.0501675272791074e-05
Position 6401: 9.654299644712486e-06
Position 130: 8.379947432139431e-06
Position 6984: 7.846861352345746e-06
Position 1169: 7.541272976534378e-06
Position 3037: 7.34627999797584e-06
Position 655: 6.880628245609915e-06
Position 252: 6.657233309377932e-06
Position 6342: 6.618755061036343e-06
Position 1259: 5.868033203364898e-06
Position 2136: 5.532362186154918e-06
Position 666: 5.4855936276389046e-06
Position 6464: 5.350694037555592e-06
Position 2336: 5.34450409898783e-06
Position 2457: 5.2465955131633164e-06
Position 6386: 4.315463219351194e-06
Position 264: 4.301564792624614e-06
Position 1630: 4.188383570700527e-06
Position 2028: 3.351118692451241e-06
Position 6571: 3.224195893958174e-06
Position 6728: 3.08859305280722e-06
Position 1163: 2.9937765812962795e-06
Position 7136: 2.7933688822985946e-06
Position 6666: 2.6984066379644204e-06
Position 45: 2.6153499273901736e-06
Position 1143: 2.5701373157958172e-06
Position 6772: 2.357168722073829e-06
Position 7772: 2.1572666396718346e-06
Position 6457: 1.7087591717930484e-06
Position 8012: 1.5885754440021421e-06
Position 5935: 1.437109156011549e-06
Position 193: 1.3961641338013172e-06
Position 6884: 1.1716239483354295e-06
Position 7647: 1.0930829492911894e-06
Position 7068: 1.0484560121360963e-06
Position 1183: 1.0100650380013257e-06
Position 6035: 9.504350459059076e-07
Position 1591: 7.832239368033975e-07
Position 4053: 7.712865486963884e-07
Position 1111: 7.013540305724286e-07
Position 52: 6.524561519522243e-07
Position 7665: 6.443562399613035e-07
Position 1386: 5.407977022464242e-07
Position 1614: 4.948415404791397e-07
Position 6339: 4.830455378184352e-07
Position 7320: 4.722638338868044e-07
Position 6693: 4.142372864121966e-07
Position 996: 3.886459720604185e-07
Position 7625: 3.74830742769421e-07
Position 858: 3.737955495425791e-07
Position 1352: 3.441045975744742e-07
Position 3967: 3.2617195161365896e-07
Position 4293: 2.9268491670998327e-07
Position 350: 2.728391796379382e-07
Position 853: 2.679849815311664e-07
Position 3759: 2.529835908405953e-07
Position 47: 2.4836508989530003e-07
Position 6896: 1.7005191045199558e-07
Position 201: 1.3632487655574393e-07
Position 6584: 1.3618386212319837e-07
Position 724: 1.0609424408101646e-07
Position 570: 7.347635785951874e-08
Position 6597: 5.7117431384057255e-08
Position 6653: 4.392868749851173e-08
Position 6481: 4.23726504661164e-08
Position 7095: 3.6808775935289797e-08
Position 7616: 3.579268997781675e-08
Position 6321: 3.363420388995509e-08
Position 348: 1.2495638437040877e-08
Position 6310: 9.077693995996464e-09
Position 34: 4.682759848930611e-09
Position 6669: 1.5290534717188478e-09
Position 8: 1.4767121285560424e-09
Position 874: 9.436293541742348e-10
Position 6631: 7.881546955846347e-10
Position 610: 5.863063808941026e-10
Position 789: 5.677268858883952e-10
Position 4362: 5.412218136118664e-10
Position 4357: 4.661715775244608e-10
Position 4399: 4.6479980848495726e-10
Position 444: 3.418060019557604e-10
Position 3740: 3.3317606473126363e-10
Position 3627: 2.441505680285221e-10
Position 6875: 1.8139422156998706e-10
Position 371: 1.1623146018411376e-10
Position 6839: 8.472100096309983e-11
Position 953: 5.202298522556118e-11
Position 603: 4.9872426307498036e-11
Position 955: 4.5746536993488726e-11
Position 729: 1.831262330556336e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 6250: 0.9998370874865623
Position 6827: 0.9980341373205424
Position 8115: 0.6842570248683449
Position 5790: 0.6824413540914687
Position 5818: 0.24659862579720357
Position 7058: 0.06601743531711801
Position 8076: 0.0492486249486762
Position 5828: 0.03985530058030361
Position 8782: 0.02925066842179105
Position 8137: 0.028647304894218035
Position 8813: 0.02626621481999304
Position 3337: 0.023254033195835355
Position 1498: 0.020383182379397513
Position 8652: 0.019520309325264107
Position 8317: 0.017723152245615315
Position 7033: 0.012449749588831903
Position 979: 0.009918078946046727
Position 1425: 0.007185065854200945
Position 4737: 0.006992103230161512
Position 9012: 0.006413255186527742
Position 5832: 0.005742367600115096
Position 8379: 0.004924120850970455
Position 6128: 0.004397556030751812
Position 8295: 0.004306062862098474
Position 5855: 0.004185911640592211
Position 8668: 0.003748268939755934
Position 9056: 0.003689229447010051
Position 2220: 0.003545229954974985
Position 5728: 0.0025873205592256455
Position 2912: 0.002297940986679561
Position 2027: 0.001941264787497531
Position 2048: 0.001936077284442145
Position 701: 0.001830497046828753
Position 6608: 0.0017783004770655529
Position 2597: 0.0016483885118255448
Position 9240: 0.0016263371281965912
Position 3966: 0.0015295647138665808
Position 9124: 0.001399456062868595
Position 3006: 0.0013925799017011776
Position 5437: 0.0012893290011368576
Position 5759: 0.0012730645540580368
Position 2972: 0.0011820071203124441
Position 627: 0.0011749528355946954
Position 8989: 0.0011745062901084564
Position 8088: 0.0010136005802522466
Position 982: 0.0009285964214697462
Position 2969: 0.000889656549965212
Position 4835: 0.0008490990562697066
Position 4006: 0.0008347063814600323
Position 5162: 0.0007857869896447286
Position 7167: 0.0007582342956270913
Position 3598: 0.0006496655712213516
Position 3241: 0.0006474728454144939
Position 2900: 0.0006332612400297864
Position 1316: 0.000627085146245484
Position 3381: 0.0005948264270593504
Position 9079: 0.0005609887645825788
Position 7962: 0.0005395279641387387
Position 1299: 0.0005281781293553841
Position 1032: 0.000522849728614997
Position 3553: 0.0004909484230917488
Position 6564: 0.0004667069725066694
Position 7148: 0.0004558348292370282
Position 603: 0.00045513661033555627
Position 7852: 0.0004269777924471844
Position 758: 0.00042568183767631646
Position 606: 0.00041873087798821986
Position 4601: 0.0004122917050974899
Position 958: 0.00035570676552570756
Position 3291: 0.00033449475049211324
Position 651: 0.00032531394331251245
Position 2669: 0.00032015467716145935
Position 7089: 0.00030964826670952674
Position 3419: 0.0002988535056159538
Position 7969: 0.00029789793453049025
Position 7237: 0.00028910542555132286
Position 4156: 0.00025674224478336737
