Gene = strat
index = 1897
Annotated 5SS: [204]
Annotated 3SS: [273]
SMsplice 5SS: [204]
SMsplice 3SS: [273]
top_k =  500
Partition function (log Z): -4.810285597647714

Sorted 5' Splice Sites (High to Low Probability):
Position 204: 0.9992488591186808
Position 539: 0.05070259513988058
Position 650: 0.005562064807512925
Position 655: 0.005527329338069832
Position 830: 0.0036358116682379234
Position 499: 0.0007587240530555966
Position 502: 0.000714636433311885
Position 596: 0.0006935956164124631
Position 23: 0.0006491444468236417
Position 644: 0.0005310982725771185
Position 421: 0.0001681046881501621
Position 864: 0.0001507501104386909
Position 844: 0.00013542179731301516
Position 414: 0.00012490197340766926
Position 782: 0.00010966915589876605
Position 791: 0.00010485817818934378
Position 6: 9.468624745231784e-05
Position 400: 7.328775738882722e-05
Position 815: 7.126802158352895e-05
Position 448: 6.298178213698255e-05
Position 663: 2.7639830241911324e-05
Position 208: 2.6071612350747574e-05
Position 355: 2.1611144605930722e-05
Position 823: 1.935130857601438e-05
Position 387: 1.6186480766335583e-05
Position 3: 1.3897596391366669e-05
Position 548: 1.3504763572016508e-05
Position 138: 6.395479354994025e-06
Position 688: 4.581690585912419e-06
Position 13: 3.912458646484452e-06
Position 274: 3.6112096897274566e-06
Position 602: 2.7343994448832793e-06
Position 543: 2.1745418204835984e-06
Position 160: 2.084192219421534e-06
Position 716: 1.9311133652759427e-06
Position 731: 1.003427388191582e-06
Position 765: 7.980902063628693e-07
Position 541: 2.821177793909442e-07
Position 51: 9.000027061799094e-08
Position 149: 5.319974506851532e-09
Position 252: 1.0330793500494467e-09
Position 258: 2.403975616677408e-10
Position 280: 1.4683848570552336e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 273: 0.9854146700630305
Position 706: 0.026693899196776463
Position 731: 0.015826449047901602
Position 908: 0.01384022622053382
Position 644: 0.008852539406979045
Position 602: 0.007660261967394993
Position 648: 0.0037312081081025982
Position 713: 0.0020069956500277228
Position 297: 0.0012862482957248852
Position 622: 0.0006978716232125394
Position 300: 0.0006683903785442679
Position 87: 0.0006034420483392758
Position 716: 0.0005754098952338875
Position 917: 0.0004252042773217902
Position 736: 0.0003526631028486925
Position 303: 0.00013810875371097055
Position 625: 7.915720498082229e-05
Position 410: 6.241878416363952e-05
Position 329: 5.7640582402088664e-05
Position 103: 5.756557520718608e-05
Position 875: 4.7491977501777604e-05
Position 776: 4.483718879274672e-05
Position 64: 3.559469987190652e-05
Position 320: 3.510566869583074e-05
Position 149: 2.928976116674773e-05
Position 89: 1.539392867691966e-05
Position 343: 1.0716216728068582e-05
Position 782: 8.95781080518801e-06
Position 548: 5.897465937370803e-06
Position 360: 5.405727424578838e-06
Position 834: 5.10540561824127e-06
Position 864: 4.42549868488392e-06
Position 495: 3.747031598597963e-06
Position 93: 1.6068389077795835e-06
Position 796: 1.0025642793422954e-06
Position 655: 9.407729801917986e-07
Position 414: 9.046515556339377e-07
Position 197: 4.2626787696351585e-07
Position 174: 3.737791962809304e-07
Position 180: 2.842209204009291e-08
Position 378: 1.5373559089271146e-08
Position 107: 1.3002640833247124e-08
Position 200: 3.0683191665669257e-09
Position 510: 1.2206624565310363e-09
Position 241: 1.0078199158616468e-09
Position 519: 9.275952263387601e-10
Position 442: 8.401577066252004e-11
Position 467: 7.350002850276685e-11
Position 438: 6.762707853043693e-11
Position 525: 6.100154197430681e-11
Position 333: 4.980572297058022e-11
Position 497: 6.229849482498201e-12
Position 182: 4.837898166225563e-13
Position 208: 3.9930243221495643e-17
Position 203: 5.0660409956076755e-18
