Gene = ms(2)35Ci
index = 1797
Annotated 5SS: [211 479 680]
Annotated 3SS: [267 540 740]
SMsplice 5SS: [211 479 680]
SMsplice 3SS: [267 540 740]
top_k =  500
Partition function (log Z): -0.3970791703360016

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9946364500826687
Position 680: 0.9525103961245285
Position 211: 0.6871585793779718
Position 197: 0.03661751794997302
Position 1221: 0.016658744574830138
Position 1431: 0.003808106700177576
Position 1428: 0.003496359554839485
Position 616: 0.0023019244719228614
Position 215: 0.0016535606033427361
Position 857: 0.0008381264609588504
Position 1289: 0.0007825054416688462
Position 684: 0.0005024402476595614
Position 788: 0.0003292876605158848
Position 82: 0.0003286032673078602
Position 1586: 0.0003276592972255029
Position 1358: 0.00027464525172148823
Position 1305: 0.0002264026040291559
Position 571: 0.00014429038747012138
Position 136: 0.00013595632215185097
Position 331: 0.00011117143350240091
Position 1435: 8.991434355687555e-05
Position 286: 8.649113140795596e-05
Position 24: 7.081748421409648e-05
Position 1225: 5.718074060836606e-05
Position 141: 3.703157366823641e-05
Position 663: 3.5374124665670694e-05
Position 455: 3.079320374498534e-05
Position 844: 2.864838263817515e-05
Position 1235: 2.723322588942392e-05
Position 303: 2.549889139552487e-05
Position 339: 2.1482112392633952e-05
Position 353: 2.0561523571416123e-05
Position 133: 1.9307391012955226e-05
Position 1579: 1.056441400912443e-05
Position 1101: 8.189749658851081e-06
Position 1320: 7.971161922391682e-06
Position 297: 7.472413106178559e-06
Position 1313: 7.271303426179721e-06
Position 968: 6.854947782371934e-06
Position 365: 6.355612129846495e-06
Position 1008: 5.567672468742305e-06
Position 854: 5.018628913600467e-06
Position 892: 4.76221325427609e-06
Position 1204: 3.974136931770368e-06
Position 1095: 3.948740841367419e-06
Position 1444: 3.7609770425414214e-06
Position 517: 3.212844390278683e-06
Position 126: 3.0009873537974556e-06
Position 385: 2.8060470315791587e-06
Position 27: 2.5599720686608284e-06
Position 646: 2.036254823908202e-06
Position 206: 1.5513701999131933e-06
Position 1546: 1.5213164867793974e-06
Position 110: 4.899499226408671e-07
Position 793: 2.2438860941449213e-07
Position 562: 2.1184146938254256e-07
Position 920: 1.0060258271515034e-07
Position 909: 5.0184716510799544e-08
Position 584: 3.251664171339204e-08
Position 1133: 2.5101092881418925e-08
Position 764: 1.6721784729286682e-08
Position 1113: 1.3905545101176621e-08
Position 1107: 1.2514191011196786e-08
Position 1119: 9.264049524497785e-09
Position 743: 3.30090113994457e-09
Position 755: 3.12310527803786e-09
Position 740: 2.6453142957331335e-09
Position 758: 2.2315151999660913e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 540: 0.9978916308817356
Position 740: 0.9372102019727998
Position 267: 0.4342785557561524
Position 338: 0.22834897767550294
Position 303: 0.04507371801612841
Position 1382: 0.021240266821529668
Position 1507: 0.015069655438518634
Position 359: 0.005418083484902227
Position 286: 0.0027166988969989023
Position 283: 0.0023619780126175943
Position 1089: 0.002233990259961578
Position 822: 0.001945133947631431
Position 988: 0.0018604278817685933
Position 309: 0.0015295028921830215
Position 248: 0.0010290503220222397
Position 562: 0.000850076850043583
Position 959: 0.0006635912529354699
Position 1022: 0.0006077676106076641
Position 385: 0.0005916029971639458
Position 139: 0.00034936173027142365
Position 937: 0.00028715009040042056
Position 1637: 0.00023691757999960312
Position 868: 0.0002164104689446515
Position 793: 0.0001755482424619162
Position 635: 0.00016392098038362825
Position 365: 0.00015092394368870307
Position 1431: 0.00014566138929870024
Position 1289: 0.00014264677493918941
Position 516: 0.00010987234684095634
Position 1630: 0.00010202098088313836
Position 368: 9.854645327412823e-05
Position 840: 8.16624414070191e-05
Position 1201: 7.797899155347576e-05
Position 684: 7.437950116858652e-05
Position 1305: 3.957782516782261e-05
Position 107: 2.8057361146064208e-05
Position 1389: 2.525226179256839e-05
Position 507: 2.0437346201822792e-05
Position 787: 1.6891410910214937e-05
Position 1095: 1.2297728471113356e-05
Position 1615: 4.894474867294415e-06
Position 1107: 3.852315679088635e-06
Position 77: 1.775406495929282e-06
Position 1634: 1.5459656701703782e-06
Position 69: 1.3560342223557706e-06
Position 483: 1.3253183500691934e-06
Position 193: 5.129642077700432e-07
Position 227: 4.4271442293697967e-07
Position 82: 1.8822367440645722e-07
Position 162: 9.925116940614331e-08
Position 1029: 9.432769064201743e-08
Position 201: 7.60341567051883e-08
Position 110: 7.113592900418829e-08
Position 178: 1.0507073129043135e-11
Position 170: 1.0378828653141943e-12
Position 180: 2.6163227352459826e-14
