Gene = ND-13B
index = 1296
Annotated 5SS: [112 403]
Annotated 3SS: [240 601]
SMsplice 5SS: [112 403]
SMsplice 3SS: [247 601]
top_k =  500
Partition function (log Z): -0.6831867607178075

Sorted 5' Splice Sites (High to Low Probability):
Position 403: 0.9828822005544203
Position 112: 0.801967300337844
Position 188: 0.004482018372459764
Position 131: 0.0032433525715341613
Position 450: 0.0021057658357848457
Position 788: 0.0017418517906012383
Position 248: 0.0013793313454850264
Position 198: 0.001061782910760883
Position 524: 0.0008213364374333103
Position 357: 0.0005394834083822456
Position 443: 0.00019976830713150303
Position 536: 0.00018110418812824022
Position 45: 0.00016534149388924908
Position 517: 0.00016006223725132033
Position 78: 8.807701096696592e-05
Position 373: 5.612999054299595e-05
Position 434: 5.5535604200128856e-05
Position 48: 4.9772628793195094e-05
Position 751: 4.8588146513668754e-05
Position 805: 3.540561296148007e-05
Position 300: 3.5102640616141653e-05
Position 470: 1.7494246406873704e-05
Position 210: 1.6671068542960113e-05
Position 116: 1.1437391350851567e-05
Position 216: 9.939519747707828e-06
Position 724: 3.6678261472662355e-06
Position 32: 3.344897423583002e-06
Position 394: 8.758474978132383e-07
Position 647: 7.327358157933461e-07
Position 488: 6.491102342372422e-07
Position 324: 5.373101540792715e-07
Position 322: 4.6110088297416734e-07
Position 240: 1.4306964935262235e-07
Position 728: 1.0587352079695818e-07
Position 265: 7.172352079282042e-08
Position 293: 6.17929362353071e-08
Position 636: 5.866591049491634e-08
Position 221: 4.484380803006293e-08
Position 632: 1.0341605412985694e-08
Position 267: 2.1455320410870507e-09
Position 642: 2.2829628247755976e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 601: 0.9983805869106002
Position 247: 0.4932549571200379
Position 240: 0.29749806283350816
Position 293: 0.0037622526865185033
Position 309: 0.003300643644914473
Position 188: 0.0018067821330188835
Position 878: 0.0009535823449446371
Position 607: 0.0004774072504934621
Position 532: 0.00047620911623872666
Position 862: 0.00045841215196469647
Position 866: 0.000358419407795558
Position 628: 0.00014857349527194841
Position 473: 0.00011823854442855618
Position 484: 8.080394632604794e-05
Position 339: 7.896021524331241e-05
Position 160: 4.09927521764201e-05
Position 162: 4.083993752012556e-05
Position 822: 3.414249788646908e-05
Position 330: 3.366076264758484e-05
Position 839: 1.90394658874184e-05
Position 464: 1.2079908760122393e-05
Position 805: 1.060616186920867e-05
Position 504: 3.623833315435948e-06
Position 667: 3.3500824707074454e-06
Position 99: 2.181405213360096e-06
Position 712: 1.8867174634421154e-06
Position 647: 1.8739205131658892e-06
Position 498: 1.6131239599519226e-06
Position 673: 1.539216235366037e-06
Position 108: 1.1992948189917296e-06
Position 652: 7.808890702066839e-07
Position 347: 5.3447828350603e-07
Position 78: 4.80052160043156e-07
Position 381: 2.7050208201139236e-07
Position 679: 2.1198445342400056e-07
Position 122: 1.9050056081177937e-07
Position 751: 1.6719813346996243e-07
Position 443: 1.0987358791200295e-07
Position 116: 6.13335028484647e-08
Position 843: 5.653213672677404e-08
Position 378: 3.571302509715059e-08
Position 131: 3.3469165351554536e-08
Position 787: 2.947654772196591e-08
Position 357: 2.8937506280632966e-08
Position 748: 2.806736586138465e-08
Position 136: 2.6340708329963865e-08
Position 793: 2.4108502856453414e-08
Position 148: 1.0036410562493305e-08
Position 772: 7.967671253537864e-09
Position 767: 7.55631714031548e-09
Position 366: 3.6147631399347325e-09
Position 403: 1.424002889484663e-09
Position 407: 6.705839813035483e-13
