Gene = Gsc
index = 1203
Annotated 5SS: [1098 2414]
Annotated 3SS: [ 2051 10239]
SMsplice 5SS: [1098 2414]
SMsplice 3SS: [ 2051 10239]
top_k =  500
Partition function (log Z): -3.914198455607086

Sorted 5' Splice Sites (High to Low Probability):
Position 1098: 0.9864669704789338
Position 2414: 0.9593789904657029
Position 6856: 0.2991007614614362
Position 1823: 0.15592729234721764
Position 5290: 0.13872565386004534
Position 10796: 0.10728882282228044
Position 3566: 0.0835502899219182
Position 10580: 0.06848450980613191
Position 6868: 0.06251938136427583
Position 3573: 0.0491718731182872
Position 90: 0.044370547862751505
Position 6692: 0.04362536255165395
Position 6428: 0.042750807129619456
Position 2132: 0.033635160250068255
Position 1872: 0.0252221085139795
Position 4539: 0.024457344407584822
Position 3384: 0.01702150075652903
Position 1457: 0.01655457006886049
Position 5342: 0.01615119026530263
Position 6883: 0.015424892027727203
Position 7414: 0.013575259129266926
Position 1765: 0.01140279854903392
Position 915: 0.00627620364205803
Position 1906: 0.005782209486024164
Position 482: 0.00551547553498916
Position 5878: 0.005180476035305064
Position 208: 0.0051055716398772134
Position 741: 0.0049158441546051914
Position 4586: 0.004615904803499601
Position 2968: 0.0031947372051181174
Position 416: 0.003094702598017376
Position 6775: 0.0030617178183643696
Position 3636: 0.0030022153328114884
Position 2918: 0.002928645221329351
Position 5040: 0.0023271160945515694
Position 3404: 0.0017147223919633011
Position 3358: 0.0014489132445626408
Position 736: 0.0013942771505288936
Position 2973: 0.0012828221610186109
Position 10569: 0.0012470753109285538
Position 2878: 0.00104493612565449
Position 1802: 0.0009883068653126117
Position 108: 0.0009321972289274167
Position 1718: 0.000896126311226233
Position 3563: 0.0008115115169881448
Position 1192: 0.0007923303690433596
Position 2387: 0.0007682153531524532
Position 1982: 0.0007298624146944295
Position 231: 0.0006971230472855801
Position 103: 0.0006543861571956533
Position 3276: 0.0006448443179119217
Position 909: 0.0006257365679777121
Position 661: 0.000581069380951481
Position 2004: 0.0005338958260256183
Position 400: 0.0004996877469353411
Position 5760: 0.0004955098444899626
Position 705: 0.0004190224510956318
Position 4706: 0.0004110622798263997
Position 3585: 0.00031245924820377097
Position 5705: 0.00029503745824372763
Position 1705: 0.0002712386879101554
Position 3007: 0.00024316769050828632
Position 147: 0.00020541446659688947
Position 831: 0.00017841850187192326
Position 1735: 0.00017252879650105985
Position 113: 0.0001623514735765879
Position 1568: 0.00015449093461564987
Position 665: 0.00014482368464649746
Position 3127: 0.0001332778202344014
Position 3866: 0.00012961952649372886
Position 4145: 0.00012938602471783073
Position 787: 0.0001234158580918399
Position 4437: 0.00011612962554739836
Position 4292: 0.00010645700923634708
Position 1777: 9.789560839053903e-05
Position 1483: 9.680161913885245e-05
Position 507: 6.698601744444315e-05
Position 523: 6.442427812076263e-05
Position 1041: 6.255399980170744e-05
Position 96: 5.971385274502778e-05
Position 1528: 5.387660968315562e-05
Position 413: 5.1571107587393684e-05
Position 2451: 4.300638676588386e-05
Position 2939: 3.717110103035472e-05
Position 38: 3.414257726968284e-05
Position 1830: 3.238749778420889e-05
Position 1410: 2.843732939944258e-05
Position 94: 2.691635778250944e-05
Position 339: 2.680574226218676e-05
Position 4120: 2.4413123020338624e-05
Position 256: 2.429379616312425e-05
Position 927: 2.159760662409473e-05
Position 937: 2.0511325573469467e-05
Position 31: 1.7149947241548567e-05
Position 220: 1.0598977372687714e-05
Position 2453: 8.06916724458936e-06
Position 697: 7.5546682631242864e-06
Position 715: 7.39704177759785e-06
Position 1068: 5.321651814685941e-06
Position 1102: 4.634784821303794e-06
Position 2408: 4.555344618858844e-06
Position 2924: 3.100466339291882e-06
Position 3238: 2.4864375147016257e-06
Position 52: 1.9438786314610746e-06
Position 1748: 1.8343888401089296e-06
Position 1180: 1.19400471501345e-06
Position 1004: 9.586696828641213e-08
Position 2649: 6.7130053368308e-08
Position 1282: 8.700929257175472e-09
Position 743: 7.68808247647447e-09
Position 319: 1.1664156085752154e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10239: 0.9968665272164465
Position 2051: 0.8930337146886546
Position 6562: 0.3162737098294385
Position 1265: 0.1440160877987433
Position 3447: 0.08379618705090974
Position 6356: 0.07664493068408101
Position 10846: 0.05953909345158376
Position 5132: 0.05626335338244001
Position 4382: 0.056025192530031055
Position 10859: 0.05435092607846485
Position 1671: 0.0511531885955288
Position 5175: 0.04499824360211164
Position 3340: 0.03770339100224389
Position 6763: 0.03694588353962708
Position 10631: 0.027210965121820533
Position 6730: 0.02599726111582199
Position 2017: 0.024358997102152183
Position 4788: 0.02434781424679608
Position 1399: 0.023872348272251282
Position 3481: 0.0162723724101672
Position 807: 0.014831872393506518
Position 6617: 0.013756385841214868
Position 1282: 0.01274352080838858
Position 2518: 0.011962642951708381
Position 829: 0.011669384314018314
Position 1269: 0.011102877926297997
Position 10703: 0.010461763431483318
Position 1630: 0.009028621464907573
Position 10918: 0.008885534640401349
Position 285: 0.008309568220783404
Position 6505: 0.008055022121675803
Position 966: 0.007070805229807595
Position 10792: 0.006663448032308172
Position 1618: 0.006593539270507179
Position 972: 0.005758873069381153
Position 2700: 0.005666802760462506
Position 10757: 0.005618514944216134
Position 1927: 0.0050931027501199795
Position 3345: 0.004914779007757379
Position 1876: 0.004662345888085106
Position 293: 0.004606529268598638
Position 1000: 0.004252802658494002
Position 2119: 0.0037871346595700645
Position 10990: 0.0037159114934640696
Position 2796: 0.0029800074841627062
Position 2233: 0.0029295201456329386
Position 7109: 0.002793944842723515
Position 304: 0.0021772784113505204
Position 4606: 0.0021373037748677417
Position 5415: 0.0021333939118530973
Position 2495: 0.002077990240048013
Position 256: 0.002076049958256214
Position 2589: 0.0020576697309876877
Position 1802: 0.002020554207270699
Position 147: 0.002009474605486477
Position 1301: 0.0019342897118336205
Position 1160: 0.0018690005370681918
Position 5539: 0.0018479708513691787
Position 1200: 0.0018472743422321527
Position 4571: 0.001769203375794403
Position 2272: 0.0015758754561507687
Position 4796: 0.0013227045437678245
Position 2757: 0.0012059348314752837
Position 161: 0.0010351624561638628
Position 1508: 0.001014568760577319
Position 6702: 0.00099140117135125
Position 366: 0.0009689431096653655
Position 631: 0.0009528727091430082
Position 547: 0.0008700071448374757
Position 1712: 0.0008007948596145056
Position 1982: 0.0007706539535677748
Position 2125: 0.0007362912801607042
Position 9684: 0.0006477624901212322
Position 11135: 0.000574250745598817
Position 1489: 0.0005207282678276739
Position 522: 0.0004883994335505775
Position 9044: 0.0004868229562995233
Position 2244: 0.00040901721975528967
Position 213: 0.00034547519017763014
Position 661: 0.00030381931251174596
Position 2311: 0.0002745325199841227
Position 1286: 0.0002692520539323469
Position 1483: 0.0002673011664530438
Position 1891: 0.00026725778970726276
Position 332: 0.00020273749818619142
Position 4915: 0.00019813402379905684
Position 2586: 0.00018277749679744944
Position 394: 0.00018067450085057363
Position 1938: 0.0001595802961403957
Position 1180: 0.00012735792216771424
Position 2144: 0.00011750747718858353
Position 3401: 0.00011156102749958045
Position 220: 0.0001114639012975329
Position 2706: 0.00010940816122539239
Position 1170: 0.00010185022800444567
Position 1538: 9.210894680529625e-05
Position 1369: 8.953976403123491e-05
Position 2354: 8.06575693828935e-05
Position 909: 6.271346437110204e-05
Position 1187: 6.20913960194498e-05
Position 485: 6.148704007846632e-05
Position 2561: 5.045930843319298e-05
Position 1021: 4.0272852937456764e-05
Position 6947: 3.789706388722488e-05
Position 1578: 3.695590798792618e-05
Position 977: 3.32757541817401e-05
Position 7641: 3.089135491625517e-05
Position 7056: 2.9910797615936982e-05
Position 732: 2.6108689939672805e-05
Position 231: 2.479482709695913e-05
Position 676: 2.3335607081324934e-05
Position 1416: 2.3269369832427202e-05
Position 927: 2.186868587724645e-05
Position 1206: 2.09022144536493e-05
Position 2984: 2.0480904499149868e-05
Position 1142: 1.903100807557102e-05
Position 550: 1.8834068114630055e-05
Position 697: 1.8249814507033354e-05
Position 531: 1.5588065590921556e-05
Position 6909: 1.4728048364965379e-05
Position 673: 1.0658368052110262e-05
Position 553: 9.873810267977175e-06
Position 400: 9.628884272559408e-06
Position 3382: 7.397250935734133e-06
Position 870: 5.495107200295524e-06
Position 5831: 1.6168254743665668e-06
Position 90: 6.772609663716358e-07
Position 335: 6.254442325245946e-07
Position 652: 5.060725043477813e-07
Position 103: 3.144919671799402e-07
Position 3914: 1.8766553573604886e-07
Position 264: 6.996002042938123e-08
Position 266: 5.791529472549061e-10
Position 113: 2.5446008305698767e-10
Position 406: 1.767423648186252e-10
Position 429: 1.6548558355259305e-10
