Gene = Papss
index = 1359
Annotated 5SS: [ 2311  3106 13200 15048]
Annotated 3SS: [ 2876 13084 13521 15111]
SMsplice 5SS: [  338 13200 15048]
SMsplice 3SS: [13084 13521 15111]
top_k =  500
Partition function (log Z): 3.1434561795207134

Sorted 5' Splice Sites (High to Low Probability):
Position 15048: 0.991272210091324
Position 338: 0.9840284749329211
Position 13200: 0.9812520870682961
Position 2311: 0.6886227444922848
Position 3106: 0.5664020560228049
Position 10030: 0.5276733649327642
Position 2984: 0.14870697574345929
Position 2502: 0.12213126925345269
Position 994: 0.11643849005805416
Position 2353: 0.06948036372348296
Position 2735: 0.053408011753021685
Position 1654: 0.05307050508523393
Position 136: 0.0520586011724852
Position 14407: 0.047058481479162584
Position 14464: 0.039066829839416554
Position 3655: 0.034516325892339106
Position 8426: 0.025937473237864855
Position 9164: 0.023221136147894162
Position 14855: 0.02310050833713657
Position 2064: 0.02298224569835229
Position 7661: 0.021030328942461454
Position 14874: 0.018376498338384745
Position 2979: 0.017090984498703426
Position 2658: 0.015703910589870192
Position 151: 0.015596863531874134
Position 1348: 0.01179853418460348
Position 13971: 0.011414077090689928
Position 2757: 0.01083205517023199
Position 3519: 0.01080745117094135
Position 14573: 0.009693025431178049
Position 12: 0.009645543719783113
Position 3532: 0.008444472881252907
Position 3305: 0.00818958169438297
Position 1237: 0.007837679605684376
Position 602: 0.005483686649436578
Position 13762: 0.00455213436289918
Position 14150: 0.004019884441484706
Position 20: 0.003891652279454144
Position 2478: 0.003659924146157798
Position 14552: 0.0034208652865827926
Position 2344: 0.002866555576443973
Position 1904: 0.0026252711080380544
Position 15054: 0.002514646473503119
Position 1593: 0.0023275703827310146
Position 259: 0.002230823657535659
Position 15315: 0.001981034231164264
Position 2488: 0.0019562280436067466
Position 14496: 0.0018920330312214696
Position 13275: 0.0017090802783976244
Position 569: 0.001436485673870053
Position 13228: 0.0011547795119191536
Position 1723: 0.0008972288834981145
Position 15498: 0.0008568323542601253
Position 10380: 0.0008427845337370683
Position 15360: 0.0006551925636472855
Position 3265: 0.0006263100705308067
Position 455: 0.0006115674653831553
Position 11760: 0.0005782047345981184
Position 353: 0.0005678996543310539
Position 1431: 0.0005082810662455487
Position 10482: 0.0005051159921830872
Position 13795: 0.00038299356085809893
Position 15345: 0.0003375589200671945
Position 15004: 0.0002905740567641987
Position 203: 0.0002779351498950598
Position 1197: 0.0002734467548487125
Position 419: 0.00022593566141862118
Position 15370: 0.00021842531841215717
Position 651: 0.00019733829856878572
Position 13861: 0.00017224818359404606
