Gene = Clamp
index = 1078
Annotated 5SS: [ 256  764 1024 1507 1841 2094]
Annotated 3SS: [ 499  822 1076 1566 1889 2155]
SMsplice 5SS: [ 256  764 1024 1507 1841 2094]
SMsplice 3SS: [ 499  822 1076 1566 1925 2155]
top_k =  500
Partition function (log Z): 6.0541064019859885

Sorted 5' Splice Sites (High to Low Probability):
Position 764: 0.997771102025036
Position 1507: 0.982948462548073
Position 2094: 0.8885463033299997
Position 256: 0.8726510495967821
Position 1841: 0.6508517328322029
Position 1024: 0.6193721917280046
Position 2581: 0.3333012179608381
Position 1812: 0.18892471265548424
Position 970: 0.115569371463601
Position 1110: 0.10698594192335333
Position 403: 0.04201232825945671
Position 1028: 0.029417535733092998
Position 3058: 0.027680315071857385
Position 1681: 0.015746183941536297
Position 387: 0.014815865937208484
Position 1800: 0.012298192875554285
Position 3292: 0.007774856356625756
Position 1654: 0.006818370116246882
Position 2382: 0.006379129059933713
Position 997: 0.006356967154952834
Position 2609: 0.006023626893987753
Position 3089: 0.005245498345954736
Position 2044: 0.003337539347616651
Position 1510: 0.0027062502536474324
Position 377: 0.0027039723572824343
Position 234: 0.002618076773706245
Position 2408: 0.0024584045172696013
Position 1434: 0.002214697577048334
Position 2477: 0.002063769222096927
Position 407: 0.0019826250676128272
Position 1279: 0.001982061788077737
Position 291: 0.0017477262110430682
Position 249: 0.0015228273402592004
Position 1103: 0.001406020631948459
Position 1845: 0.0013903441835196504
Position 2324: 0.0013747390316480384
Position 2571: 0.0013460835018773022
Position 1767: 0.0010994407878289624
Position 87: 0.0009875783971937996
Position 69: 0.000980768942081207
Position 3129: 0.000976675203525729
Position 286: 0.0009286307912619787
Position 1233: 0.0009251688483690136
Position 48: 0.0009114506609607761
Position 947: 0.0008893749234154062
Position 2899: 0.0008633013475048087
Position 2818: 0.0008611044934359496
Position 299: 0.0007589902738580765
Position 1513: 0.0007514776410218471
Position 1830: 0.0006768013978144352
Position 355: 0.0006654133276406163
Position 1943: 0.0006577712416182963
Position 2941: 0.000563365441593038
Position 244: 0.0004984410282689924
Position 1890: 0.0004942792370853882
Position 1824: 0.00041522902394361367
Position 2245: 0.0003795045179037395
Position 123: 0.00034525747214481263
Position 768: 0.00032708179320561524
Position 1761: 0.0002687976486682171
Position 563: 0.00026035996564877935
Position 75: 0.00023791378463750097
Position 1105: 0.00021278723762717904
Position 220: 0.00020598170067816885
Position 546: 0.00020037319800171496
Position 1685: 0.00018472095633411447
Position 1338: 0.00017794966783590317
Position 2010: 0.00016153868016434046
Position 345: 0.0001251601985737418
Position 1758: 0.00012420093616861784
Position 239: 0.00012235531881975834
Position 445: 7.611298880461372e-05
Position 1964: 7.429505269833778e-05
Position 574: 6.824821731683574e-05
Position 17: 6.524344717040052e-05
Position 2238: 5.3072625417875437e-05
Position 1994: 4.7456231637748636e-05
Position 1423: 4.200736421099573e-05
Position 1928: 3.3420929472830417e-05
Position 2326: 3.323058663825419e-05
Position 1114: 3.226206881248028e-05
Position 428: 2.892592253873853e-05
Position 2240: 2.544736452891575e-05
Position 1701: 2.433305170077064e-05
Position 381: 2.216616394107324e-05
