Gene = aos
index = 1610
Annotated 5SS: [  970 11830 12071]
Annotated 3SS: [11275 11898 12138]
SMsplice 5SS: [  970 11830 12071]
SMsplice 3SS: [11275 11898 12138]
top_k =  500
Partition function (log Z): 6.248917753692763

Sorted 5' Splice Sites (High to Low Probability):
Position 12071: 0.999142538924849
Position 11830: 0.9989811400145464
Position 970: 0.9869501943879673
Position 11449: 0.1761257190036209
Position 12783: 0.15800774199391632
Position 12935: 0.054528805000103577
Position 14: 0.05424510416059185
Position 12329: 0.0540950015990479
Position 5512: 0.05045847971143885
Position 12759: 0.04232155612176465
Position 2985: 0.02166817529242363
Position 335: 0.013270296167493008
Position 12634: 0.009126087084865672
Position 10215: 0.008149719923633558
Position 10129: 0.007004687346772345
Position 8170: 0.006902045846139288
Position 2122: 0.00590509181530352
Position 1794: 0.005746807429109553
Position 228: 0.004504405738882826
Position 785: 0.004000242420186287
Position 964: 0.0031662154546813893
Position 13055: 0.0021558869760049566
Position 12280: 0.001990426627619582
Position 178: 0.0019277753861875761
Position 361: 0.0019033941525070015
Position 12418: 0.0012765520413055673
Position 53: 0.0009628331597201216
Position 12352: 0.0009565050066452455
Position 169: 0.0009114724845046624
Position 183: 0.0008280510810589724
Position 101: 0.000753482023416391
Position 820: 0.0006753045365816229
Position 2259: 0.0006599083302241467
Position 176: 0.0006408548420469926
Position 790: 0.0005926353830806222
Position 12181: 0.0004598817156142569
Position 558: 0.0003758440823874418
Position 12403: 0.0003434642096750733
Position 12909: 0.0003247829819606959
Position 323: 0.000306968169539805
Position 720: 0.00029414820159228875
Position 2162: 0.0002824290196898705
Position 667: 0.0002695270571299548
Position 12479: 0.000264595443031564
Position 12075: 0.00025901066524028446
Position 12211: 0.00022955258632582825
Position 325: 0.0002174088290977086
Position 307: 0.0002101476881345196
Position 321: 0.00020454259392574384
Position 91: 0.00018561368986649217
Position 13103: 0.00018315198557341018
Position 2233: 0.00016732823796797018
Position 12700: 0.00013021643113063976
Position 13108: 0.00011425230961568975
Position 4227: 0.00010621158477607971
Position 12469: 0.00010202856353816059
Position 18: 9.351486412015363e-05
Position 713: 9.168688367226442e-05
Position 775: 8.677503564093327e-05
Position 12567: 6.88253425308362e-05
Position 254: 6.54903191290103e-05
Position 12624: 6.49281785671291e-05
Position 12296: 5.539727756636002e-05
Position 12673: 4.340597388818678e-05
Position 11639: 4.28181643681697e-05
Position 12680: 4.084067263512026e-05
Position 11505: 3.917832634787639e-05
Position 12920: 3.847447046968936e-05
Position 669: 3.5156345488165224e-05
Position 1464: 3.507941120349631e-05
Position 448: 3.1781020676458056e-05
Position 11807: 3.084982751485828e-05
Position 12900: 2.9891969212415344e-05
Position 12049: 2.4306323405098163e-05
Position 730: 2.2587741078043318e-05
Position 564: 1.9557570326845608e-05
Position 12804: 1.8733389460088415e-05
Position 985: 1.5102897662308186e-05
Position 281: 1.3842642663333007e-05
Position 817: 1.2021222307664436e-05
Position 727: 1.1978663796673765e-05
Position 12260: 1.1171557290407408e-05
Position 2166: 1.1120335645000346e-05
Position 11990: 1.0785227956486797e-05
Position 946: 1.0571877321123873e-05
Position 1452: 9.878654692182761e-06
Position 1424: 8.794543627923646e-06
Position 302: 6.905779456020322e-06
Position 327: 6.297050937200271e-06
Position 11435: 5.444846831503134e-06
Position 12599: 4.675919946474332e-06
Position 1270: 3.161868027677775e-06
Position 12601: 3.1146228388210695e-06
Position 22: 1.9416769760511844e-06
