Gene = kto
index = 1741
Annotated 5SS: [ 675 3404 5192 5619 5993 6376 6887]
Annotated 3SS: [ 735 3477 5249 5677 6063 6579 6950]
SMsplice 5SS: [ 675 3404 5192 5619 5993 6376 6887]
SMsplice 3SS: [ 735 3477 5249 5677 6063 6579 6950]
top_k =  500
Partition function (log Z): 24.180810642542887

Sorted 5' Splice Sites (High to Low Probability):
Position 6887: 0.9990268104564867
Position 5993: 0.9981871040967313
Position 675: 0.9973657304735528
Position 5619: 0.9972431120157902
Position 5192: 0.9944255665418531
Position 3404: 0.9824761398882504
Position 6376: 0.9757071198463251
Position 219: 0.16327319523005532
Position 1023: 0.10734758819487192
Position 8269: 0.08559602273005767
Position 3244: 0.07663281316842105
Position 4028: 0.0738638805653116
Position 414: 0.06204969435105496
Position 3879: 0.05563612562158196
Position 381: 0.05231115571482636
Position 3911: 0.05119791645898192
Position 4106: 0.04461716204135382
Position 3875: 0.04137930542044595
Position 847: 0.03939760961842803
Position 1944: 0.03772708214852449
Position 790: 0.032724144768426014
Position 3750: 0.0239288042754458
Position 1003: 0.02143494601379439
Position 1118: 0.02134229625938934
Position 2964: 0.018657424328408598
Position 2190: 0.011500173132363227
Position 254: 0.0075876433135610415
Position 867: 0.006586871931257337
Position 372: 0.005790842455753352
Position 6488: 0.005396336473602562
Position 2584: 0.005215574751316802
Position 6516: 0.004695573257794478
Position 5328: 0.004639688076062617
Position 1154: 0.0035124026071774507
Position 8242: 0.0030626618226401495
Position 1579: 0.0027190547648514476
Position 6480: 0.0024840304927417514
Position 1222: 0.002285804986296231
Position 3543: 0.0018444921478452134
Position 6477: 0.0015544154660843393
Position 205: 0.0014077798259829778
Position 679: 0.0012579835596183005
Position 379: 0.0012084464693255205
Position 876: 0.0012019661704649116
Position 386: 0.0010074382319389895
Position 173: 0.0009155184169870624
Position 397: 0.0009058750385438907
Position 3830: 0.0007990460672310548
Position 1148: 0.000752132681135894
Position 7388: 0.0006949255637468794
Position 8227: 0.0006125045576508228
Position 3826: 0.0005952391722931159
Position 5339: 0.0005793996494919938
