Gene = Zcchc7
index = 1605
Annotated 5SS: [ 124  504 3929 4191 4387]
Annotated 3SS: [ 181 1774 3990 4248 4448]
SMsplice 5SS: [ 124  504 2975 4191 4387 4630]
SMsplice 3SS: [ 181 1774 3990 4248 4448 4685]
top_k =  500
Partition function (log Z): 7.7445488158308855

Sorted 5' Splice Sites (High to Low Probability):
Position 4387: 0.997764632279886
Position 124: 0.988684539828638
Position 504: 0.9802907662831907
Position 4191: 0.9055752724596605
Position 4630: 0.6174562844112813
Position 2975: 0.501577178795123
Position 5344: 0.3626217821246615
Position 3929: 0.20843203669604982
Position 5568: 0.14504223301501035
Position 4195: 0.09067831968738384
Position 3260: 0.0683715736415808
Position 1591: 0.030150224548987987
Position 3085: 0.0283223369849943
Position 3242: 0.017401964158863494
Position 1154: 0.01724153652675722
Position 4842: 0.016957115713103692
Position 3682: 0.01690794787265713
Position 3910: 0.016189477350072368
Position 2738: 0.015246020053349673
Position 3460: 0.014464836038678954
Position 4863: 0.014024331189553464
Position 594: 0.012382316751072493
Position 952: 0.011358494085497486
Position 6863: 0.006118416247947658
Position 4760: 0.004075989385714608
Position 1418: 0.0040048550626347575
Position 2113: 0.0036645946890785388
Position 2767: 0.003601505588431941
Position 528: 0.003535552402955985
Position 3239: 0.003446922808721802
Position 5019: 0.0033967159887302524
Position 3947: 0.0029284298682449453
Position 3454: 0.002851227112854214
Position 4552: 0.0028381225705342013
Position 633: 0.0026990759602122092
Position 5007: 0.0026429062034651995
Position 6439: 0.00255219929519741
Position 3257: 0.002456052418071878
Position 965: 0.0023759161084699783
Position 539: 0.0021724135605233263
Position 1171: 0.001957437610311603
Position 3619: 0.0019551666066346244
Position 2606: 0.0018999506522505904
Position 5185: 0.0015673328354412221
Position 2587: 0.0014503589997705414
Position 1090: 0.0012240377595110394
Position 2071: 0.0011096527224311854
Position 5134: 0.0009587880562240207
Position 1611: 0.0008430435207804276
Position 2473: 0.0006784408242705773
Position 3180: 0.000664267505736835
Position 2470: 0.00048265505976233995
Position 1283: 0.00042904889899060653
Position 5390: 0.0004057732263113751
Position 957: 0.00039724645558807245
Position 1120: 0.00035494714553588986
Position 2074: 0.0003457014987878012
Position 2479: 0.0003387289820379716
Position 4699: 0.00033497360505389416
Position 1603: 0.00032239885812814043
Position 4966: 0.0003055463013385146
Position 4618: 0.0002742985571893422
Position 2824: 0.00024121183678742827
Position 4479: 0.00023491681702666938
Position 1465: 0.00021685123904699035
Position 119: 0.00021279077731629372
Position 2328: 0.0001961174164666573
Position 4589: 0.0001945094382656748
Position 1832: 0.00018978690065025235
Position 1652: 0.00017156181053162327
Position 4727: 0.00015371434842262257
Position 1222: 0.00015360185593840623
Position 1535: 0.00013970935750378717
Position 648: 0.00012097019509903345
Position 455: 0.00010869297084265926
Position 4370: 8.939799011520429e-05
Position 4125: 8.905071462801319e-05
Position 5278: 7.532063254661062e-05
Position 721: 6.404691579390402e-05
Position 1310: 4.8949138911593e-05
Position 1240: 4.394308175255748e-05
Position 429: 4.2361625607549756e-05
Position 738: 4.100105002549642e-05
Position 130: 4.027405981584421e-05
Position 1173: 3.894559956141499e-05
Position 4365: 3.8002164295101795e-05
Position 1218: 3.669379421504377e-05
Position 4108: 3.378087340215205e-05
Position 35: 3.020021100479588e-05
Position 1115: 2.9074546345548978e-05
Position 1860: 2.8602880849905038e-05
