Gene = NijB
index = 1319
Annotated 5SS: [256 513]
Annotated 3SS: [357 565]
SMsplice 5SS: [256]
SMsplice 3SS: [357]
top_k =  500
Partition function (log Z): -1.983238024917574

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.986658744405421
Position 513: 0.33902539416364214
Position 517: 0.3187170051318143
Position 700: 0.098260698551257
Position 264: 0.008501144253659998
Position 728: 0.0066770400117120605
Position 459: 0.0049603513478198
Position 693: 0.0038061217886108866
Position 114: 0.002189790257295714
Position 437: 0.002166556136868037
Position 287: 0.001403905807731021
Position 474: 0.0013405043492639456
Position 246: 0.0007262018684535142
Position 302: 0.0006366264080426166
Position 644: 0.0006151891251939492
Position 521: 0.0003982575366035282
Position 620: 0.00031474808339253415
Position 489: 0.0001633801631302416
Position 15: 0.00011114818837768301
Position 594: 4.704073353376735e-05
Position 163: 3.5227670114690036e-05
Position 55: 2.5632350933688272e-05
Position 398: 9.328319750845575e-06
Position 64: 7.293862020747776e-06
Position 570: 6.23083640776167e-06
Position 88: 5.137837030660497e-06
Position 199: 4.1197832106291555e-06
Position 803: 3.5418671318959904e-06
Position 750: 2.8286984506174593e-06
Position 629: 2.5681147906116214e-06
Position 327: 2.2505200207186796e-06
Position 82: 1.3678665488355015e-06
Position 748: 7.01107109658076e-07
Position 143: 1.396810074192257e-07
Position 73: 1.1969651166859208e-07
Position 354: 1.1319425735872456e-07
Position 536: 1.1138992506496073e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 357: 0.9921776740681119
Position 565: 0.5571015555639257
Position 789: 0.20022654682510652
Position 585: 0.019112051272568157
Position 594: 0.002834339245335241
Position 577: 0.0022335278660079757
Position 163: 0.0007061930959393042
Position 513: 0.00041138477985916595
Position 398: 0.00032216315408457
Position 644: 0.0002802845049542959
Position 372: 0.0002047509011639031
Position 309: 0.00019169037834005135
Position 448: 0.00017630709155049036
Position 800: 0.000125202711954665
Position 194: 9.927048702104042e-05
Position 524: 8.42772445083998e-05
Position 205: 7.264950794551471e-05
Position 302: 6.997794712128804e-05
Position 482: 6.600947056030159e-05
Position 428: 5.295935258136084e-05
Position 861: 5.152171722589437e-05
Position 603: 4.8497869205564167e-05
Position 219: 4.1164852589922464e-05
Position 629: 3.077541216588793e-05
Position 113: 2.2477524370144547e-05
Position 73: 1.7649770110447275e-05
Position 97: 1.4836895155910752e-05
Position 174: 1.2536402559849851e-05
Position 154: 1.222308440042467e-05
Position 536: 1.1846519855521838e-05
Position 64: 6.3289201067312134e-06
Position 226: 2.6451950475492657e-06
Position 489: 2.0149526401226245e-06
Position 249: 1.2035869468534874e-06
Position 135: 9.460634452170925e-07
Position 143: 5.059305824947925e-07
Position 827: 4.6082250451631343e-07
Position 124: 6.271586276211811e-08
Position 221: 2.459881703649719e-08
Position 287: 1.4691305205469317e-08
Position 255: 7.956912002180818e-09
Position 260: 1.5659604170024772e-10
