Gene = corn
index = 1655
Annotated 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
Annotated 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
SMsplice 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
SMsplice 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
top_k =  500
Partition function (log Z): 20.04589726647112

Sorted 5' Splice Sites (High to Low Probability):
Position 13014: 0.9945775205965591
Position 12111: 0.989991324812395
Position 11843: 0.9884320243362634
Position 11107: 0.9760103593445385
Position 11483: 0.9339634210289928
Position 1138: 0.8798515071339286
Position 12337: 0.8446577818123945
Position 696: 0.2620253802445469
Position 12664: 0.18577107094914516
Position 180: 0.1337278682192006
Position 8990: 0.12202133704306484
Position 356: 0.11984570891154
Position 11488: 0.059298813403586795
Position 12342: 0.05845728412367897
Position 700: 0.05052359277815993
Position 495: 0.03998141996322217
Position 1651: 0.02422489631008854
Position 515: 0.020908219858985343
Position 6861: 0.017009635713944257
Position 501: 0.015158669466281298
Position 702: 0.014029587135607709
Position 1640: 0.01373157949375551
Position 732: 0.013567031418479009
Position 13313: 0.011996749829341707
Position 1776: 0.01127572438975714
Position 704: 0.010496538649701128
Position 11847: 0.00930037890922227
Position 3586: 0.009001197845319641
Position 12103: 0.007727170915201549
Position 206: 0.0062286125563807
Position 505: 0.005394989401923994
Position 13303: 0.004816399775515384
Position 12978: 0.004654331808582529
Position 191: 0.004455065127585611
Position 11625: 0.004207941333190151
Position 13316: 0.0032856028574454934
Position 12684: 0.0028725622052759745
Position 555: 0.0024170005176491027
Position 12692: 0.002214524669721874
Position 12735: 0.001610679441116288
Position 12013: 0.001327056095547319
Position 694: 0.0012308145214698768
Position 13656: 0.0011409457285093902
Position 11459: 0.0008116891043848504
Position 13627: 0.000797614524759336
Position 13367: 0.0007708243082460601
Position 939: 0.0007358000036391927
Position 13694: 0.0006678767206674159
Position 13301: 0.0006171270108043162
Position 13211: 0.0006126028516975661
Position 1134: 0.0005466085982665802
Position 13006: 0.0005400821995823769
Position 11345: 0.0005109250888533983
Position 12434: 0.00043734942976164746
Position 3276: 0.00042356151344891504
Position 11716: 0.0004128933759567821
Position 13642: 0.0003842375435768719
Position 6003: 0.00037787535586639333
Position 13214: 0.00037514840743630893
Position 13328: 0.00036193962181514124
Position 155: 0.00031127236072373747
Position 12064: 0.0003040873222138293
Position 11622: 0.0002857011731722146
Position 5945: 0.0002807383596930239
Position 708: 0.0002751966661320073
Position 13509: 0.00026266338151134904
