Gene = Hpd
index = 1214
Annotated 5SS: [ 101  345  796 1508]
Annotated 3SS: [ 317  411  853 1571]
SMsplice 5SS: [ 345  796 1508]
SMsplice 3SS: [ 411  853 1571]
top_k =  500
Partition function (log Z): 2.4263860672769177

Sorted 5' Splice Sites (High to Low Probability):
Position 796: 0.9974458599260952
Position 1508: 0.9536367024562068
Position 345: 0.9515942305882068
Position 101: 0.11408492597463844
Position 270: 0.05213571445086657
Position 1268: 0.03981517851773966
Position 25: 0.007846243724587268
Position 359: 0.00770223857571457
Position 1033: 0.006414622912873768
Position 141: 0.003889931690204691
Position 1198: 0.0033640059181622747
Position 133: 0.003049564665742158
Position 125: 0.0011310204765646536
Position 122: 0.0008330649721194619
Position 136: 0.0007253229452857144
Position 155: 0.0005140538735203802
Position 180: 0.0004891827033269778
Position 1066: 0.0004423180567262855
Position 349: 0.0003589858988971104
Position 1382: 0.00035380862609488866
Position 989: 0.00024822746521352954
Position 800: 0.00023994293477902005
Position 892: 0.00019261549721390464
Position 209: 0.00018216614453497895
Position 86: 0.0001410318397040452
Position 772: 0.00013585193545781016
Position 1484: 0.00012287559520876345
Position 92: 0.00011591837169411709
Position 1142: 0.00010714595910168241
Position 1207: 7.784621094601002e-05
Position 58: 3.122050485888707e-05
Position 986: 2.437481338301513e-05
Position 457: 1.9575596451571226e-05
Position 1221: 1.5005396363996337e-05
Position 1118: 1.2400580519384055e-05
Position 1393: 1.025525806806874e-05
Position 679: 7.58757313952481e-06
Position 377: 6.490547489319683e-06
Position 591: 3.897422057547262e-06
Position 656: 2.8795362203325966e-06
Position 1224: 2.3453239783804277e-06
Position 23: 2.277350117331573e-06
Position 1183: 1.5480119427769492e-06
Position 1546: 1.2799481198791785e-06
Position 1202: 1.232135984358522e-06
Position 804: 7.507350945127484e-07
Position 1051: 6.167854112015802e-07
Position 667: 5.596809477945418e-07
Position 1070: 5.001188117675024e-07
Position 1318: 4.792583051608422e-07
Position 658: 1.884459246597932e-07
Position 1297: 1.8580560940367197e-07
Position 1111: 1.5565237448697544e-07
Position 733: 1.0505811115727383e-07
Position 565: 4.661834474000951e-08
Position 1022: 3.193109476571284e-08
Position 938: 2.6128696559681954e-08
Position 925: 2.2103912572897612e-08
Position 730: 7.416520596041658e-09
Position 853: 1.4976505029276123e-09
Position 719: 3.15977041672097e-10
Position 878: 2.2863332412384152e-10
Position 583: 1.773967619059805e-12
Position 712: 5.387970522268891e-13
Position 595: 2.7369317018342456e-13
Position 589: 3.0355166804674064e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 853: 0.9839760184711126
Position 411: 0.9713924688892449
Position 1571: 0.9595878140580302
Position 317: 0.12044116116914409
Position 1336: 0.03443645193429432
Position 246: 0.02331612930273077
Position 191: 0.016731153039997428
Position 1342: 0.00907367284676355
Position 922: 0.007297987030711991
Position 178: 0.003792036197146587
Position 525: 0.002437739806407561
Position 1084: 0.0023053362615185055
Position 155: 0.0019434159044915415
Position 147: 0.0018251874792578212
Position 269: 0.0012011439185777807
Position 1438: 0.0011908961164337863
Position 1339: 0.0008305794687947619
Position 1327: 0.0006988161441920174
Position 220: 0.0006170978435954071
Position 1051: 0.000558280691228886
Position 967: 0.00048321189882419573
Position 1189: 0.0003887081420444951
Position 1012: 0.0003837368890900983
Position 1000: 0.00037061803186913447
Position 1363: 0.0002762476301725459
Position 256: 0.0002744849678129198
Position 322: 0.0002722302814886728
Position 1264: 0.00021212165669033203
Position 474: 0.00019794568020268234
Position 573: 0.00017685888606256857
Position 935: 0.00011733213862362519
Position 1393: 0.00010005174939090284
Position 1353: 9.090699325143618e-05
Position 1282: 9.014841093211736e-05
Position 336: 5.3052506935952884e-05
Position 92: 4.93229192333975e-05
Position 579: 3.6994047808661244e-05
Position 1138: 3.078869592046746e-05
Position 345: 2.7578112802538905e-05
Position 902: 2.6626086613660582e-05
Position 1595: 2.415080922452486e-05
Position 1459: 2.4073032709689014e-05
Position 1183: 2.3301577399464676e-05
Position 471: 2.0109426515335843e-05
Position 1450: 1.544453592901965e-05
Position 730: 1.5258305292909273e-05
Position 1180: 1.486322771266342e-05
Position 434: 1.4245159942936027e-05
Position 829: 1.2538033431976994e-05
Position 1464: 1.1016100902995e-05
Position 418: 1.0518121270159018e-05
Position 1540: 9.357525360877196e-06
Position 1166: 4.242433452460793e-06
Position 1484: 4.005863797696362e-06
Position 180: 3.7646388097795384e-06
Position 1195: 3.7542396604014096e-06
Position 532: 3.5414129612965543e-06
Position 684: 2.537983119528494e-06
Position 558: 1.3166805639153954e-06
Position 663: 1.1781003532411894e-06
Position 1626: 1.070825834990203e-06
Position 357: 8.952574004833703e-07
Position 750: 8.102771502615408e-07
Position 1546: 7.995580970284824e-07
Position 1631: 5.558641129504431e-07
Position 375: 2.8844078964958243e-07
Position 1135: 1.7140196303711835e-07
Position 792: 1.4683030379753098e-07
Position 670: 1.447269177723462e-07
Position 349: 1.3195663952268496e-07
Position 482: 4.41257279568792e-08
Position 1018: 9.76993740408588e-09
Position 109: 4.159173107708744e-09
Position 67: 2.628580988171043e-09
Position 86: 1.066904845919775e-09
Position 69: 2.927351279146871e-10
