Gene = Pfas
index = 1373
Annotated 5SS: [ 130 1623 3976]
Annotated 3SS: [ 523 1698 4038]
SMsplice 5SS: [ 130 1623 3976]
SMsplice 3SS: [ 523 1698 4038]
top_k =  500
Partition function (log Z): -2.9466965730744006

Sorted 5' Splice Sites (High to Low Probability):
Position 1623: 0.9961461248413892
Position 3976: 0.8813454508336679
Position 130: 0.586792659476543
Position 2720: 0.12593728877576876
Position 3066: 0.12343066230529397
Position 3988: 0.10676085124217748
Position 92: 0.10575776044668456
Position 2522: 0.0832840148698417
Position 3073: 0.06962907235678735
Position 353: 0.0603877234632445
Position 378: 0.03422943671750295
Position 157: 0.033786758870842204
Position 1966: 0.028715243708784335
Position 1886: 0.02856989641415325
Position 952: 0.022778307913337865
Position 3094: 0.013192261626821746
Position 384: 0.012508235975222713
Position 783: 0.009900800140899139
Position 1430: 0.00827493836109675
Position 878: 0.008179572492875582
Position 114: 0.00746911718413158
Position 1376: 0.00717202392896896
Position 1083: 0.006978003082927138
Position 3144: 0.0062623564424764315
Position 2809: 0.0051316421173721585
Position 2010: 0.004235965143168161
Position 4372: 0.0035382635692608228
Position 357: 0.003528625524268114
Position 4473: 0.002720574962333697
Position 489: 0.002478840020798645
Position 136: 0.002223672951067897
Position 2682: 0.0019402242295412074
Position 142: 0.001873568252902434
Position 375: 0.001774393140026195
Position 4417: 0.0017452918125012784
Position 280: 0.0016759018998744276
Position 2427: 0.0011529406830871755
Position 4266: 0.0009839890415148708
Position 335: 0.0008445575302474191
Position 128: 0.000806534880260172
Position 212: 0.00075626719748209
Position 360: 0.0007053214613972021
Position 707: 0.0006550665672288773
Position 480: 0.0006401455695833664
Position 4497: 0.0006202118526348261
Position 40: 0.0005725291008626876
Position 2124: 0.0005671324507705666
Position 2656: 0.0005270674565145717
Position 409: 0.0005190541195127915
Position 1227: 0.0005044348790329038
Position 216: 0.00039814603874253603
Position 2504: 0.000385865841011414
Position 166: 0.00038345157794588536
Position 393: 0.00036232009224601493
Position 493: 0.00035406901424592664
Position 206: 0.00033010774486788943
Position 134: 0.00032083551253620185
Position 628: 0.0003068272435765492
Position 2724: 0.00030325215952035916
Position 2496: 0.00027563918652889557
Position 3942: 0.00026251516455513775
Position 116: 0.00021091526304614956
Position 661: 0.00019596445706175254
Position 367: 0.0001749896149501232
Position 4163: 0.00016722313308416894
Position 787: 0.00016217640213372081
Position 2552: 0.00015042910599580859
Position 4622: 0.0001284633015438534
Position 1260: 0.00012698469760657956
Position 430: 0.00010285736469622294
Position 427: 9.554423107216495e-05
Position 601: 9.319274191425511e-05
Position 37: 8.211911277460521e-05
Position 1997: 7.634663506390385e-05
Position 4313: 6.98128251101107e-05
Position 4386: 5.765414439283345e-05
Position 4401: 4.852612433726771e-05
Position 283: 3.77785487521196e-05
Position 2297: 3.7662113504032134e-05
Position 716: 3.657144604726407e-05
Position 632: 3.373235774219019e-05
Position 810: 3.2506067866523284e-05
Position 3898: 3.131495196311869e-05
Position 1712: 3.129564506838891e-05
Position 369: 2.9512327531531832e-05
Position 1599: 1.7110618098242233e-05
Position 2409: 1.4885898142285354e-05
Position 292: 8.75587542234621e-06
Position 2302: 8.021132305085834e-06
Position 4715: 7.42188732559955e-06
Position 1645: 6.547863154833259e-06
Position 1764: 4.163670654507593e-06
Position 868: 1.1211910855335769e-06
Position 597: 6.6044827349232e-07
Position 513: 2.7256215488677825e-07
Position 778: 2.1673633085747498e-07
Position 1601: 1.80802977614408e-07
Position 623: 1.7023977463281315e-07
Position 626: 1.5612465527444836e-07
Position 769: 1.193513891406687e-07
Position 2858: 1.0505135047242583e-07
Position 911: 1.0477202137262486e-07
Position 3473: 8.168306837615567e-08
Position 12: 6.397289866952776e-08
Position 1571: 3.519450088230577e-08
Position 1351: 3.3382024215056625e-08
Position 230: 2.465356180638187e-08
Position 4460: 5.722138907821984e-09
Position 3226: 7.693165518683566e-10
Position 6: 5.728039817127769e-10
Position 1265: 2.9038756367823275e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4038: 0.9929655427086789
Position 1698: 0.9263302007310785
Position 523: 0.6957141126879688
Position 3504: 0.15245806633022155
Position 197: 0.13567619067600697
Position 3162: 0.12291271942271233
Position 2897: 0.08972724666221871
Position 2782: 0.07755752529475303
Position 2573: 0.07041831647612344
Position 1763: 0.024537005561577226
Position 1496: 0.02327038181466762
Position 859: 0.017282866116051846
Position 1430: 0.012948730978405865
Position 2395: 0.010230799105420723
Position 1509: 0.00934115391151896
Position 562: 0.008826856108552668
Position 4540: 0.008119542265030292
Position 3143: 0.007758384557200435
Position 2491: 0.0032751769423100038
Position 248: 0.003058496279032736
Position 1393: 0.0024670868566277317
Position 1321: 0.0020615056168828056
Position 1219: 0.0018696533779815633
Position 407: 0.0016602882837050952
Position 3354: 0.0016335880391953085
Position 1015: 0.001515927343058552
