Gene = Gale
index = 1179
Annotated 5SS: [ 497  865 1969]
Annotated 3SS: [ 623 1677 2028]
SMsplice 5SS: [ 497  865 1969]
SMsplice 3SS: [ 623 1677 2028]
top_k =  500
Partition function (log Z): 0.025375959263506165

Sorted 5' Splice Sites (High to Low Probability):
Position 1969: 0.9906195468627413
Position 497: 0.9628104328556677
Position 865: 0.7677392990729127
Position 844: 0.12299206523308642
Position 2618: 0.0736058380876188
Position 805: 0.02055211408272894
Position 1620: 0.020448915443115258
Position 2535: 0.013239672829897183
Position 1653: 0.010820397611731362
Position 557: 0.009083885801279551
Position 1216: 0.008509810040068233
Position 1724: 0.007475774699316211
Position 292: 0.007125259937248145
Position 251: 0.005078436341271718
Position 2065: 0.004329573788811828
Position 1850: 0.004168198770554658
Position 1303: 0.0038521522832171266
Position 316: 0.00291431927218672
Position 1510: 0.002380793637767209
Position 781: 0.0020811200279355875
Position 86: 0.002000590104123325
Position 1132: 0.0019262815240401049
Position 1094: 0.0018234972322282903
Position 1539: 0.0015582721649755158
Position 33: 0.0009926605441802452
Position 911: 0.0009467463518342433
Position 2547: 0.0009389208924912674
Position 875: 0.0007977749289897513
Position 1090: 0.00079179251099929
Position 1151: 0.000789469098008313
Position 61: 0.0007488271127209094
Position 1148: 0.000633623409195533
Position 1237: 0.0005441890417931222
Position 115: 0.0004059566496656006
Position 1251: 0.0004055981154050537
Position 1959: 0.00038948922168609057
Position 562: 0.0003628934364761217
Position 489: 0.0003135796855425681
Position 896: 0.0003023731587302258
Position 2149: 0.0002940614700787222
Position 378: 0.00021402605354555964
Position 1170: 0.00019691176474579853
Position 1693: 0.0001844819785226932
Position 188: 0.00017555414358927553
Position 2585: 0.00016731514048748478
Position 412: 0.0001531360632166818
Position 73: 0.00014106336662642895
Position 1818: 0.00012960353768736967
Position 2254: 0.00012625166015439713
Position 925: 0.0001244041368885986
Position 434: 0.00012313844358475214
Position 1079: 0.00012092232616970914
Position 1443: 0.0001024489213633491
Position 903: 9.034854089061802e-05
Position 682: 8.11564761564576e-05
Position 1455: 8.096097067984283e-05
Position 1172: 6.944739701671582e-05
Position 2593: 6.49545179551088e-05
Position 2641: 5.9035138513098946e-05
Position 2493: 5.0329257112343615e-05
Position 712: 4.68018363930038e-05
Position 2052: 4.564797734656474e-05
Position 1327: 4.548851786520354e-05
Position 2084: 4.5456997410073885e-05
Position 853: 4.500468356228692e-05
Position 279: 3.720062305677325e-05
Position 162: 3.717655695771374e-05
Position 425: 3.701978835913913e-05
Position 2646: 3.487834724624093e-05
Position 1260: 3.2632108980093506e-05
Position 1449: 3.061852791584308e-05
Position 2555: 3.0580087695052705e-05
Position 820: 2.981365756256379e-05
Position 2669: 2.8386766373566556e-05
Position 362: 2.679183912834278e-05
Position 2347: 2.518790522407101e-05
Position 2380: 2.4346099091232714e-05
Position 1452: 2.2520528371072323e-05
Position 1291: 2.212350100628488e-05
Position 216: 1.9944817193028426e-05
Position 1843: 1.9599656232652572e-05
Position 2143: 1.9452393472865255e-05
Position 598: 1.3955441652893706e-05
Position 2406: 1.2641482160461071e-05
Position 1514: 1.1901292921270724e-05
Position 2069: 1.148325158626416e-05
Position 1824: 1.0297694784867307e-05
Position 1602: 9.799267389555295e-06
Position 1898: 9.037723594473207e-06
Position 221: 7.95783772639133e-06
Position 2081: 7.486811314094176e-06
Position 381: 5.723224862311332e-06
Position 2159: 2.9800622292315044e-06
Position 501: 2.566791433096235e-06
Position 2672: 1.566012835367544e-06
Position 77: 1.4880615175763537e-06
Position 202: 1.4785057888407318e-06
Position 508: 4.4540327782780544e-07
Position 1860: 3.161757962210927e-07
Position 1953: 1.7607039487903559e-07
Position 168: 1.6271715369867937e-07
Position 1720: 1.5498091185125662e-07
Position 1749: 1.1896496659504506e-07
Position 1979: 1.1602195134419209e-07
Position 732: 1.133538220508029e-07
Position 986: 5.122268864123327e-08
Position 1014: 3.715743513425879e-08
Position 1001: 3.070033328388604e-08
Position 1270: 2.7390524449183842e-08
Position 721: 1.088932288754518e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2028: 0.9934985465773261
Position 623: 0.9594488301683565
Position 1677: 0.824066775308645
Position 2672: 0.07904130807287439
Position 1652: 0.0777653966438444
Position 1749: 0.045734145673480435
Position 1716: 0.028324119111154546
Position 1402: 0.01583974394740394
Position 2142: 0.005599291369484353
Position 1829: 0.004060023151391558
Position 2641: 0.0040598986832056285
Position 1014: 0.003906247182881698
Position 2736: 0.002964973474122824
Position 1791: 0.0024210672840817155
Position 2718: 0.0022801689835256784
Position 388: 0.0013878970440013819
Position 1434: 0.0010946558716377539
Position 1818: 0.0010892701886493347
Position 1629: 0.0008678503939840369
Position 1614: 0.0006448355587157313
Position 1342: 0.0005642006247503598
Position 1917: 0.0005339785176683407
Position 1120: 0.0005273298657768336
Position 861: 0.000475017050095901
Position 1476: 0.00034697871782118017
Position 2585: 0.00032860106232875596
Position 1359: 0.0002777003936301238
Position 2038: 0.00025444564516527635
Position 2081: 0.00023309208445182808
Position 496: 0.0002154363866665471
Position 375: 0.00020561115977649105
Position 975: 0.00016441805549679452
Position 1588: 0.00016433090533640154
Position 1835: 0.00014507478985556344
Position 2617: 0.00013679292426967658
Position 1064: 0.00011966905188759186
Position 2698: 0.00011369010571578573
Position 746: 0.00011038181516612935
Position 373: 0.00010964880935634088
Position 306: 8.998189009478381e-05
Position 1860: 7.889729630896356e-05
Position 523: 6.371348317848928e-05
Position 2013: 6.144811447278813e-05
Position 320: 5.558344484320708e-05
Position 121: 4.865283324649275e-05
Position 1488: 4.640174820438629e-05
Position 439: 4.32029344292178e-05
Position 1938: 3.80438301413839e-05
Position 1215: 3.6713780129570236e-05
Position 903: 3.239327438190946e-05
Position 570: 3.113837394474266e-05
Position 264: 2.7604337346094142e-05
Position 749: 2.5788342706047115e-05
Position 196: 2.4088366993525027e-05
Position 520: 2.0572265625575116e-05
Position 368: 1.9708794466679626e-05
Position 1443: 1.8503693810195262e-05
Position 115: 1.8064475714905932e-05
Position 162: 1.5967192421626997e-05
Position 951: 1.5732961692458643e-05
Position 2621: 1.3928575414890233e-05
Position 2000: 1.2624003974490697e-05
Position 818: 1.2237243860024279e-05
Position 900: 1.185160377013524e-05
Position 864: 1.1762083967836519e-05
Position 296: 1.1441340324108053e-05
Position 248: 8.711431159717995e-06
Position 2550: 7.702658362828587e-06
Position 1289: 6.662764589819957e-06
Position 238: 5.733578874364823e-06
Position 1498: 5.123705822452811e-06
Position 419: 4.620325397993907e-06
Position 690: 3.967938001303019e-06
Position 159: 3.140211123272151e-06
Position 90: 2.9905675035244237e-06
Position 124: 2.507321985290466e-06
Position 188: 2.245263652602722e-06
Position 86: 1.8154918253839246e-06
Position 182: 1.547913142432344e-06
Position 101: 1.2034198833342365e-06
Position 216: 1.0481131993347126e-06
Position 175: 4.514040464576429e-07
Position 277: 2.615916983648652e-07
Position 655: 1.8869144520627267e-07
Position 2376: 1.7271748174339094e-07
Position 786: 1.5354573432418493e-07
Position 776: 1.4849469483259875e-07
Position 2364: 1.0737209132866432e-07
Position 221: 9.801310545287308e-08
Position 2183: 7.98884528205138e-08
Position 403: 7.898486545441068e-08
Position 285: 7.21221847606183e-08
Position 229: 5.6449844079759086e-08
Position 2259: 4.743615826588084e-08
Position 273: 1.8453630288610733e-08
Position 1194: 1.4537855182523557e-08
Position 658: 9.714000905989614e-09
Position 888: 9.34147250930185e-09
Position 804: 9.248168480860168e-10
Position 2165: 5.627277293726304e-10
Position 768: 5.095802311400887e-10
Position 801: 4.724508126059525e-10
