Gene = ref(2)P
index = 1855
Annotated 5SS: [ 521 2634]
Annotated 3SS: [1151 2688]
SMsplice 5SS: [ 521 2634]
SMsplice 3SS: [1151 2688]
top_k =  500
Partition function (log Z): -3.5624539008969025

Sorted 5' Splice Sites (High to Low Probability):
Position 2634: 0.9977004001866201
Position 521: 0.8697966520283749
Position 1402: 0.10471098024771248
Position 1847: 0.08206508968904792
Position 502: 0.06917364320881783
Position 2805: 0.04845265052047748
Position 263: 0.03583001907981818
Position 2814: 0.02292788842005691
Position 624: 0.018290771680245545
Position 1503: 0.011260638287150782
Position 980: 0.006477506354288247
Position 1075: 0.005986519522592744
Position 2534: 0.003659480442051502
Position 318: 0.0031149669054607552
Position 840: 0.0030494058285013685
Position 2867: 0.0027018387260611862
Position 549: 0.0025621401425476326
Position 82: 0.002321714074167865
Position 1032: 0.002213556137179984
Position 142: 0.0017964299151674683
Position 2771: 0.0016999246058525563
Position 282: 0.0013092043920313148
Position 630: 0.0009630811011783893
Position 821: 0.0009545802337583044
Position 555: 0.0006578984213713953
Position 1046: 0.0005920476413107593
Position 2775: 0.0005730391174122013
Position 1886: 0.0004806133844195664
Position 1922: 0.00026683099472639556
Position 1963: 0.0002583844812631352
Position 1508: 0.00022067565874000217
Position 575: 0.00020671882204050565
Position 1527: 0.00020052907411650627
Position 1519: 0.00016590155273258877
Position 210: 0.00016151544290352276
Position 761: 0.0001578496983492195
Position 691: 0.0001418131905572431
Position 1057: 0.00013488272972908018
Position 1287: 0.00011127000835474467
Position 133: 7.954054891884027e-05
Position 1238: 7.393437967910389e-05
Position 174: 7.310680626868975e-05
Position 617: 7.114964625419234e-05
Position 449: 6.068207596201588e-05
Position 975: 5.490446726702903e-05
Position 848: 4.70029212514379e-05
Position 240: 4.00671340982813e-05
Position 1023: 3.503984054858301e-05
Position 213: 3.161404946774821e-05
Position 60: 1.2495034087203083e-05
Position 795: 1.115812933284746e-05
Position 851: 8.924544556179637e-06
Position 871: 8.610875176255336e-06
Position 1178: 6.245577103411708e-06
Position 322: 6.052735440494318e-06
Position 986: 5.6282718541236005e-06
Position 2981: 5.526585457975625e-06
Position 2638: 5.503391188453772e-06
Position 660: 5.320113181202667e-06
Position 725: 4.855186555575992e-06
Position 1390: 4.438432387462715e-06
Position 465: 4.418792867333298e-06
Position 992: 4.1708500683421775e-06
Position 638: 1.9439909555043436e-06
Position 696: 1.5960166100970172e-06
Position 525: 1.2493159732990592e-06
Position 2950: 8.227279922589411e-07
Position 2615: 3.1860143736474253e-07
Position 363: 1.866883392097416e-07
Position 2429: 1.478423002486937e-07
Position 1213: 1.1489148625004395e-07
Position 1675: 8.824109641067923e-08
Position 486: 3.769534880289041e-08
Position 340: 5.76281758111869e-09
Position 596: 1.2461777232370697e-13
Position 669: 2.0163140830005376e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2688: 0.9753438185622766
Position 1151: 0.6175528060215132
Position 1948: 0.113759322455862
Position 2422: 0.11364821740207186
Position 1013: 0.09599931076919395
Position 2885: 0.07115664215649734
Position 2001: 0.03741986745168155
Position 1582: 0.0311638055990643
Position 318: 0.026970250767781992
Position 2376: 0.02151539718282006
Position 2737: 0.021327573423418875
Position 1237: 0.017380019765685352
Position 1909: 0.01590837367819869
Position 1526: 0.015490295316252255
Position 2446: 0.012845451242613848
Position 2248: 0.011259365137078503
Position 1435: 0.010783804059311676
Position 334: 0.010626778516480109
Position 2017: 0.01026527486492258
Position 711: 0.008099192233171387
Position 1922: 0.007672910232505195
Position 575: 0.007145998990425161
Position 1178: 0.005369280977453959
Position 2922: 0.005264682094477477
Position 2206: 0.0044548787374194794
Position 1198: 0.0041983307196754235
Position 381: 0.0038379248645758297
Position 1049: 0.002759692522114761
Position 2076: 0.002516357671807576
Position 1585: 0.0018722046184366913
Position 809: 0.00175538437309487
Position 1532: 0.0016843172340850012
Position 2591: 0.00167471563097226
Position 1213: 0.0016658164125881443
Position 669: 0.001473234630190526
Position 2594: 0.001434921298836575
Position 1456: 0.0010363332738874164
Position 980: 0.001010785543682947
Position 2275: 0.0009779425934405106
Position 2254: 0.0007505674839633857
Position 1066: 0.0006779066814113867
Position 2822: 0.0006184983392846921
Position 745: 0.0005648741833807921
Position 604: 0.0005210171109545112
Position 1741: 0.0005159182148313185
Position 2900: 0.0003384823653059612
Position 691: 0.00033094788652005767
Position 1259: 0.00032132433045299033
Position 2934: 0.0003175800702994362
Position 2035: 0.0002896117235496483
Position 3061: 0.0002427562602204398
Position 1781: 0.0001850323191762649
Position 1872: 0.0001695055114947042
Position 683: 0.0001677291540737018
Position 1402: 0.00015122074119912297
Position 165: 0.00014480454419379008
Position 547: 0.00014147913967522103
Position 1163: 0.00012920227132939512
Position 1675: 0.00012540495020868804
Position 2695: 0.00011526981604124772
Position 1416: 0.00010610000218436474
Position 2956: 0.000101505640783658
Position 863: 0.00010088575388961613
Position 742: 9.602658932010077e-05
Position 2939: 8.58189489729254e-05
Position 477: 5.8467357639497784e-05
Position 360: 5.651306897333336e-05
Position 757: 5.054543832630908e-05
Position 2990: 3.012427017342417e-05
Position 126: 2.7353342255295093e-05
Position 666: 2.371863493413745e-05
Position 2969: 2.3433588459939747e-05
Position 3069: 2.3004165795793705e-05
Position 2762: 2.2742397363779746e-05
Position 432: 1.5054760180597176e-05
Position 2769: 1.2707613113547984e-05
Position 142: 1.225892893090411e-05
Position 213: 4.694018229997234e-06
Position 2793: 4.143156855343176e-06
Position 2300: 4.101399932030529e-06
Position 234: 2.8021207560431323e-06
Position 133: 2.6107921755471093e-06
Position 210: 2.3959833183536463e-06
Position 396: 2.1241834209296114e-06
Position 116: 1.338897862599015e-06
Position 1219: 1.2828825396832717e-06
Position 1270: 9.560477986142573e-07
Position 1307: 9.269553507997843e-07
Position 402: 9.082902056835936e-07
Position 263: 8.385650284906307e-07
Position 630: 7.538112913144244e-08
Position 480: 4.411140275013855e-08
Position 506: 3.045938000054495e-08
Position 486: 2.5423757129425877e-09
Position 286: 2.3920888565667526e-09
Position 462: 1.366971742268265e-09
Position 280: 1.0394771726537987e-09
Position 357: 6.19713910101923e-10
Position 596: 2.777515512202762e-10
Position 525: 1.9287200769759922e-12
Position 272: 5.188313420636347e-13
