Gene = haf
index = 1721
Annotated 5SS: [   77  1787 45697 46784 47529 48501 49208 49757 50357]
Annotated 3SS: [ 1703 45486 45832 47192 47814 49068 49631 49969 51260]
SMsplice 5SS: [  625 45697 46784 47529 48501 49208 49757]
SMsplice 3SS: [45486 45832 46884 47814 49068 49631 51260]
top_k =  500
Partition function (log Z): -44.71770378058644

Sorted 5' Splice Sites (High to Low Probability):
Position 26646: 0.6726007529063769
Position 1787: 0.5586308993454007
Position 625: 0.5209562065842748
Position 77: 0.40050254451095824
Position 1360: 0.08460082862731093
Position 1320: 0.07758581841435043
Position 1338: 0.04423843567580885
Position 618: 0.03008083082896742
Position 81: 0.017292418659196965
Position 83: 0.01310915345330843
Position 713: 0.004138291509022749
Position 967: 0.004042897816198644
Position 335: 0.002716877171304061
Position 792: 0.002475198460812745
Position 874: 0.0017574179992499307
Position 908: 0.0014375453335254097
Position 108: 0.0010671082101366674
Position 85: 0.0009598571413745578
Position 568: 0.0008204429657554678
Position 314: 0.0007310362430485721
Position 87: 0.0004751863914364309
Position 711: 0.00026119067750401715
Position 988: 0.0002322132919736825
Position 218: 0.00018248542453070968
Position 582: 0.00017328288023265762
Position 864: 0.0001706298664243788
Position 1596: 0.00014106007303609408
Position 803: 0.00012470269796964622
Position 97: 0.0001027788712807606
Position 368: 8.259531213383907e-05
Position 504: 4.539671296993733e-05
Position 442: 4.500414711180842e-05
Position 849: 4.0251893665293464e-05
Position 1041: 3.8496469516832686e-05
Position 445: 1.970043065092798e-05
Position 106: 1.711132933847815e-05
Position 259: 1.1004552990848378e-05
Position 421: 8.943415753443102e-06
Position 112: 6.7668999852089594e-06
Position 99: 6.283641512353475e-06
Position 201: 6.179420285263787e-06
Position 756: 6.152239105642486e-06
Position 337: 4.522369545438581e-06
Position 294: 4.146253047155799e-06
Position 9: 2.682680073961995e-06
Position 724: 2.646078480429219e-06
Position 114: 2.5211192607793955e-06
Position 32: 2.1475165719552074e-06
Position 299: 1.8084125925253481e-06
Position 402: 1.4455117918158529e-06
Position 448: 1.0676600945630328e-06
Position 41: 8.962133025869372e-07
Position 451: 4.022256739297343e-07
Position 270: 4.017329903591231e-07
Position 454: 1.9475581163611132e-07
Position 409: 1.172470006317858e-07
Position 457: 9.599912009745474e-08
Position 213: 8.257229193648735e-08
Position 471: 3.685973418395709e-08
Position 436: 2.2383597317822426e-08
Position 822: 1.0009542191348132e-08
Position 3819: 7.80766388929047e-09
Position 11608: 3.1666430221707295e-09
Position 7882: 1.7752572325727335e-09
Position 7094: 1.683603934508429e-09
Position 3435: 1.0193361223259062e-09
Position 1926: 6.86981787220764e-10
Position 2525: 4.1034712907901284e-10
Position 6765: 3.399494579314341e-10
Position 2974: 7.289365748091229e-11
