Gene = REPTOR-BP
index = 1399
Annotated 5SS: [140 509 761]
Annotated 3SS: [423 638 821]
SMsplice 5SS: [509 765]
SMsplice 3SS: [638 821]
top_k =  500
Partition function (log Z): 6.004341395919107

Sorted 5' Splice Sites (High to Low Probability):
Position 509: 0.9940583483867542
Position 765: 0.9100854743607195
Position 961: 0.12604451912203563
Position 969: 0.060336058140801264
Position 761: 0.04791142105964983
Position 140: 0.03921049967005315
Position 744: 0.031057443893964726
Position 224: 0.010620926093850578
Position 210: 0.006021569574538703
Position 551: 0.004261019125045079
Position 731: 0.0037847609048895134
Position 137: 0.0025668548259755626
Position 258: 0.0013740355962356685
Position 169: 0.0005344513291475019
Position 734: 0.00035191517377068253
Position 228: 0.0002947896674600697
Position 266: 0.0002167836302178491
Position 878: 0.000205285348623795
Position 278: 0.00015388971291039537
Position 324: 0.00010574488815652998
Position 566: 9.233928167522345e-05
Position 58: 7.599822017329291e-05
Position 115: 5.2863232707148044e-05
Position 177: 5.203712371993597e-05
Position 166: 4.954319231578252e-05
Position 1010: 3.896066191292862e-05
Position 197: 3.26516356270512e-05
Position 376: 2.8753920739945994e-05
Position 64: 2.6993559674682894e-05
Position 710: 2.287825664086465e-05
Position 77: 2.1088957553091505e-05
Position 574: 1.884116509549021e-05
Position 20: 1.1481671107141844e-05
Position 264: 1.1187269455952695e-05
Position 842: 8.969113108556323e-06
Position 222: 5.688660598529289e-06
Position 688: 5.631597634778106e-06
Position 786: 4.278176308547344e-06
Position 50: 3.3908727997218755e-06
Position 256: 3.1977251181401943e-06
Position 61: 2.5347904606677004e-06
Position 10: 2.1532703330755156e-06
Position 3: 1.680538980038316e-06
Position 474: 6.660882054718678e-07
Position 821: 6.451951374376249e-07
Position 694: 5.527010583000226e-07
Position 594: 5.190014156777631e-07
Position 1045: 4.3535275403943995e-07
Position 390: 1.621733688593174e-07
Position 1054: 1.223817397209954e-07
Position 440: 1.0896058100344355e-07
Position 654: 1.107413517305681e-08
Position 621: 1.7097628953994057e-15
Position 623: 1.6101271115991744e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 638: 0.9996841284102076
Position 821: 0.9868600770560302
Position 1035: 0.1715202896112998
Position 426: 0.04273611439357328
Position 1059: 0.01513731578969439
Position 423: 0.009162933357811754
Position 842: 0.005829851851923845
Position 210: 0.0049116785731098565
Position 298: 0.0016626714952167323
Position 324: 0.0004930225486102311
Position 358: 0.00042608320478638377
Position 316: 0.0003839683707007023
Position 566: 0.00019795921398596314
Position 1068: 0.0001711501435926473
Position 1098: 0.00016851919651543712
Position 933: 0.00011703166895842248
Position 645: 6.910495164843064e-05
Position 1079: 5.741921661449814e-05
Position 246: 4.7182582446106506e-05
Position 369: 3.445741121321126e-05
Position 463: 2.3779988080423515e-05
Position 214: 1.3786291018184782e-05
Position 648: 1.2013959900760982e-05
Position 887: 1.0718350733235596e-05
Position 1001: 9.444900049064614e-06
Position 435: 9.109777937159993e-06
Position 878: 7.190920941706396e-06
Position 449: 4.512653462227567e-06
Position 853: 2.7977333293497628e-06
Position 574: 2.493404615506976e-06
Position 75: 1.2256634590647826e-06
Position 163: 1.2227665389509858e-06
Position 939: 7.004191046236354e-07
Position 103: 6.002022253607199e-07
Position 467: 5.245136173087849e-07
Position 682: 4.076091949202765e-07
Position 909: 1.999938434120234e-07
Position 499: 1.1041930003624625e-07
Position 654: 6.50665758276822e-08
Position 660: 6.091202880737471e-08
Position 105: 5.862187976517982e-08
Position 137: 3.6032436928901006e-08
Position 58: 3.375402990403776e-08
Position 471: 2.6849859004479034e-08
Position 679: 2.4274919478458847e-08
Position 97: 2.3609366203189024e-08
Position 77: 1.665455983366532e-08
Position 127: 4.7086860487808675e-09
Position 48: 2.958154561115704e-09
Position 694: 2.729261781385288e-09
Position 508: 1.1829320199436486e-09
Position 757: 3.5692856839383116e-10
Position 50: 2.993813688140713e-14
