Gene = DCTN5-p25
index = 1120
Annotated 5SS: [140 528]
Annotated 3SS: [227 584]
SMsplice 5SS: [528]
SMsplice 3SS: [584]
top_k =  500
Partition function (log Z): -2.6555159445012726

Sorted 5' Splice Sites (High to Low Probability):
Position 528: 0.996654464740746
Position 243: 0.04612027472831821
Position 235: 0.02570434386583958
Position 144: 0.0025618012526541106
Position 503: 0.0017099685197990977
Position 31: 0.0016370052441819225
Position 442: 0.0008702818632571486
Position 131: 0.000541899860223441
Position 13: 0.0005239331040068282
Position 780: 0.0003920864303221943
Position 36: 6.264204365237977e-05
Position 361: 5.021358059043729e-05
Position 297: 4.935606881245355e-05
Position 258: 3.893476032370551e-05
Position 363: 2.834907347542395e-05
Position 69: 2.001093049001117e-05
Position 501: 1.329450347442067e-05
Position 761: 1.0237270088833894e-05
Position 220: 9.651055733569106e-06
Position 438: 7.031439532187308e-06
Position 713: 6.909864817261362e-06
Position 303: 4.227105747997534e-06
Position 670: 4.207980727693841e-06
Position 265: 3.890085478417508e-06
Position 342: 2.7008141529408047e-06
Position 395: 2.4514070671667506e-06
Position 381: 2.0669328386149603e-06
Position 615: 1.6979865010952691e-06
Position 545: 1.3005105223646802e-06
Position 697: 1.130602887788069e-06
Position 247: 8.445505781931147e-07
Position 471: 5.884789369841118e-07
Position 456: 5.419474235741965e-07
Position 268: 5.082430340490852e-07
Position 556: 5.008399663949013e-07
Position 474: 2.5649267899101115e-07
Position 595: 1.4511193098644265e-07
Position 597: 1.134171685556524e-07
Position 720: 8.988579647616663e-08
Position 450: 4.3034537884581967e-08
Position 654: 4.109620436447254e-08
Position 589: 2.3507822743743954e-08
Position 613: 4.947701816670053e-09
Position 656: 2.6341349888608358e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 584: 0.9995694812873451
Position 296: 0.059983653381390396
Position 308: 0.011428492877261984
Position 227: 0.004113350385724111
Position 69: 0.00041491616420248525
Position 837: 0.0004115075980709661
Position 606: 0.0002813686428203519
Position 117: 0.0002447518916043146
Position 409: 0.00019904725394671565
Position 181: 0.0001869516909009054
Position 661: 4.255394927797413e-05
Position 355: 4.0589763436829854e-05
Position 645: 2.1933696785495948e-05
Position 374: 2.0149502647172826e-05
Position 413: 1.9401721851340342e-05
Position 134: 1.5636692781080973e-05
Position 465: 1.2303844235433868e-05
Position 468: 9.059930294386058e-06
Position 737: 8.774631627270058e-06
Position 122: 3.645966025820092e-06
Position 247: 3.2629242902343536e-06
Position 471: 3.0593487468132457e-06
Position 243: 2.854027588950813e-06
Position 515: 1.3594169752479256e-06
Position 761: 6.521028342279806e-07
Position 188: 6.003626811704611e-07
Position 792: 3.99053062271016e-07
Position 784: 1.560537706492791e-07
Position 623: 5.490890709847477e-08
Position 704: 3.288825736521513e-08
Position 190: 2.5697054692065824e-08
Position 144: 2.3890157000364904e-08
Position 695: 4.833997107328657e-09
Position 310: 4.3227921708055354e-09
Position 682: 2.9481984316525837e-09
Position 773: 2.928298607171697e-09
Position 798: 1.1740251387553841e-09
Position 136: 6.031165281954473e-11
