Gene = fy
index = 1711
Annotated 5SS: [ 277 1450]
Annotated 3SS: [ 334 1508]
SMsplice 5SS: [277]
SMsplice 3SS: [334]
top_k =  500
Partition function (log Z): -5.420632740876062

Sorted 5' Splice Sites (High to Low Probability):
Position 277: 0.9896138578231355
Position 1450: 0.2707149343497307
Position 57: 0.2146816372221903
Position 65: 0.042912718363184416
Position 652: 0.008831412397501282
Position 1555: 0.0017099869720693468
Position 696: 0.00142160659924346
Position 529: 0.0013457127379542752
Position 1551: 0.0011817913322007259
Position 283: 0.0009048118892139357
Position 1336: 0.0007294692896907381
Position 1145: 0.0006542616443456469
Position 844: 0.0004466850054486373
Position 1235: 0.00043584071938800295
Position 997: 0.00036752898984341627
Position 80: 0.00027365847291843534
Position 1430: 0.00026575002130391884
Position 511: 0.00025823575329089147
Position 1603: 0.0002543346146413962
Position 759: 0.00024388489055582595
Position 509: 0.00021098234774284078
Position 155: 0.00020645674052039643
Position 1563: 0.00020409183094371425
Position 1482: 0.0001938139577500909
Position 1185: 9.830370108327162e-05
Position 522: 9.655858706537077e-05
Position 175: 8.443117756574052e-05
Position 1270: 8.437190779630019e-05
Position 1417: 6.420667576192868e-05
Position 1559: 5.622517844787404e-05
Position 524: 5.0615295640871324e-05
Position 923: 4.274316737309889e-05
Position 246: 2.7056282722310745e-05
Position 244: 2.3175252848379496e-05
Position 895: 2.2140883242908097e-05
Position 1113: 1.6813667682149982e-05
Position 1627: 1.566144589881666e-05
Position 218: 1.552125245378264e-05
Position 1414: 1.4226575097866306e-05
Position 965: 1.3796444382472384e-05
Position 310: 1.1098460955880451e-05
Position 935: 8.154552051378376e-06
Position 942: 3.490311251410529e-06
Position 108: 3.2478616239068204e-06
Position 917: 2.9083892510471734e-06
Position 583: 2.583289600306376e-06
Position 982: 2.3985441825074845e-06
Position 213: 1.1148609141085598e-06
Position 563: 1.0532221291318772e-06
Position 1372: 4.380578485351732e-08
Position 466: 2.0094051246569968e-08
Position 201: 4.820430566523538e-09
Position 690: 3.583444948324625e-09
Position 168: 3.083521527913756e-09
Position 385: 8.834162620585281e-10
Position 350: 5.956317946211508e-10
Position 723: 3.168956079083657e-10
Position 376: 1.4959466003527574e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 334: 0.9868980870585017
Position 1508: 0.27282783899774116
Position 108: 0.22497591566550465
Position 159: 0.014794390331468874
Position 174: 0.008845282042118697
Position 385: 0.006596175654085581
Position 1664: 0.0047945267492188045
Position 171: 0.0042869354933010775
Position 1315: 0.004263669879223449
Position 1249: 0.00180037332614455
Position 602: 0.0010997685633363607
Position 990: 0.0009769836829023487
Position 1545: 0.0009423439680000549
Position 1210: 0.0009303188158212761
Position 1088: 0.0008580576465390427
Position 1685: 0.0006068557161808438
Position 630: 0.0004919554627313377
Position 1197: 0.0004205956022305258
Position 1295: 0.000305757162597059
Position 774: 0.00026815866081306757
Position 953: 0.0002637570393245462
Position 969: 0.0002608116947627114
Position 578: 0.00023861525386253596
Position 1056: 0.0001644418513469381
Position 1551: 0.0001284587895145509
Position 1690: 0.00012842074586189397
Position 1353: 0.00011785053304696767
Position 310: 9.838462993901499e-05
Position 1585: 8.281835499066641e-05
Position 1323: 5.5490190329369783e-05
Position 1494: 5.442217902511773e-05
Position 188: 4.286245036798604e-05
Position 1113: 3.578797598545292e-05
Position 1073: 2.9389712141083272e-05
Position 757: 2.8408355592506056e-05
Position 1340: 2.8058100786583643e-05
Position 406: 2.2297054913762133e-05
Position 1548: 2.0570324565090713e-05
Position 1481: 1.775652512709553e-05
Position 191: 1.22071919519328e-05
Position 942: 6.963129061234142e-06
Position 244: 1.669311732532824e-06
Position 185: 9.916880093288804e-07
Position 261: 7.91605104061804e-07
Position 258: 1.909660439124051e-07
Position 445: 1.2119087066932754e-08
Position 439: 6.649175282259615e-09
Position 427: 6.051768921725199e-09
Position 420: 4.66219076010588e-09
Position 193: 1.7183961522249647e-09
Position 265: 4.901922743158206e-10
Position 430: 4.3684157694575793e-10
Position 281: 2.3422293621240823e-11
Position 547: 1.6099765353962622e-12
Position 283: 6.963611623674876e-14
