Gene = Tsp66A
index = 1572
Annotated 5SS: [1912 2155 2350 2588]
Annotated 3SS: [1968 2214 2410 2636]
SMsplice 5SS: [ 106  329  521  671 1060 1243 1567 2350 2588]
SMsplice 3SS: [ 160  391  577  737 1116 1309 2214 2410 2646]
top_k =  500
Partition function (log Z): 7.501835779024823

Sorted 5' Splice Sites (High to Low Probability):
Position 2588: 0.9980100814446248
Position 2350: 0.9668657144863493
Position 1243: 0.9021328131774453
Position 521: 0.7906154557216271
Position 329: 0.7456803148017594
Position 671: 0.7182675266857809
Position 106: 0.6624360672305181
Position 840: 0.5984027292375882
Position 2149: 0.526247664036746
Position 1567: 0.5066980142236447
Position 1060: 0.49903687718468576
Position 1916: 0.3065994797094332
Position 1912: 0.15305614204461035
Position 212: 0.150680038623437
Position 1899: 0.12012061666480317
Position 2155: 0.04700675616537324
Position 1057: 0.043298269689759715
Position 1075: 0.04096201783058755
Position 1383: 0.038893572275194015
Position 1248: 0.03354453692616251
Position 2732: 0.03154854509038187
Position 2704: 0.029006243002714885
Position 2159: 0.01955218289842745
Position 2742: 0.017747988981578856
Position 2750: 0.014385790352126934
Position 1615: 0.013268847949473484
Position 2737: 0.01266571666899028
Position 681: 0.010008157448534682
Position 1034: 0.008570472564415697
Position 818: 0.008405308467715604
Position 2071: 0.008057754127416028
Position 2101: 0.007263398508359491
Position 1679: 0.005012880498582298
Position 326: 0.004692833143030644
Position 690: 0.00406474848780272
Position 1064: 0.0032732612479343913
Position 822: 0.002401159211825612
Position 2345: 0.001499215525210399
Position 668: 0.001169061451414854
Position 2105: 0.0011209513156256819
Position 243: 0.0009864385579602527
Position 659: 0.0007588527547692119
Position 333: 0.0006963475479388177
Position 468: 0.0006962339984844077
Position 546: 0.0005943860310914683
Position 415: 0.0005212636883155748
Position 3221: 0.0005051272629413071
Position 363: 0.00042021518286916175
Position 902: 0.00036383134497663873
Position 2356: 0.0003396031594204176
Position 2579: 0.000334183961719565
Position 1469: 0.0002309045853794965
Position 810: 0.0002143008197340239
Position 585: 0.00019202573604145377
Position 45: 0.00013125138121426128
Position 13: 0.0001224121334745806
Position 269: 0.00012174526090550249
Position 227: 0.00011457796439113569
Position 525: 9.019320436716064e-05
Position 377: 7.64040105988379e-05
Position 1317: 6.988153662624328e-05
Position 1009: 6.190648039796289e-05
Position 216: 5.891137845094269e-05
Position 64: 5.2351774805360307e-05
Position 1106: 4.035134286024086e-05
Position 110: 3.170522907063593e-05
Position 496: 3.0254331278870864e-05
Position 255: 2.3984902643431194e-05
Position 281: 1.7024784229269836e-05
Position 2592: 1.5171217223798083e-05
Position 2567: 4.6265921636285174e-06
Position 257: 2.757596162667778e-06
Position 76: 2.3378021569074676e-06
Position 303: 2.311747556686385e-06
Position 2636: 1.9617266862655785e-06
Position 131: 1.5767820417234918e-06
Position 62: 1.1012057532523685e-06
Position 272: 9.374152536857313e-07
Position 417: 7.806853009423746e-07
Position 142: 4.87902459456312e-07
Position 2603: 3.3473253475057867e-07
Position 577: 3.0659077079189103e-07
Position 419: 2.344557221614094e-07
Position 125: 1.5474890202047154e-07
Position 2598: 1.2692338281802383e-07
