Gene = toc
index = 1913
Annotated 5SS: [  448 19685 20772 36062 46865 50570 63793 64136 73218 73964]
Annotated 3SS: [16995 19828 35924 46720 50410 63517 63898 73021 73281 74054]
SMsplice 5SS: [  448 17993 19685 20772 36062 46865 50570 63793 64136 73218 73964]
SMsplice 3SS: [16995 19089 19828 35924 46720 50410 63517 63898 73021 73281 74054]
top_k =  500
Partition function (log Z): 12.773862914303619

Sorted 5' Splice Sites (High to Low Probability):
Position 64136: 1.0000000000000002
Position 36062: 0.9999999999999988
Position 46865: 0.9974437830624666
Position 73218: 0.9970717640990295
Position 73964: 0.995439069560398
Position 63793: 0.9912147147271912
Position 20772: 0.9708919716185566
Position 448: 0.9476855746488297
Position 50570: 0.9154253375250053
Position 19685: 0.8513307019180771
Position 1525: 0.7693047979214541
Position 17993: 0.7526652904436404
Position 47612: 0.47261535617968725
Position 1837: 0.42349685336921505
Position 50327: 0.41461172355270387
Position 47222: 0.24052093125650673
Position 831: 0.22734931289946525
Position 17677: 0.17556952803755435
Position 1751: 0.1694181926609455
Position 5843: 0.08445699670860936
Position 75028: 0.07080738393295155
Position 49329: 0.06030814401228367
Position 47344: 0.04630725287701561
Position 46138: 0.04293315257829977
Position 47283: 0.04032346915886334
Position 71625: 0.03168997313147476
Position 5422: 0.029747701399738796
Position 74127: 0.019994306420566575
Position 58783: 0.01868737623149271
Position 3942: 0.014650363648644997
Position 59829: 0.01118157640591583
Position 48607: 0.0104394834821258
Position 17296: 0.010019106596028478
Position 48915: 0.00871116769498352
Position 19351: 0.008691600597143431
Position 56474: 0.007706126541874764
Position 860: 0.006638787990959112
Position 2528: 0.006635248171306707
Position 13213: 0.006382444168508571
Position 17881: 0.006308890072941631
Position 47653: 0.006255261626814594
Position 930: 0.0055671544706988735
Position 3: 0.005531404058876769
Position 2433: 0.00537926221583121
Position 935: 0.005288202208316011
Position 47490: 0.004977573435554012
Position 6242: 0.004709688528635607
Position 75376: 0.004704781846039401
Position 989: 0.004491254591359113
Position 63810: 0.0037535510764541385
Position 47361: 0.0034751245621779227
Position 63760: 0.0033237045739043397
Position 75677: 0.003003876823779965
Position 570: 0.002834055442506949
Position 73222: 0.0026814849455515685
Position 851: 0.0024324428468315952
Position 54952: 0.001957859172133945
Position 249: 0.0019173260602472063
Position 74384: 0.001903692402683598
Position 46914: 0.001758600651314329
Position 2874: 0.0015065814500220347
Position 63620: 0.001433368914514137
Position 75280: 0.0013319118374381768
Position 194: 0.0013007318617413138
Position 173: 0.0011096787363533043
Position 202: 0.0011036459267168895
Position 47744: 0.0010015899433670375
Position 970: 0.0009454371714707065
Position 75605: 0.0008275349889816
Position 63938: 0.0007941786322174564
Position 76009: 0.0007557782586042076
Position 802: 0.0006757337099006796
Position 951: 0.00046831505545372757
Position 688: 0.0004342048416048345
Position 863: 0.000397001329752091
Position 73401: 0.0003824436797278266
Position 73968: 0.0003761154200988173
Position 799: 0.0003726690988076727
Position 46869: 0.00036433730616128795
Position 25: 0.00034786157948762876
Position 56071: 0.000333084028055874
Position 47279: 0.00032440969818284954
Position 247: 0.0003022682964197076
Position 599: 0.0002978788564954411
Position 778: 0.000277244414982041
Position 673: 0.00027482692159092704
Position 307: 0.00022657160129986047
Position 1361: 0.00021351628427955418
Position 868: 0.00020814450852463175
Position 1438: 0.00019536581590042624
Position 282: 0.00017588759022838736
Position 745: 0.00015675796043404871
Position 531: 0.00014087529435778304
Position 1704: 0.00013865182412239465
Position 47317: 0.0001318569662762882
Position 198: 0.00012972447522973247
Position 74344: 0.000129477833311962
Position 566: 0.00011751057232019126
Position 75234: 9.419745513725767e-05
Position 2014: 9.18453291821387e-05
Position 75332: 9.011602299349272e-05
Position 595: 7.868120758385709e-05
Position 63647: 7.263933461978188e-05
Position 1456: 6.992533293699672e-05
Position 794: 6.909309258653024e-05
Position 1774: 6.28114870915045e-05
Position 220: 5.5600100341177326e-05
Position 1469: 5.4612086153118356e-05
Position 759: 5.37755735597596e-05
Position 188: 5.147271882604093e-05
Position 63971: 4.5663859476329685e-05
Position 1880: 4.384060513217571e-05
Position 787: 3.810766361020528e-05
Position 256: 3.327410095964772e-05
Position 1023: 2.7801723607175434e-05
Position 74148: 2.5838847238806634e-05
Position 1699: 2.2756995200532305e-05
Position 74576: 1.130014170323295e-05
Position 357: 1.1270047577017459e-05
Position 2000: 8.590857788139148e-06
Position 1296: 7.146756194603405e-06
Position 2297: 6.435125207453163e-06
Position 562: 4.8618651736959246e-06
Position 1937: 4.8227087714712385e-06
Position 192: 4.763309512445896e-06
Position 2058: 4.453953603379646e-06
Position 1767: 3.42836615976067e-06
Position 74181: 3.4222259064862865e-06
Position 73485: 3.2890165376572687e-06
Position 75401: 3.0147007912718473e-06
Position 1781: 2.996738959036075e-06
Position 200: 2.9949705669717195e-06
Position 51390: 2.8307905024450274e-06
Position 52832: 2.826962773672484e-06
Position 74261: 2.2808807610217192e-06
Position 212: 1.979670637395089e-06
Position 73978: 1.9673634999192097e-06
Position 206: 1.957526869935684e-06
Position 73888: 1.8783915043435108e-06
Position 12: 1.4889634201182e-06
Position 350: 1.388249170356289e-06
Position 544: 6.383311132559326e-07
Position 372: 5.510509156023644e-07
Position 686: 5.502394442769555e-07
Position 574: 3.846330855380249e-07
Position 29: 3.6929658537002815e-07
Position 508: 3.1861175438642736e-07
Position 10: 2.729453525943038e-07
Position 564: 2.3343143551927917e-07
Position 73751: 3.8459720243583586e-08
Position 73593: 2.6706559066072663e-08
Position 332: 2.2562974365158636e-08
Position 74190: 1.4431954666234792e-08
Position 73798: 1.3284139231605027e-08
Position 74196: 1.101286566646769e-08
Position 587: 9.37108083351749e-09
Position 577: 8.991469436482417e-09
Position 383: 7.884431467592202e-09
Position 614: 4.487416299769691e-09
Position 619: 4.444162025855239e-09
Position 399: 2.867460972031917e-10
Position 390: 6.758952682860935e-11
Position 535: 6.467920318338224e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 35924: 0.9999999999999988
Position 16995: 0.9999999999999969
Position 63517: 0.9993593234338539
Position 73281: 0.9991299312918636
Position 46720: 0.9983030197312742
Position 74054: 0.9724129367936495
Position 19828: 0.9354869364542384
Position 73021: 0.9295450423038336
