Gene = GatC
index = 1182
Annotated 5SS: [1168]
Annotated 3SS: [1221]
SMsplice 5SS: [1168]
SMsplice 3SS: [1221]
top_k =  500
Partition function (log Z): -2.001399822021471

Sorted 5' Splice Sites (High to Low Probability):
Position 1168: 0.990975705824657
Position 28: 0.029504568589990614
Position 424: 0.02891414662558559
Position 322: 0.01959348115994136
Position 1321: 0.012481620101638337
Position 1136: 0.008046849934647904
Position 136: 0.004866656505264986
Position 379: 0.0013724591340040452
Position 703: 0.0009846255904764282
Position 1059: 0.000810873699566177
Position 1300: 0.0007645592826423436
Position 406: 0.0006692073628853629
Position 895: 0.0006654059030293411
Position 235: 0.00044940146280394224
Position 1390: 0.00042582025488815885
Position 820: 0.00032860350228516074
Position 285: 0.0002969169201249593
Position 1312: 0.00014315930936115653
Position 481: 0.00012409926622035473
Position 673: 0.0001234060309012321
Position 781: 9.436931123308484e-05
Position 363: 8.353455322604924e-05
Position 41: 7.84880607306482e-05
Position 1108: 6.748650252495846e-05
Position 911: 4.900647851182081e-05
Position 162: 4.815271712129394e-05
Position 333: 3.973747374389232e-05
Position 503: 3.497965493370671e-05
Position 1140: 2.489710407400709e-05
Position 723: 2.4141333818581252e-05
Position 1346: 2.397619604731175e-05
Position 45: 1.67204652890802e-05
Position 751: 1.1331064892290335e-05
Position 787: 1.1181931036418963e-05
Position 36: 1.0072093434196768e-05
Position 1357: 9.078568069298209e-06
Position 1314: 7.82221240785698e-06
Position 534: 7.552999390019619e-06
Position 213: 6.8818451139107675e-06
Position 1374: 6.740481634752642e-06
Position 1172: 5.224483697043933e-06
Position 56: 4.468237632650131e-06
Position 326: 1.7195774781133991e-06
Position 1420: 1.5395488987411856e-06
Position 1116: 1.3631602471637285e-06
Position 1021: 1.358990776041745e-06
Position 1035: 1.2002897901578063e-06
Position 1175: 9.327223406163694e-07
Position 951: 2.4967423745319275e-07
Position 1128: 2.4070750824039997e-07
Position 1240: 1.8492635673862387e-07
Position 1068: 1.4857741158924583e-07
Position 1281: 1.18079147121811e-07
Position 340: 9.204456895028254e-08
Position 1041: 6.985764119711282e-08
Position 22: 6.143710960052945e-08
Position 151: 4.5394861459034116e-08
Position 919: 3.128111354403074e-08
Position 5: 2.2440498182986352e-08
Position 660: 1.0086041736786322e-08
Position 587: 5.722712696575848e-09
Position 445: 5.821170820008395e-10
Position 562: 4.4232897700426974e-10
Position 228: 1.485770644787983e-10
Position 937: 1.476618943421965e-10
Position 852: 7.641537811488432e-11
Position 613: 1.3154083270317585e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1221: 0.9996880440908534
Position 818: 0.02053897569472531
Position 893: 0.013828367458679658
Position 852: 0.010480603476469893
Position 1396: 0.009864675802328436
Position 378: 0.009249706294284699
Position 937: 0.008441622897444054
Position 93: 0.004175013124878782
Position 117: 0.0036728942865724523
Position 192: 0.003585382270003374
Position 1449: 0.0028803264768088393
Position 796: 0.002217469274699856
Position 135: 0.002206032437183753
Position 996: 0.001686043013822633
Position 775: 0.0012481688246764122
Position 743: 0.0011993888525301448
Position 596: 0.0010271102861447179
Position 213: 0.0009809900135547517
Position 1361: 0.0009535681302770086
Position 691: 0.0007124500802618334
Position 729: 0.000672204531716261
Position 114: 0.0006058892866840287
Position 1029: 0.0004155941365611664
Position 176: 0.0004119138296833601
Position 1446: 0.0003579652319313125
Position 144: 0.00023871020194144108
Position 540: 0.00023570872237974814
Position 1135: 0.00011277489934363221
Position 1035: 9.057818564363848e-05
Position 695: 8.727403124744236e-05
Position 503: 6.633342024432545e-05
Position 1407: 6.555284130738647e-05
Position 671: 4.968007019144493e-05
Position 660: 3.188206313937443e-05
Position 1430: 3.023502183955882e-05
Position 875: 2.5361725743781352e-05
Position 1146: 2.179950354938654e-05
Position 899: 9.885327165960377e-06
Position 388: 7.908969063220818e-06
Position 318: 6.173435986514399e-06
Position 1532: 6.066127199661669e-06
Position 297: 5.316411378241429e-06
Position 162: 3.878123956619827e-06
Position 474: 3.6539921246056166e-06
Position 278: 3.515844340544925e-06
Position 248: 3.0948248197993568e-06
Position 357: 2.4392520416095546e-06
Position 1516: 2.1301372190899983e-06
Position 273: 1.6672060432279723e-06
Position 423: 1.6524197063782275e-06
Position 354: 1.4358237843896895e-06
Position 1505: 1.371988046545365e-06
Position 1540: 9.590662879125394e-08
Position 1015: 9.389600661063208e-08
Position 905: 6.745904542227756e-08
Position 285: 5.227066626597482e-08
Position 151: 1.2519074676094558e-08
Position 53: 1.520294533553787e-09
Position 222: 1.0454265414215432e-09
Position 363: 8.071182877538841e-10
Position 405: 2.425797627047398e-10
Position 275: 5.548366137135438e-11
Position 50: 4.834113376357328e-11
Position 256: 3.7426926666039496e-12
