Gene = Tspo
index = 1574
Annotated 5SS: [426]
Annotated 3SS: [484]
SMsplice 5SS: [426]
SMsplice 3SS: [484]
top_k =  500
Partition function (log Z): -5.468068250642717

Sorted 5' Splice Sites (High to Low Probability):
Position 426: 0.9948529950025808
Position 699: 0.12461349788592634
Position 726: 0.08897690574117556
Position 694: 0.029066571974353445
Position 200: 0.0008066277170912557
Position 430: 0.0006932544472694807
Position 356: 0.0003457492514618323
Position 45: 0.0001952516524485152
Position 843: 5.1175899952791736e-05
Position 300: 3.5512245716297686e-05
Position 135: 2.4528904746261213e-05
Position 269: 2.2377118358415116e-05
Position 455: 1.0863638911462733e-05
Position 736: 7.468144237427191e-06
Position 243: 5.69198532408316e-06
Position 307: 4.078406381561591e-06
Position 72: 3.9816702298146854e-06
Position 548: 3.376930570503793e-06
Position 97: 3.06302076045222e-06
Position 575: 2.0275722187582763e-06
Position 520: 1.5631357184002223e-06
Position 101: 1.4616002447885016e-06
Position 215: 6.895727138974822e-07
Position 500: 6.535174111513309e-07
Position 32: 6.243205015422849e-07
Position 738: 5.485981931699795e-07
Position 257: 5.323397003950985e-07
Position 386: 5.050686292324692e-07
Position 103: 4.137074870508594e-07
Position 584: 3.589674131690379e-07
Position 792: 2.0903373338380114e-07
Position 815: 1.420510938622313e-07
Position 457: 1.01300849171325e-07
Position 462: 9.588059904397909e-08
Position 538: 6.58096939935683e-08
Position 862: 3.013272618584589e-08
Position 533: 2.1887151411568566e-08
Position 302: 4.4216496663354024e-09
Position 221: 6.428782431490587e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 484: 0.9924620079497158
Position 757: 0.15166288272373818
Position 780: 0.09363211895570778
Position 500: 0.0010550354489845014
Position 815: 0.00029555910487310654
Position 556: 0.00014851670457894585
Position 905: 0.0001439081223671276
Position 230: 8.873826286870673e-05
Position 410: 7.09252944357025e-05
Position 368: 4.772856466206782e-05
Position 812: 3.273821316444864e-05
Position 792: 2.8377197085000083e-05
Position 194: 1.6520620490694254e-05
Position 181: 1.464945409277634e-05
Position 631: 1.3518147409182298e-05
Position 215: 6.419634815639589e-06
Position 548: 5.870564821720201e-06
Position 843: 3.542322837449885e-06
Position 454: 1.407884830688426e-06
Position 185: 5.859237007148938e-07
Position 649: 5.780314867566134e-07
Position 449: 4.157963038039655e-07
Position 652: 3.8138781077097823e-07
Position 646: 1.6237526733140565e-07
Position 196: 1.5199645685648763e-07
Position 709: 9.330950394546583e-08
Position 726: 8.55620054253711e-08
Position 422: 4.387392465599643e-08
Position 704: 4.356531236017126e-08
Position 332: 7.088920400692347e-09
Position 684: 6.496394472387636e-09
Position 661: 2.2650439916895115e-10
Position 643: 1.835001221185423e-10
Position 673: 1.4020311319153832e-10
Position 318: 6.932587735402531e-11
Position 430: 3.433182626044784e-15
