Gene = Obp22a
index = 1342
Annotated 5SS: [68]
Annotated 3SS: [120]
SMsplice 5SS: [68]
SMsplice 3SS: [120]
top_k =  500
Partition function (log Z): -4.9283466994689835

Sorted 5' Splice Sites (High to Low Probability):
Position 68: 0.998014013474261
Position 391: 0.08405937912779501
Position 280: 0.010202940225944415
Position 295: 0.002664440574793286
Position 292: 0.0015861310981971864
Position 139: 0.001030985375987573
Position 339: 0.0007031846359066102
Position 416: 0.00035572382208862727
Position 234: 0.00017057810742049403
Position 373: 0.00010604051300110803
Position 229: 6.971939491446882e-05
Position 495: 6.432207351154219e-05
Position 341: 4.8411829122231464e-05
Position 29: 4.807537179839121e-05
Position 206: 4.6172768333916975e-05
Position 72: 4.1642408124717675e-05
Position 616: 3.804347838435258e-05
Position 50: 1.924414622371407e-05
Position 530: 4.009497932146322e-06
Position 107: 3.210293811496002e-06
Position 147: 1.5248506174335334e-06
Position 16: 1.3489749480156387e-06
Position 644: 1.3329458526455023e-06
Position 166: 1.1859373320384566e-06
Position 553: 8.979120586854099e-07
Position 130: 8.905249421645626e-07
Position 536: 7.337390901149019e-07
Position 14: 3.209656106840879e-07
Position 696: 6.244627551409277e-08
Position 96: 2.304395450860407e-08
Position 149: 1.252430063496782e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 120: 0.9889433163543623
Position 528: 0.0731135723290019
Position 461: 0.01739105618621959
Position 474: 0.014748499756032901
Position 173: 0.0012603679908348494
Position 213: 0.0007213831734112322
Position 276: 0.0007082074128434018
Position 147: 0.00039867399223532
Position 696: 0.0002532411098741112
Position 536: 0.00021971250557796388
Position 591: 0.0001775416832800586
Position 159: 0.00017058819694494386
Position 616: 0.0001664427342788984
Position 216: 0.0001292620236870413
Position 481: 0.00012249238443410215
Position 621: 0.00011340504875854995
Position 327: 0.00011154697991456787
Position 130: 8.962335193321965e-05
Position 541: 7.409937999426847e-05
Position 426: 6.252001423859246e-05
Position 634: 5.236035084055484e-05
Position 378: 4.668543316693164e-05
Position 300: 4.3785907142604986e-05
Position 346: 4.323336433712737e-05
Position 143: 2.539414438551863e-05
Position 177: 2.2736177878603964e-05
Position 280: 1.4776072891604742e-05
Position 403: 1.0943298523393292e-05
Position 156: 9.986806728227998e-06
Position 644: 9.227260186826211e-06
Position 764: 7.793327159059185e-06
Position 127: 6.442389309969344e-06
Position 339: 5.8126153003719416e-06
Position 258: 4.076429993960424e-06
Position 718: 1.7638232693042983e-06
Position 712: 1.5741279131222644e-06
Position 180: 1.5365033338297134e-06
Position 285: 8.846950156688239e-07
Position 200: 3.460918576374711e-08
Position 292: 1.1949770367213675e-09
Position 89: 9.401468228484903e-10
Position 96: 2.366698510716177e-12
Position 84: 3.483423510010297e-13
Position 64: 2.336312593455374e-13
Position 72: 3.4623681559414055e-14
Position 68: 7.691321461218948e-15
