Gene = vito
index = 1927
Annotated 5SS: [130]
Annotated 3SS: [188]
SMsplice 5SS: [130]
SMsplice 3SS: [188]
top_k =  500
Partition function (log Z): -5.996369855103695

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9340287636852574
Position 134: 0.06418789101550185
Position 418: 0.0016057153023257425
Position 104: 0.0010796057877830556
Position 295: 0.000978629669118
Position 36: 0.00047702864078348503
Position 5: 0.0003500901223926103
Position 837: 0.00032302886584088163
Position 880: 3.580264086312378e-05
Position 872: 2.2377344065113575e-05
Position 590: 2.209110382707151e-05
Position 412: 1.7131913086616102e-05
Position 633: 5.746610319437383e-06
Position 107: 5.464986090440269e-06
Position 427: 2.4839044430155343e-06
Position 50: 2.3978979841497222e-06
Position 27: 1.8067414510437816e-06
Position 473: 5.472371204789517e-07
Position 808: 5.133064990350334e-07
Position 468: 4.348792826908826e-07
Position 192: 1.603914552915728e-10
Position 200: 3.918435257839605e-11
Position 236: 2.0974781517644868e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 188: 0.9966543439338656
Position 200: 0.0025276879892910564
Position 971: 0.0010159308744669858
Position 321: 0.00046178765608664916
Position 600: 0.0003794087774453138
Position 363: 0.00034838656753371556
Position 738: 0.0003384427224462861
Position 735: 0.00029968225518905387
Position 487: 0.00020533015551742767
Position 75: 0.00018862091228476487
Position 510: 0.00011253748109637286
Position 215: 8.615818549461472e-05
Position 693: 7.565869874911415e-05
Position 744: 7.552311920595332e-05
Position 720: 5.16170551654855e-05
Position 101: 3.5025219854595755e-05
Position 357: 3.130547081563165e-05
Position 378: 2.7160782340468474e-05
Position 741: 2.31754464176223e-05
Position 708: 2.0893216713749266e-05
Position 219: 1.917145755744375e-05
Position 606: 1.8861784096945305e-05
Position 816: 1.5078234039426511e-05
Position 417: 1.4019541212919081e-05
Position 267: 1.204543120959508e-05
Position 771: 1.1515422111032414e-05
Position 804: 1.0632572999790905e-05
Position 273: 7.373018659469033e-06
Position 934: 7.1500024356692075e-06
Position 291: 6.14923074408315e-06
Position 927: 5.9778583438842196e-06
Position 822: 5.301694125726866e-06
Position 53: 4.5006967401767304e-06
Position 190: 3.842782665009547e-06
Position 103: 3.789696621389912e-06
Position 831: 3.568262159238858e-06
Position 551: 3.06751598791114e-06
Position 507: 2.9220309937182884e-06
Position 121: 2.9071912907713762e-06
Position 939: 2.8159271654890275e-06
Position 774: 2.519311888968514e-06
Position 381: 2.446936385453523e-06
Position 759: 2.279258970864573e-06
Position 459: 2.056981900355814e-06
Position 722: 2.053657666555363e-06
Position 504: 1.5119544355692537e-06
Position 891: 1.3376074830300483e-06
Position 147: 1.2299422203610486e-06
Position 768: 1.1974996767265557e-06
Position 663: 1.1682136795720357e-06
Position 243: 1.045104607015488e-06
Position 423: 1.040931216457424e-06
Position 91: 8.3730593562165e-07
Position 192: 7.992280757113317e-07
Position 384: 7.614522116969713e-07
Position 354: 6.78863861184202e-07
Position 345: 5.937039084088292e-07
Position 489: 5.802182623386943e-07
Position 138: 5.268588689635065e-07
Position 82: 5.203276490004602e-07
Position 756: 5.002207176724997e-07
Position 828: 4.045514176966656e-07
Position 494: 3.645256331334252e-07
Position 870: 3.402963227272537e-07
Position 855: 3.3386175530675315e-07
Position 369: 3.310380526729568e-07
Position 257: 2.2348647543464733e-07
Position 624: 1.863199241710277e-07
Position 390: 1.7432267239655157e-07
Position 894: 1.1698385681565239e-07
Position 50: 2.3672901201499958e-08
Position 300: 1.4071384392573135e-10
Position 294: 9.299663088009295e-11
Position 279: 5.768487100046688e-11
Position 134: 4.958793788023353e-11
Position 141: 1.2894704889977602e-11
Position 225: 9.897976322527189e-12
Position 372: 6.644055814821373e-13
Position 158: 3.7233789987786596e-13
