Gene = Zmynd10
index = 1606
Annotated 5SS: [ 749  998 1500]
Annotated 3SS: [ 807 1059 1556]
SMsplice 5SS: [ 749  998 1500]
SMsplice 3SS: [ 807 1059 1556]
top_k =  500
Partition function (log Z): -1.8451044529198382

Sorted 5' Splice Sites (High to Low Probability):
Position 998: 0.9891490550545817
Position 749: 0.9358654121385881
Position 1500: 0.7187266802239738
Position 243: 0.04252193268926164
Position 1483: 0.03715680206057996
Position 766: 0.015374310420260577
Position 448: 0.007245980623117449
Position 303: 0.006879732583331118
Position 1504: 0.005256484385769199
Position 141: 0.0044450165267007
Position 408: 0.0040476178283421396
Position 81: 0.0033675395876959324
Position 308: 0.001968456249375482
Position 735: 0.001440677585570768
Position 150: 0.001053197108372731
Position 384: 0.001027971769706947
Position 920: 0.0007704015557617864
Position 464: 0.000632633870845665
Position 522: 0.0005536131937721796
Position 510: 0.0004990537478959962
Position 702: 0.00039004204983043167
Position 31: 0.0003069101443586628
Position 1464: 0.0003006555430874225
Position 174: 0.00025268957229417614
Position 663: 0.0002470129349592118
Position 423: 0.00017770280998713115
Position 1267: 0.0001669536627384489
Position 279: 0.0001463172207500891
Position 311: 9.191900682348791e-05
Position 65: 6.94406778159581e-05
Position 251: 4.9239611121779274e-05
Position 4: 4.719112243949956e-05
Position 988: 4.219727044004467e-05
Position 1219: 3.3083801149949104e-05
Position 324: 3.1777336085253856e-05
Position 107: 2.8308730519329657e-05
Position 442: 2.602662147215266e-05
Position 1002: 2.3155046888661988e-05
Position 145: 2.1959327201067626e-05
Position 694: 1.7135912485698788e-05
Position 1466: 1.633548935830788e-05
Position 368: 1.5149569616596965e-05
Position 890: 1.3119183174712363e-05
Position 33: 1.278900519604672e-05
Position 425: 1.2439235753896228e-05
Position 1120: 1.1213347303093139e-05
Position 1594: 1.0591692915988084e-05
Position 671: 1.0069677436966396e-05
Position 561: 9.221084345278436e-06
Position 1406: 9.04300992657683e-06
Position 1614: 8.66333773073859e-06
Position 924: 6.256780735382425e-06
Position 322: 4.550551514192724e-06
Position 532: 4.264433595601591e-06
Position 468: 3.2882696609994904e-06
Position 719: 3.2665172914653973e-06
Position 918: 2.3101122500908933e-06
Position 573: 2.26301593946068e-06
Position 913: 2.1294074595492597e-06
Position 639: 1.877695861665973e-06
Position 164: 1.8238930226768716e-06
Position 878: 9.267483544377415e-07
Position 1067: 7.831213067606982e-07
Position 1346: 7.533132319199561e-07
Position 1556: 5.467740038581308e-07
Position 1562: 4.0133140681365956e-07
Position 869: 3.148936534202866e-07
Position 221: 3.0481812048311954e-07
Position 90: 2.794240330068671e-07
Position 1525: 2.3219283953917344e-07
Position 117: 3.877271903187728e-10
Position 130: 2.409079203724756e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 807: 0.9654168786800187
Position 1059: 0.9555704136130031
Position 1556: 0.7646620927666549
Position 362: 0.03224141144041624
Position 817: 0.013831202741763943
Position 1111: 0.011669793062702426
Position 1046: 0.008513915351345411
Position 509: 0.005767462183480348
Position 497: 0.004132626204718381
Position 823: 0.0021617142340114148
Position 1319: 0.002111279094483563
Position 1095: 0.0016233609732349413
Position 149: 0.001460597233007825
Position 1277: 0.001310652887127001
Position 1658: 0.0010046756043744155
Position 1359: 0.0008394149008404046
Position 1194: 0.0007811086390588646
Position 526: 0.0007351435676806733
Position 1130: 0.0007189199388381725
Position 206: 0.0005799016124210661
Position 1145: 0.00048401253529951535
Position 1356: 0.00046425515056808605
Position 1446: 0.00045145461872104315
Position 682: 0.0004106547384026626
Position 946: 0.0004059522128232853
Position 1566: 0.00040092997576176794
Position 1245: 0.0003181597987980051
Position 841: 0.00029688733976676455
Position 1080: 0.00029062019226327985
Position 1119: 0.00021271421912496063
Position 461: 0.00016216866111618076
Position 844: 0.00015471912029359043
Position 294: 0.00014920785363817216
Position 1377: 0.0001307640019457848
Position 639: 0.00010892769318746455
Position 657: 7.510388736259195e-05
Position 317: 6.574647875318836e-05
Position 1281: 5.693960164706227e-05
Position 859: 5.6519233700762835e-05
Position 1287: 5.358242004950154e-05
Position 548: 5.336456733306494e-05
Position 140: 5.2576523683089825e-05
Position 1254: 5.075376555442003e-05
Position 411: 4.894328576575185e-05
Position 1324: 3.839873586208687e-05
Position 617: 3.7779877487553456e-05
Position 344: 3.727032927596908e-05
Position 732: 3.716103838672873e-05
Position 101: 3.683267655767479e-05
Position 227: 3.618659043477978e-05
Position 1200: 3.4401027994603765e-05
Position 1167: 3.2339257097507376e-05
Position 1622: 2.858483943627879e-05
Position 928: 2.286601085186784e-05
Position 973: 2.1993422058327087e-05
Position 542: 1.774336439803175e-05
Position 654: 1.7493857748559063e-05
Position 157: 1.620119523959285e-05
Position 1260: 1.5119930536810792e-05
Position 828: 1.1638245140960114e-05
Position 203: 1.041128957655908e-05
Position 272: 9.271324535486771e-06
Position 554: 8.783073548119211e-06
Position 464: 7.685151819599698e-06
Position 1572: 5.275789145712514e-06
Position 1392: 5.054960698585244e-06
Position 1161: 4.917214290255815e-06
Position 398: 4.608275716583485e-06
Position 1629: 4.559397502901427e-06
Position 886: 4.283158536970675e-06
Position 1182: 3.5588832930849707e-06
Position 65: 3.522538971934093e-06
Position 1113: 3.295580635935547e-06
Position 1387: 2.521924166052951e-06
Position 832: 2.089142609027435e-06
Position 895: 1.9688041742094266e-06
Position 1584: 1.560798225025834e-06
Position 819: 1.1420651774364507e-06
Position 985: 1.0920331766877867e-06
Position 988: 8.689381958990112e-07
Position 899: 7.313950259772629e-07
Position 901: 3.5106875861452757e-07
Position 756: 1.9444038617012697e-07
Position 955: 9.382402359358758e-08
