Gene = Exo70
index = 1159
Annotated 5SS: [ 158  377  959 2432 3225 3607 3810]
Annotated 3SS: [ 210  446 2366 2493 3283 3675 3864]
SMsplice 5SS: [ 158  377  959 2432 3225 3607 3810]
SMsplice 3SS: [ 210  446 2366 2493 3283 3675 3864]
top_k =  500
Partition function (log Z): 19.374237465794785

Sorted 5' Splice Sites (High to Low Probability):
Position 3225: 0.9979969936889125
Position 3810: 0.9950395808080702
Position 959: 0.9940496734576919
Position 158: 0.9859635535472931
Position 377: 0.9733900962271967
Position 3607: 0.9391481607667432
Position 2432: 0.8789412605791656
Position 3611: 0.05491499008527223
Position 3076: 0.024119678324419587
Position 1314: 0.012221273586151438
Position 2668: 0.011777569910526656
Position 2638: 0.011553067603299995
Position 1682: 0.011315400363860629
Position 2729: 0.00821335645892713
Position 687: 0.004377973433017192
Position 3565: 0.003338156490765296
Position 1461: 0.0025046456254050084
Position 1878: 0.0024547361048387075
Position 1132: 0.002393153631186443
Position 3014: 0.0021555362980993456
Position 2123: 0.001926237883190338
Position 2864: 0.0017445826256104985
Position 20: 0.0017006622409877924
Position 1849: 0.0016940838019660763
Position 963: 0.0015240842109538917
Position 3584: 0.0014822441246915466
Position 3816: 0.0014750155467388318
Position 2463: 0.0012951871630737495
Position 645: 0.0012266482702934694
Position 2930: 0.001108444216333927
Position 1976: 0.0009265888468432789
Position 25: 0.0007843268762317808
Position 2645: 0.0007771716922491632
Position 2765: 0.0005072015056856497
Position 3324: 0.0004848348315645098
Position 675: 0.00040179919988655386
Position 2177: 0.0003854864088762805
Position 725: 0.00038060372589540837
Position 3761: 0.0003666614431546442
Position 2650: 0.0003283439004706355
Position 939: 0.0002761603478184768
Position 3586: 0.00026573544920160654
Position 3: 0.00024339540396197003
Position 1329: 0.00023746415843167948
Position 3393: 0.00023374795907712633
Position 730: 0.00022703374880514996
Position 70: 0.00022198053487061656
Position 3029: 0.00019966018277656092
Position 3091: 0.00019141380015027647
Position 2071: 0.0001805317599666218
Position 835: 0.00017770190732281838
Position 1686: 0.00017107369720894958
Position 509: 0.0001615575974021052
Position 1024: 0.00015397843171787782
Position 5: 0.0001475766172605323
Position 3333: 0.00012247529440614948
Position 2248: 0.00011884272983182322
Position 2768: 0.00011206629695369915
Position 1812: 0.00010499266986259569
Position 990: 9.889855536098444e-05
Position 623: 8.152402267525046e-05
Position 3047: 7.79588574676392e-05
Position 1689: 7.356857293288901e-05
Position 3825: 7.089857518748726e-05
Position 1430: 6.270246963456879e-05
Position 2984: 6.182624253590395e-05
Position 1980: 5.613846515574643e-05
Position 3444: 5.226361345231746e-05
Position 1363: 4.8374157586880036e-05
Position 1606: 4.517347302071191e-05
Position 554: 4.450487864622479e-05
Position 1860: 4.3548022369813864e-05
Position 1779: 3.934946735319641e-05
Position 708: 3.388255409695243e-05
Position 2955: 3.2852958457008174e-05
Position 1996: 3.1472635437515824e-05
Position 2457: 3.12816110059124e-05
Position 649: 2.560191552591945e-05
Position 2191: 2.506268354608911e-05
Position 1070: 2.3571369970527367e-05
