Gene = Nmt
index = 1325
Annotated 5SS: [307]
Annotated 3SS: [789]
SMsplice 5SS: [307]
SMsplice 3SS: [789]
top_k =  500
Partition function (log Z): -6.212312644178359

Sorted 5' Splice Sites (High to Low Probability):
Position 307: 0.9825777765916269
Position 900: 0.06508694137887516
Position 1758: 0.02988698929165429
Position 1437: 0.015652360727460592
Position 1651: 0.011290689077544207
Position 370: 0.01023415737109705
Position 940: 0.010153204839837678
Position 6: 0.009358486650291
Position 195: 0.005238852296854188
Position 36: 0.002547267553428296
Position 1236: 0.0025445050123498914
Position 1227: 0.002233294863117116
Position 1431: 0.0012725473018359247
Position 2000: 0.0007131632249638354
Position 1459: 0.00040052586616871275
Position 724: 0.0003938379066612036
Position 375: 0.00025270144089129513
Position 1217: 0.0001982335502498363
Position 162: 0.00018884443082096017
Position 1892: 0.0001742221717840039
Position 733: 0.0001686740448391886
Position 1937: 0.0001451715144550885
Position 333: 0.00012068336535642446
Position 293: 0.00011967107611121591
Position 1287: 0.00011365122820812931
Position 271: 0.0001127897490798495
Position 1365: 9.374475441291888e-05
Position 2086: 8.636550225177786e-05
Position 1179: 8.206481459745312e-05
Position 854: 4.865742477938189e-05
Position 1152: 4.451666788014735e-05
Position 1441: 3.735281083131921e-05
Position 692: 3.324519163192169e-05
Position 39: 3.149078883691182e-05
Position 1053: 2.3785829097054266e-05
Position 593: 1.816852651505872e-05
Position 1028: 3.1507861835288547e-06
Position 1622: 2.6757837959370917e-06
Position 419: 1.5992551356078523e-06
Position 987: 1.490835102856735e-06
Position 326: 1.4581495217279609e-06
Position 291: 1.3958569777534156e-06
Position 838: 8.971903318226021e-07
Position 311: 8.383446312386329e-07
Position 76: 7.132870284695448e-07
Position 1271: 5.230984896172683e-07
Position 133: 3.468812813980337e-07
Position 393: 3.037759044888265e-07
Position 689: 1.4665048135361768e-07
Position 1073: 1.404944621464899e-07
Position 682: 1.0394022856786213e-07
Position 866: 7.430323630971014e-08
Position 1106: 7.376560111872405e-08
Position 665: 3.807346615560224e-08
Position 753: 3.691969279700019e-08
Position 591: 3.0692589064497205e-08
Position 813: 3.028296470781083e-08
Position 459: 3.028176700041081e-08
Position 614: 2.6114954885299548e-08
Position 93: 2.4050779745851342e-08
Position 380: 1.9584828368997996e-08
Position 568: 1.923698479262534e-08
Position 668: 1.1375711085923032e-09
Position 1146: 2.3017036737316625e-10
Position 198: 5.094175126477144e-11
Position 1097: 1.8091086058508465e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 789: 0.9325554293202378
Position 972: 0.05348584013983847
Position 2047: 0.03392275657177283
Position 797: 0.02830591011410543
Position 2139: 0.017327436293449287
Position 1850: 0.014169301415509407
Position 1508: 0.013167651787224887
Position 996: 0.010879935592459105
Position 120: 0.0076676865809367535
Position 1708: 0.0060239281507424676
Position 875: 0.0034123882030491133
Position 1475: 0.002648586577941332
Position 602: 0.002361951243263827
Position 2003: 0.0019755997935294476
Position 1118: 0.0019605122237325843
Position 85: 0.0019591396904994037
Position 2119: 0.0015876227267177868
Position 832: 0.001484751518078367
Position 557: 0.0014664378397839831
Position 719: 0.0014474888654759115
Position 93: 0.001182599185223327
Position 1346: 0.0011519838744980838
Position 1647: 0.001145465942035311
Position 475: 0.0011410219845492512
Position 1539: 0.001057722896579813
Position 1796: 0.000843379538976046
Position 1427: 0.0008098087623742629
Position 1194: 0.0006810228524368979
Position 1106: 0.0006739366751251401
Position 1685: 0.0004882466379570517
Position 1424: 0.00045900819081687115
Position 1204: 0.0004045336488554939
Position 218: 0.0003690839737596412
Position 1650: 0.00036405372849367693
Position 810: 0.0003185545463651215
Position 682: 0.00031269098440273664
Position 2148: 0.00025994102523580555
Position 2020: 0.00021841369893195654
Position 1025: 0.00021658816646618966
Position 1595: 0.00020157932339584668
Position 1937: 0.0001700593267149911
Position 1022: 0.0001620997062866763
Position 2269: 0.0001620345703496005
Position 480: 0.00014651297194979244
Position 1268: 0.00011478298599707153
Position 932: 8.930031416403356e-05
Position 1883: 8.804816752782414e-05
Position 949: 7.708116803736401e-05
Position 1496: 7.481216480174899e-05
Position 1166: 7.268574286001924e-05
Position 842: 7.070610337406404e-05
Position 243: 5.6657281269541264e-05
Position 1514: 5.576037107413664e-05
Position 704: 5.190940486817269e-05
Position 393: 3.708150866565572e-05
Position 374: 3.6521864419874356e-05
Position 138: 3.1943278242051905e-05
Position 1279: 2.4972730373208687e-05
Position 879: 1.7419019453142023e-05
Position 940: 1.577596202522593e-05
Position 240: 1.3229172893159152e-05
Position 263: 6.941489118120576e-06
Position 1271: 4.205604645421641e-06
Position 194: 8.336808404212991e-07
Position 733: 7.138556423457554e-07
Position 260: 7.115324726928639e-07
Position 724: 5.213899429789126e-07
Position 122: 4.1191809473281094e-07
Position 146: 3.925012038389293e-07
Position 149: 2.5966277897861285e-07
Position 278: 1.0291403104603955e-07
Position 152: 9.735107353974442e-08
Position 140: 5.6608188476181555e-08
Position 158: 5.043912517130612e-08
Position 161: 4.450098667861537e-08
Position 854: 3.474094784071996e-08
Position 341: 2.192192130291838e-08
Position 333: 2.0284444249356005e-08
Position 291: 1.676813003494045e-08
Position 307: 2.636213984108161e-09
Position 284: 7.705551999527843e-12
Position 179: 1.1600032084413953e-12
Position 369: 3.4415527374571754e-13
Position 311: 3.2362409672079017e-13
Position 251: 6.78088696379015e-14
Position 343: 1.7084541441419474e-14
