Gene = Rbfox1
index = 1410
Annotated 5SS: [   534  25152  87194  89835  92743  93077  94000  95064  95913  98918
 104128 106276 106485 107320 108105 108979]
Annotated 3SS: [ 24657  86716  89636  92037  93022  93906  95008  95870  98896 103403
 106214 106430 107247 107943 108914 109108]
SMsplice 5SS: [   534  25152  87194  92743  93077  94000 108105 108979]
SMsplice 3SS: [ 24657  86716  92037  93022  93935 107943 108604 109108]
top_k =  500
Partition function (log Z): -107.03830288462055

Sorted 5' Splice Sites (High to Low Probability):
Position 534: 1.0000000000000142
Position 25152: 0.9937518986010678
Position 1042: 2.1692035627887048e-16
Position 1226: 1.7498869535225925e-16
Position 1393: 1.078195663067734e-16
Position 1158: 1.0501212112959996e-16
Position 8649: 9.744751122223603e-17
Position 866: 6.480881655818681e-17
Position 7407: 5.867901679682698e-17
Position 78: 1.0053284603664903e-17
Position 6122: 7.431008485575187e-18
Position 309: 6.6476293821621414e-18
Position 758: 5.281921303702931e-18
Position 1680: 5.152532773454224e-18
Position 1204: 3.982841342627786e-18
Position 730: 3.480338034079242e-18
Position 5092: 3.2896255705037297e-18
Position 348: 3.152474669776659e-18
Position 1726: 2.922873784934795e-18
Position 6118: 2.8648866344718635e-18
Position 73: 2.6167031384907374e-18
Position 23: 2.543396068967135e-18
Position 1413: 2.186115851803821e-18
Position 1616: 1.9742945919401904e-18
Position 4727: 1.0719418247397541e-18
Position 477: 1.0262062822994058e-18
Position 221: 7.700278656017089e-19
Position 313: 5.170683359365846e-19
Position 1056: 5.112371572773484e-19
Position 1210: 5.070550960438455e-19
Position 801: 4.693789226438734e-19
Position 1190: 3.4406773395221802e-19
Position 794: 2.9877456688483813e-19
Position 449: 2.634723151085954e-19
Position 333: 1.7272037669154215e-19
Position 234: 1.6253323770719982e-19
Position 2387: 1.3728787393974897e-19
Position 571: 1.180157400641625e-19
Position 148: 1.1014800309151046e-19
Position 525: 8.44365850608767e-20
Position 1005: 8.093461513454496e-20
Position 215: 6.120351036300587e-20
Position 462: 5.996674420641031e-20
Position 180: 4.040948973924882e-20
Position 773: 2.963664221086375e-20
Position 91: 2.7141138017753165e-20
Position 352: 2.6178554921996734e-20
Position 335: 2.6050829396424792e-20
Position 89: 1.5846631493190036e-20
Position 133: 1.5262400089698033e-20
Position 223: 1.3950733409349977e-20
Position 453: 1.2078563781936263e-20
Position 307: 9.173283691218945e-21
Position 106: 8.362784977195353e-21
Position 236: 5.626102224219644e-21
Position 756: 5.594147624890177e-21
Position 247: 4.877044367707613e-21
Position 592: 4.818047306191638e-21
Position 1011: 4.7001940411065884e-21
Position 225: 3.886724278632325e-21
Position 15: 2.8070255757211904e-21
Position 205: 1.8224053201068795e-21
Position 343: 2.477032604020701e-22
Position 207: 1.3955323415552183e-22
Position 825: 1.0007533435853176e-22
Position 345: 7.645983381365007e-23
Position 340: 7.553682338590422e-23
Position 245: 6.086150361495993e-23
Position 257: 5.2167592704864804e-23
Position 254: 4.552690997691852e-23
Position 623: 3.6302927787777106e-23
Position 238: 2.2807149593985392e-23
Position 457: 1.8191654387588344e-23
Position 413: 1.743434420574053e-23
Position 382: 8.027585893430113e-28
Position 703: 7.0591393254654035e-28
Position 464: 6.561471763695381e-29
Position 451: 6.209690202458581e-29
Position 466: 3.879546317597362e-29

Sorted 3' Splice Sites (High to Low Probability):
Position 24657: 0.9937520502586151
Position 38199: 0.9755246085262029
Position 34472: 0.024474884267524095
Position 25716: 2.151927562821181e-07
Position 25218: 1.402704952031787e-07
Position 19820: 8.422726465826903e-11
Position 16293: 1.1902327093792186e-12
Position 13513: 3.130604646033189e-14
Position 12471: 1.4860717922542104e-14
Position 11633: 4.781090797647936e-15
Position 11676: 2.5245628384681568e-15
Position 8329: 1.4123843484607875e-15
Position 9214: 3.4351239316797975e-16
Position 847: 2.7273171059496056e-16
Position 8173: 2.311640554513564e-16
Position 583: 2.199212898161623e-16
Position 5823: 2.1522254356849473e-16
Position 9234: 1.762624299929685e-16
Position 1101: 1.2914686641497454e-16
Position 9127: 1.127915317915286e-16
Position 8714: 9.744751122223326e-17
Position 7225: 8.55893854917289e-17
Position 608: 7.002081557568149e-17
Position 8067: 3.636548646021037e-17
Position 8138: 3.199210422541417e-17
Position 8037: 3.066491325197624e-17
Position 4602: 2.2099457164584836e-17
Position 6187: 1.029589512004705e-17
Position 1269: 6.807825240040151e-18
Position 1035: 6.608089084040821e-18
Position 133: 5.721226975722002e-18
Position 5072: 5.049345601702727e-18
Position 5707: 4.578255476211817e-18
Position 895: 4.084664000747402e-18
Position 6371: 4.011896095833154e-18
Position 5013: 3.900769932102835e-18
Position 592: 3.867905631062515e-18
Position 4940: 3.745019220045684e-18
Position 1257: 3.4840566817107255e-18
Position 5733: 3.3129692905303953e-18
Position 5375: 3.0438004643363058e-18
Position 2487: 3.025948742730065e-18
Position 5244: 2.9947861334864432e-18
Position 4793: 2.541142435367601e-18
Position 3443: 2.2995382349419767e-18
Position 5965: 2.1923144945004374e-18
Position 4013: 2.1346207236398936e-18
Position 2656: 1.795516460341719e-18
Position 3212: 1.7256828971772565e-18
Position 406: 1.6279319617251485e-18
Position 98: 1.568177465695443e-18
Position 148: 1.1351045401597311e-18
Position 1533: 1.1080973654340988e-18
Position 1340: 1.0709690266655382e-18
Position 4877: 1.02088924628713e-18
Position 1328: 7.736948581488167e-19
Position 3289: 7.049138856372801e-19
Position 4029: 4.617873293089943e-19
Position 2441: 4.2165428471208308e-19
Position 1527: 3.612168040600199e-19
Position 901: 3.5525536988764315e-19
Position 1563: 3.0158830867763195e-19
Position 3269: 2.8935762504843927e-19
Position 2499: 2.7824422775039532e-19
Position 3544: 2.3580203569804657e-19
Position 1852: 2.356027702925181e-19
Position 279: 1.5699680694619156e-19
Position 809: 1.2460959245902061e-19
Position 1787: 1.2190677170677767e-19
Position 623: 1.1861010401019155e-19
Position 3494: 9.310491572674915e-20
Position 2811: 8.371922294011905e-20
Position 735: 6.865478309447727e-20
Position 853: 5.545102134957806e-20
Position 477: 5.447419576910071e-20
Position 942: 4.0321620253309895e-20
Position 1811: 4.02270986014174e-20
Position 2536: 3.83836946147341e-20
Position 2695: 3.7983631238352946e-20
Position 413: 3.552402651339776e-20
Position 1040: 3.247738798967662e-20
Position 391: 3.1238279987907376e-20
Position 317: 3.045040415048512e-20
Position 435: 2.8933552787451813e-20
Position 2113: 2.8232214750023196e-20
Position 1488: 2.5968708747789252e-20
Position 199: 1.6953161219709814e-20
Position 276: 1.5042947896506323e-20
Position 489: 9.743328733369534e-21
Position 422: 6.993115122657701e-21
Position 205: 1.719244833264709e-21
Position 519: 1.671974901221057e-21
Position 1042: 5.477806909950641e-22
Position 560: 4.634990927525863e-22
Position 73: 4.586791526157972e-22
Position 521: 4.00121070094909e-24
Position 333: 7.0663695838199945e-28
Position 326: 4.485688298726609e-28
