Gene = Dhc62B
index = 1133
Annotated 5SS: [ 2177  2427  5158  5531  5833  6978 10818 11201]
Annotated 3SS: [ 2245  2487  5215  5589  5888  7039 10880 11269]
SMsplice 5SS: [  357  2177  2427  5158  5531  5833  9480 10818 11201]
SMsplice 3SS: [ 2033  2245  2487  5215  5589  9262  9601 10880 11269]
top_k =  500
Partition function (log Z): 5.797223937696274

Sorted 5' Splice Sites (High to Low Probability):
Position 2427: 0.9993901472175059
Position 11201: 0.9980636017641517
Position 2177: 0.9906616337970638
Position 5158: 0.9595496495553272
Position 5531: 0.8737949205821136
Position 10818: 0.8733081359404632
Position 5833: 0.7363064547451386
Position 6978: 0.6846873718482449
Position 9480: 0.5823957320228932
Position 6157: 0.4821849808573087
Position 357: 0.29836437350561124
Position 2967: 0.15944212863459326
Position 161: 0.15217527991185253
Position 3238: 0.07944021690434196
Position 1323: 0.07777769380417476
Position 846: 0.07273645695290576
Position 7157: 0.0665257047331798
Position 270: 0.044540091111811085
Position 1194: 0.042568826845767245
Position 891: 0.0397036210236194
Position 6055: 0.03490398532156925
Position 821: 0.03197107237496802
Position 5154: 0.03131286099481894
Position 1220: 0.028501707719664607
Position 5348: 0.02174891030343746
Position 604: 0.020825122912125293
Position 6237: 0.017431152680712998
Position 1230: 0.01662335491241383
Position 216: 0.013805028574674335
Position 1782: 0.012563299505192901
Position 787: 0.011289239923889211
Position 5776: 0.011129029050106069
Position 1161: 0.010635810963205938
Position 3574: 0.009571651734551026
Position 2956: 0.008973768791590314
Position 11666: 0.008091056472519703
Position 1713: 0.007950957385066314
Position 1767: 0.007633140627894448
Position 440: 0.0075569933938034305
Position 504: 0.00635087047491639
Position 1016: 0.005540643668861645
Position 5839: 0.004860083736203924
Position 11891: 0.004824663393392824
Position 3863: 0.004665493264481265
Position 3016: 0.004504752340452962
Position 5811: 0.004502431592189128
Position 2147: 0.004357120402968899
Position 1290: 0.004030462089190483
Position 1926: 0.003968494718364907
Position 176: 0.0034704752018445066
Position 872: 0.003421566566878234
Position 453: 0.003293689663748028
Position 3925: 0.0026585470182736762
Position 5498: 0.0025540095865846583
Position 1700: 0.0025449137592999122
Position 6965: 0.0023474141394742385
Position 1278: 0.0023374024716189415
Position 863: 0.0019507421564566908
Position 1451: 0.0018638421683859594
Position 809: 0.0017934987797885856
Position 1331: 0.001607386737592926
Position 1073: 0.0015304451516451954
Position 3588: 0.0014851916853792304
Position 7780: 0.0014715520148026063
Position 773: 0.0013503926654982589
Position 2964: 0.0009730071303446152
Position 1646: 0.000960964721608862
Position 10085: 0.0008813933380889231
Position 7595: 0.0008694864401585494
Position 8213: 0.0007011045077190805
Position 5234: 0.0006609881843787961
Position 2181: 0.0006191825223717365
Position 11651: 0.0005710611533532713
Position 6028: 0.0005302083556846081
Position 8496: 0.0005223412088862309
Position 11434: 0.0005118986282582946
Position 7142: 0.0004674293033722969
Position 11740: 0.0004613030238392706
Position 2986: 0.0003953965272133446
Position 5575: 0.00039111012013404146
Position 11378: 0.00032090254967823405
Position 1070: 0.00030126027231561605
Position 2603: 0.0002825687972069609
Position 7736: 0.0002532800396811678
Position 1025: 0.00024168395003003828
Position 3634: 0.00018981202352176662
Position 11205: 0.000166676869141999
Position 3263: 0.00013868827683319126
Position 918: 0.00013073968001706723
Position 4328: 0.00011645168092324253
Position 3508: 0.00010400075116757327
Position 11494: 0.00010106466471771297
Position 563: 9.01766414634885e-05
Position 372: 8.94209154461483e-05
Position 3242: 7.406486041184874e-05
Position 24: 6.369883697490026e-05
Position 2369: 6.273467804593044e-05
Position 2640: 6.010216400432753e-05
Position 200: 5.7025219355565054e-05
Position 2412: 5.5320523991057405e-05
Position 5309: 5.150040082533968e-05
Position 2120: 4.988589272365918e-05
Position 110: 4.7728668983822875e-05
