Gene = ste14
index = 1896
Annotated 5SS: [355 794]
Annotated 3SS: [421 921]
SMsplice 5SS: [355 794]
SMsplice 3SS: [421 921]
top_k =  500
Partition function (log Z): 3.815418078319087

Sorted 5' Splice Sites (High to Low Probability):
Position 355: 0.9979493594689101
Position 794: 0.9957518973820573
Position 1289: 0.029182678260899996
Position 1072: 0.01296203610595696
Position 1280: 0.003320411482341163
Position 461: 0.002081871689209853
Position 811: 0.0011506217569633777
Position 8: 0.0008558545373132831
Position 327: 0.0007867038045951961
Position 1274: 0.0005428616300446247
Position 801: 0.00045088027570069076
Position 152: 0.0003804039057945007
Position 746: 0.00034226598621242094
Position 1011: 0.0003081906317253194
Position 1309: 0.0002830538513596777
Position 798: 0.00017561027587667893
Position 1225: 0.0001622998876717032
Position 1005: 0.00014604839218847318
Position 44: 0.00013316629574527784
Position 1147: 0.00012403037124513467
Position 1201: 9.894668090452299e-05
Position 1014: 8.368530384938532e-05
Position 185: 6.866823727441278e-05
Position 668: 4.902706763640139e-05
Position 167: 3.782972647339191e-05
Position 265: 3.118026745201047e-05
Position 588: 2.7575999358204998e-05
Position 1033: 2.4692312568098747e-05
Position 1239: 2.4145305065603123e-05
Position 1209: 2.269935919117809e-05
Position 1165: 2.0808643850997804e-05
Position 670: 1.8649035614583474e-05
Position 117: 1.28858644770929e-05
Position 133: 1.0990675071143996e-05
Position 1105: 1.0743809824787888e-05
Position 1113: 1.0522969685649628e-05
Position 1342: 1.0395206646526237e-05
Position 997: 8.499312979878945e-06
Position 1083: 8.48869409397156e-06
Position 990: 8.297852359200899e-06
Position 359: 8.119779190303449e-06
Position 66: 7.131453304184631e-06
Position 550: 7.021363672174248e-06
Position 165: 5.392966602948873e-06
Position 1137: 5.026203175774715e-06
Position 297: 4.620764651158914e-06
Position 465: 4.374215514988967e-06
Position 529: 4.301164429881368e-06
Position 710: 3.854025523678854e-06
Position 467: 1.376658124081023e-06
Position 112: 1.3092690382772055e-06
Position 645: 1.2198293963731365e-06
Position 473: 1.0666152207426247e-06
Position 557: 1.0580746678231426e-06
Position 1299: 1.0048544186221357e-06
Position 617: 8.144902422359811e-07
Position 685: 7.359964010352752e-07
Position 719: 5.822734672803388e-07
Position 256: 4.77279919052907e-07
Position 119: 4.4860692207569483e-07
Position 253: 3.2112496088608217e-07
Position 267: 2.9967649392379465e-07
Position 232: 2.905371740594684e-07
Position 287: 2.8455128669082223e-07
Position 1232: 2.8417357623503125e-07
Position 727: 2.729301681331965e-07
Position 496: 2.2693189079768092e-07
Position 68: 1.3996995549515095e-07
Position 331: 1.2284514189646316e-07
Position 217: 1.1525717540296271e-07
Position 277: 7.335818877191956e-08
Position 422: 1.999679792233258e-08
Position 722: 8.422459180794057e-09
Position 655: 3.1112602225179564e-09
Position 890: 1.5402673710186572e-09
Position 390: 6.169127872531389e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 421: 0.9976311283394
Position 921: 0.9853180914566814
Position 1398: 0.014025252803375052
Position 1137: 0.013685421988304894
Position 1357: 0.010893435435931256
Position 1372: 0.008833342480240909
Position 886: 0.006222359700689665
Position 927: 0.0059715424999190626
Position 685: 0.0009501510082560225
Position 588: 0.0006437664841077308
Position 81: 0.0006080828037480524
Position 847: 0.0005699109252891312
Position 211: 0.0004322538711162753
Position 1273: 0.0003013341079260631
Position 1076: 0.0002948305920302716
Position 112: 0.00025164854059435486
Position 665: 0.0002318939787116572
Position 951: 0.00014583978883318474
Position 962: 0.00011922821557573117
Position 1404: 0.00011187404996471572
Position 84: 0.00010983369498631084
Position 240: 0.00010122769519031489
Position 1161: 0.00010058461954555352
Position 641: 4.6423123788554845e-05
Position 432: 2.2920531534332808e-05
Position 550: 2.089432841077757e-05
Position 390: 1.9549451003729397e-05
Position 1279: 1.6492490212451484e-05
Position 691: 1.402993845047587e-05
Position 502: 9.332615164479811e-06
Position 1113: 6.21694055053219e-06
Position 264: 5.006484388866983e-06
Position 1326: 4.2165759669955736e-06
Position 667: 3.5904365842778252e-06
Position 87: 3.4095805572751337e-06
Position 1029: 3.1039638529780114e-06
Position 1314: 2.7062433038414947e-06
Position 1335: 2.3541307550642745e-06
Position 1209: 1.8747115072634488e-06
Position 217: 1.613379381061912e-06
Position 645: 1.284862763104519e-06
Position 465: 1.0163033798758194e-06
Position 933: 4.529517071572753e-07
Position 770: 4.5252101331377414e-07
Position 175: 3.637090431012853e-07
Position 1288: 2.3395470404470475e-07
Position 496: 2.110558062169313e-07
Position 758: 1.6037806637952374e-07
Position 354: 1.5313971956583587e-07
Position 754: 9.024350419235301e-08
Position 126: 6.640597185232064e-08
Position 185: 5.274332295751314e-08
Position 693: 3.690717829647184e-08
Position 133: 1.715608210364237e-08
Position 1110: 4.510378983998048e-09
Position 96: 4.134000247345105e-09
Position 128: 3.4053515136508422e-09
Position 161: 3.186581852984607e-09
Position 371: 7.419158035850697e-10
Position 253: 3.10241692141094e-10
Position 798: 3.646481466467468e-13
