Gene = gkt
index = 1716
Annotated 5SS: [ 199  800 1250 1903]
Annotated 3SS: [ 252  859 1304 1962]
SMsplice 5SS: [ 199  800 1250 1903]
SMsplice 3SS: [ 252  859 1304 1962]
top_k =  500
Partition function (log Z): 9.153959105754671

Sorted 5' Splice Sites (High to Low Probability):
Position 800: 0.9952539388649684
Position 199: 0.9941532875722701
Position 1903: 0.9417090112547937
Position 1250: 0.8659621921148669
Position 1231: 0.10115534837050713
Position 2267: 0.04778350010693489
Position 2328: 0.03565006713000725
Position 2090: 0.032821742110555475
Position 933: 0.0056307048207470565
Position 1912: 0.00545455035142236
Position 804: 0.004431920061242818
Position 1776: 0.003532487059757609
Position 203: 0.0031840155857500822
Position 1907: 0.002381866055579701
Position 2182: 0.001824870532715072
Position 2153: 0.0013531879896771586
Position 417: 0.0010939439891183005
Position 1988: 0.0008539901914693867
Position 1240: 0.0007782655911555072
Position 1023: 0.0007777943132734204
Position 2172: 0.000739650311262917
Position 1184: 0.0006646641030182724
Position 1046: 0.0006604005358768135
Position 1764: 0.00044943275446653714
Position 1141: 0.00044334690189303715
Position 1172: 0.00041312456055052045
Position 41: 0.0002625689790875956
Position 1770: 0.00025333034954064227
Position 1179: 0.00022921210924500322
Position 1900: 0.00022848485670824204
Position 2341: 0.0001861227142176041
Position 2106: 0.00014574231065727237
Position 576: 0.0001282950075943475
Position 1623: 0.00011226110837938652
Position 1026: 0.00010896032672162561
Position 2140: 9.057898917002436e-05
Position 1474: 7.129406329496587e-05
Position 1879: 6.952209571826323e-05
Position 1588: 6.372771945207954e-05
Position 920: 5.4399331476027384e-05
Position 965: 5.132275881886232e-05
Position 1531: 5.059755550539845e-05
Position 43: 3.9511848053125494e-05
Position 2032: 3.304550427144803e-05
Position 2357: 3.096822798437126e-05
Position 1351: 2.892228634522467e-05
Position 2013: 2.771374854425654e-05
Position 1997: 2.6600887972202075e-05
Position 482: 2.4488760361718412e-05
Position 948: 2.107524178825999e-05
Position 753: 1.5768695513226814e-05
Position 1113: 1.570327637688996e-05
Position 1266: 1.5516643901994683e-05
Position 1768: 1.3067620656405563e-05
Position 90: 9.44377906552366e-06
Position 573: 9.095749629713948e-06
Position 1501: 9.024447343851995e-06
Position 632: 9.004551967528442e-06
Position 992: 8.922311198048447e-06
Position 455: 8.892808785559125e-06
Position 2350: 7.988489596545321e-06
Position 1271: 7.192619025549815e-06
Position 1780: 4.605576781196845e-06
