Gene = UK114
index = 1579
Annotated 5SS: [170 472]
Annotated 3SS: [241 700]
SMsplice 5SS: [170 472]
SMsplice 3SS: [241 700]
top_k =  500
Partition function (log Z): -0.10634551413806839

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9861769353840577
Position 170: 0.9737943389967734
Position 625: 0.011967797183309647
Position 190: 0.003939443822178384
Position 843: 0.0020016685031012957
Position 184: 0.0018318273063296026
Position 459: 0.0009399311671083111
Position 618: 0.0007440663403570103
Position 16: 0.0005211659213447818
Position 831: 0.00032272552938579003
Position 593: 0.00018109740596054469
Position 476: 0.00012321109584338536
Position 402: 8.122167370187437e-05
Position 494: 6.378323941990828e-05
Position 117: 5.6894284385383516e-05
Position 33: 4.01991772388243e-05
Position 419: 1.2449779992303978e-05
Position 5: 1.1074744011738267e-05
Position 269: 1.0531782176046232e-05
Position 417: 9.584282510544027e-06
Position 814: 7.516273614869923e-06
Position 450: 7.039723561141684e-06
Position 156: 4.096215901227317e-06
Position 799: 3.956638435283426e-06
Position 766: 3.1232847246107263e-06
Position 544: 2.4213345867638013e-06
Position 393: 2.064225068678778e-06
Position 315: 2.0294410948425036e-06
Position 89: 1.133092051321174e-06
Position 369: 1.0877124020196286e-06
Position 777: 1.0210659104383407e-06
Position 66: 5.948544934195191e-07
Position 520: 5.14337997101516e-07
Position 84: 3.067568105435025e-07
Position 223: 2.7191151264844023e-07
Position 852: 2.696602712106029e-07
Position 739: 1.7044079401766628e-07
Position 289: 1.6007407983819263e-07
Position 523: 7.745470306413135e-08
Position 107: 2.777580554784887e-08
Position 262: 1.684330962211548e-08
Position 249: 3.138206674166444e-09
Position 267: 2.9441639307003687e-09
Position 252: 2.8965502992453524e-09
Position 283: 2.2766626657375097e-09
Position 238: 1.2900598833618947e-09
Position 275: 5.807319020331733e-10
Position 694: 1.41166994937348e-11
Position 679: 1.236313488308935e-15
Position 273: 3.4143284883506113e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 700: 0.9384064850319718
Position 241: 0.8804467440057623
Position 245: 0.09698380226303513
Position 728: 0.040251816118090845
Position 738: 0.014311236089033168
Position 518: 0.0069575261126250225
Position 891: 0.002016868756288724
Position 642: 0.0009384178866582284
Position 711: 0.000863426301153049
Position 84: 0.0005670007809406452
Position 886: 0.00041010960443518525
Position 580: 0.000322601070176757
Position 597: 0.0001065839887963946
Position 299: 0.00010158979883077284
Position 897: 3.557355449717805e-05
Position 324: 3.2401365972376655e-05
Position 747: 3.1564993480824935e-05
Position 377: 2.9376990512548143e-05
Position 450: 1.797283548616778e-05
Position 344: 1.7921184347792565e-05
Position 347: 6.797113402647966e-06
Position 428: 2.8187325707246176e-06
Position 505: 2.8076639512634946e-06
Position 417: 1.583231002469062e-06
Position 98: 1.5761127220284641e-06
Position 133: 8.446273004316565e-07
Position 402: 6.029155960538853e-07
Position 339: 4.46282382465721e-07
Position 777: 3.584573217484447e-07
Position 852: 2.637764321628541e-07
Position 855: 1.9479036183075175e-07
Position 822: 1.7714086470270792e-07
Position 196: 1.5864832239627032e-07
Position 410: 7.564705248253869e-08
Position 47: 3.598748284397623e-08
Position 121: 3.087650620822895e-08
Position 174: 1.7842168175565352e-08
Position 156: 1.7600874029903416e-08
Position 152: 7.982877689493766e-09
Position 467: 6.241065603583825e-09
Position 365: 6.091508405229253e-09
Position 482: 5.523107905394445e-09
Position 458: 4.80726833835948e-09
Position 170: 2.1197244413053242e-09
Position 356: 9.323139497223385e-10
Position 393: 5.309960437710894e-13
