Gene = ebi
index = 1689
Annotated 5SS: [ 380 1644]
Annotated 3SS: [ 444 1721]
SMsplice 5SS: [ 380 1644]
SMsplice 3SS: [ 444 1721]
top_k =  500
Partition function (log Z): 1.1375481485979102

Sorted 5' Splice Sites (High to Low Probability):
Position 380: 0.9984422490988911
Position 1644: 0.9983015277177987
Position 2809: 0.1680396074702985
Position 2289: 0.14562165393141377
Position 2511: 0.13876204056145397
Position 2650: 0.04826643625783993
Position 1300: 0.043676390295465765
Position 2031: 0.033222514017089505
Position 2411: 0.01770553305776863
Position 2882: 0.015143610638223608
Position 1269: 0.011759375295412378
Position 2665: 0.011506777691797098
Position 2024: 0.011300312431684705
Position 496: 0.007104396665854106
Position 651: 0.003938616071728442
Position 2849: 0.003936270874582718
Position 582: 0.00287830571045705
Position 861: 0.002799370095615189
Position 3287: 0.0026802362173353276
Position 2533: 0.002509141793759479
Position 2073: 0.0023778452192420685
Position 3390: 0.0020827964803355834
Position 3069: 0.0018000728795308013
Position 1996: 0.0016437900626189116
Position 2484: 0.0014624087764232888
Position 1819: 0.0012114169699437502
Position 1360: 0.0011623679610591434
Position 2597: 0.001083003048464264
Position 1290: 0.000983767427838129
Position 1504: 0.0009545042095463939
Position 3273: 0.0008235769665764043
Position 1249: 0.0006804165445854002
Position 1847: 0.0006049230319268243
Position 796: 0.0005986816002729297
Position 2994: 0.0005895969508089428
Position 384: 0.0005778440080286617
Position 2029: 0.0005564035231878135
Position 2016: 0.0005135987712923118
Position 3254: 0.000448125217294704
Position 600: 0.00043856079759095607
Position 3381: 0.00035316535817039515
Position 1003: 0.0003473787575046965
Position 3277: 0.0002715601264863139
Position 2620: 0.0002672719992814111
Position 1257: 0.00026032240886301355
Position 1648: 0.00024526581012571867
Position 1458: 0.0002409723993761143
Position 772: 0.00017409974054710803
Position 3098: 0.00016816778468712
Position 1605: 0.00015671804179614258
Position 180: 0.00014614177318215588
Position 343: 0.00012880289801500718
Position 1137: 0.00011396074783339432
Position 570: 9.983887504054458e-05
Position 240: 8.643585214828784e-05
Position 976: 6.267325181264544e-05
Position 672: 5.772308625318854e-05
Position 575: 5.6761516132696757e-05
Position 141: 5.5494323603699394e-05
Position 3270: 4.776563240027729e-05
Position 1942: 3.9377934548005395e-05
Position 553: 3.487857790654577e-05
Position 1295: 3.443347349186084e-05
Position 223: 2.6862479014944004e-05
Position 1434: 2.523332617288712e-05
Position 208: 1.9468266000211736e-05
Position 1179: 1.598332611441452e-05
Position 210: 1.5734387650240343e-05
Position 2018: 1.3955582449506946e-05
Position 1078: 1.2707762485025336e-05
Position 560: 1.1740002086289105e-05
Position 2297: 8.463422112489766e-06
Position 1679: 8.109415925727763e-06
Position 290: 7.717197708713878e-06
Position 1838: 6.719632674455793e-06
Position 50: 6.704421437301689e-06
Position 282: 6.297836200213652e-06
Position 1786: 6.034080807689429e-06
Position 293: 5.661593612414324e-06
Position 467: 5.528897540063235e-06
Position 479: 5.012275146939402e-06
Position 165: 5.003383538361646e-06
Position 465: 4.9936623222671335e-06
Position 22: 4.8115794807740965e-06
Position 2843: 4.505503686589215e-06
Position 1171: 4.461019422897913e-06
Position 189: 4.360933667801839e-06
Position 2087: 4.020950379075195e-06
Position 375: 3.775699893024526e-06
Position 1759: 3.557760266988932e-06
Position 72: 2.613203557973577e-06
Position 1959: 2.53298968306032e-06
Position 355: 1.8584453118029567e-06
Position 270: 1.7623196613903677e-06
Position 1875: 1.4301899316330117e-06
Position 150: 1.3275340356790313e-06
Position 1565: 1.2882053342630995e-06
Position 35: 3.9739079860210175e-07
Position 59: 3.686026847888989e-07
Position 940: 3.1410947272449797e-07
Position 1623: 1.2807235546710932e-07
Position 77: 9.81142824385382e-08
Position 314: 9.71985154644716e-08
Position 848: 9.713614952233437e-08
Position 724: 7.74234885121325e-08
Position 319: 5.181261454536536e-08
Position 1569: 4.1978883795242164e-08
Position 2276: 4.172896736761436e-08
Position 1538: 3.536027430323345e-08
Position 516: 3.3781812573386616e-08
