Gene = Cp19
index = 1090
Annotated 5SS: [58]
Annotated 3SS: [146]
SMsplice 5SS: [58]
SMsplice 3SS: [146]
top_k =  500
Partition function (log Z): -3.675735798679936

Sorted 5' Splice Sites (High to Low Probability):
Position 58: 0.9957580428578413
Position 611: 0.012378815573865953
Position 83: 0.003767409800615653
Position 397: 0.0029241484382635757
Position 615: 0.0013356250875290604
Position 292: 0.0006945340656714465
Position 378: 0.0006259343802449146
Position 540: 0.00034283177170761587
Position 51: 0.0002991707845259252
Position 599: 0.00017859954993459622
Position 235: 5.2034218149565866e-05
Position 62: 4.7452628818162815e-05
Position 530: 3.2262512817814753e-05
Position 472: 2.2073476741084022e-05
Position 385: 2.055085952671355e-05
Position 418: 1.2945068246547872e-05
Position 64: 7.962564773165718e-06
Position 623: 6.761373932996178e-06
Position 334: 5.7337025549831245e-06
Position 315: 5.15238922266919e-06
Position 301: 3.6521782026970216e-06
Position 18: 3.345895950206072e-06
Position 430: 2.907046117097983e-06
Position 202: 2.2538384306199174e-06
Position 485: 2.2530556049495497e-06
Position 451: 1.7565452476243518e-06
Position 367: 1.6382713891724912e-06
Position 433: 1.3892448097610375e-06
Position 516: 1.2099743471863975e-06
Position 177: 1.7856250575988216e-07
Position 406: 1.1219225272067389e-07
Position 570: 6.054243867846492e-08
Position 459: 1.1015268048327333e-09
Position 129: 4.978780947110292e-10
Position 156: 6.493572415825619e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 146: 0.9968631973163525
Position 675: 0.01534767939677311
Position 156: 0.0019438883443565784
Position 497: 0.0009292180331384736
Position 464: 0.0008445703754419114
Position 377: 0.0007396998589330616
Position 129: 0.0006517007520555041
Position 530: 0.00035007229412924276
Position 184: 0.00014483964547669224
Position 640: 0.00011546529352483968
Position 591: 0.00011394508928912932
Position 643: 9.85630735870663e-05
Position 570: 8.280718899307752e-05
Position 593: 8.030273790667032e-05
Position 212: 5.595330596489149e-05
Position 265: 4.2461872970147964e-05
Position 701: 2.5397393463739855e-05
Position 535: 2.420856881908776e-05
Position 346: 2.1005672853107723e-05
Position 611: 1.4976571703117607e-05
Position 239: 1.1698291693764314e-05
Position 729: 9.537830720121356e-06
Position 599: 8.405750988442856e-06
Position 209: 6.064768009458107e-06
Position 509: 3.907677299820693e-06
Position 619: 3.4408736559849483e-06
Position 539: 1.1641670723692238e-06
Position 244: 1.0848128154749265e-06
Position 270: 7.384690435296526e-07
Position 382: 6.624555894875084e-07
Position 623: 6.39883323513474e-07
Position 299: 6.044435140643341e-07
Position 578: 4.717737512766332e-07
Position 273: 4.2587318107242813e-07
Position 224: 1.4339845469061965e-10
Position 285: 2.2400951851164573e-11
Position 296: 1.7010240933010495e-11
Position 320: 1.0604000015898666e-11
Position 359: 8.123134726013196e-12
Position 214: 1.1152831168308306e-13
Position 72: 7.965010543260151e-14
Position 290: 5.535419713401098e-14
Position 62: 5.464274507895001e-15
Position 308: 1.4089300704426796e-19
