Gene = Sc2
index = 1471
Annotated 5SS: [ 420  794 1130]
Annotated 3SS: [ 576 1013 1191]
SMsplice 5SS: [ 420  794 1130]
SMsplice 3SS: [ 576 1013 1191]
top_k =  500
Partition function (log Z): -2.7067104557840147

Sorted 5' Splice Sites (High to Low Probability):
Position 1130: 0.9778708108976878
Position 420: 0.8815080096405108
Position 794: 0.4599628974988105
Position 896: 0.06803403839480421
Position 1393: 0.04352627485826911
Position 1404: 0.036140781042547455
Position 813: 0.02765090972659844
Position 827: 0.01872417722803849
Position 324: 0.012372526367667912
Position 930: 0.012337193922117502
Position 97: 0.011262881606623304
Position 840: 0.010170203933205639
Position 1397: 0.00998693903853872
Position 378: 0.006845725552211444
Position 728: 0.006597027385606494
Position 798: 0.004973965560860605
Position 435: 0.004936182814210094
Position 103: 0.003378320895933977
Position 1408: 0.0033370494226912773
Position 343: 0.0028650298611629364
Position 866: 0.0024856776397328786
Position 534: 0.002484286716450153
Position 274: 0.001582564657757118
Position 372: 0.0013273518792768927
Position 424: 0.0012375525957073292
Position 287: 0.0009764224665002908
Position 760: 0.0008653675519483173
Position 908: 0.0008652752639860291
Position 87: 0.0007009616015485278
Position 918: 0.0006835753966365296
Position 447: 0.0006567836925645006
Position 935: 0.0005724806386593891
Position 1430: 0.0005715788435799453
Position 742: 0.00043050228406445445
Position 718: 0.00041508790553067553
Position 428: 0.000356804990224609
Position 879: 0.00025465838210853877
Position 310: 0.0002161409593342511
Position 376: 0.0001901066747972907
Position 546: 0.0001879937962765162
Position 942: 0.00018077733065865358
Position 851: 0.00016034677070949255
Position 608: 0.0001544663126312748
Position 1482: 0.00014526131689285922
Position 767: 0.0001446328387188371
Position 1345: 0.00012773630817176703
Position 834: 0.00011311643209940136
Position 537: 0.00011025021810999596
Position 395: 8.870130359243647e-05
Position 898: 8.49438721939763e-05
Position 1134: 5.732361461803481e-05
Position 615: 2.981457686270765e-05
Position 635: 2.8094216179493695e-05
Position 1124: 2.691995251523839e-05
Position 599: 2.3262740484143307e-05
Position 1080: 1.9536779206220388e-05
Position 1235: 1.9133901802506007e-05
Position 20: 1.912838176174356e-05
Position 716: 1.8881840778119274e-05
Position 1137: 1.3890730953551307e-05
Position 194: 1.2442587846892187e-05
Position 1227: 1.1814282467997821e-05
Position 438: 8.765949838662375e-06
Position 186: 6.882823448193984e-06
Position 458: 4.406899730401143e-06
Position 254: 2.4163654964863185e-06
Position 1472: 1.7906611899150965e-06
Position 476: 9.486203405500922e-07
Position 246: 2.7504444402896004e-07
Position 1095: 1.207148821040428e-07
Position 1162: 8.675672175609715e-08
Position 1196: 4.954711425290913e-08
Position 1247: 1.4298507286057323e-08
Position 1276: 3.3321513094571703e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1191: 0.9623557109200851
Position 576: 0.5690455340673444
Position 978: 0.4911303680570993
Position 1013: 0.4693711719257115
Position 1521: 0.04034970158340772
Position 1480: 0.029252866068904898
Position 1470: 0.02214971245551126
Position 742: 0.013265825807807214
Position 1396: 0.0068251125110381896
Position 1300: 0.005605019065890642
Position 613: 0.0022661033457258735
Position 1493: 0.0021118440398059726
Position 1540: 0.00193491112807636
Position 1026: 0.0018920735809218262
Position 546: 0.0008543152592770923
Position 1366: 0.0005044831291758469
Position 895: 0.0003972370712378207
Position 1537: 0.00026616641144051195
Position 1485: 0.000262555393013573
Position 625: 0.00023151997376102292
Position 682: 0.00021665356324370363
Position 1324: 0.00016616508925718418
Position 420: 0.00012122261255923933
Position 294: 0.00011956294789488142
Position 165: 7.947619956190947e-05
Position 186: 5.168612801423335e-05
Position 153: 3.4852542912983136e-05
Position 207: 3.305306172018785e-05
Position 992: 3.0261608654385963e-05
Position 1156: 2.9974635323712606e-05
Position 431: 2.889197054399378e-05
Position 1222: 2.7539392661802448e-05
Position 162: 2.5584591534954142e-05
Position 901: 2.2240685786871667e-05
Position 1342: 2.0088062451463717e-05
Position 923: 1.915810435618298e-05
Position 1339: 1.6655340643825226e-05
Position 267: 1.4958607660152e-05
Position 1351: 1.3983243970662328e-05
Position 215: 3.298995339975351e-06
Position 80: 3.0117508636258657e-06
Position 279: 2.001353430368056e-06
Position 669: 1.1746769540782542e-06
Position 1121: 9.913941879000751e-07
Position 388: 9.693991039181897e-07
Position 1080: 7.858031132598061e-07
Position 306: 6.00610032309074e-07
Position 447: 4.7415919030319267e-07
Position 222: 3.6394697165083634e-07
Position 438: 2.0659765679207745e-07
Position 75: 9.363391105585119e-08
Position 324: 6.386882929867265e-08
Position 372: 2.5969009543826475e-08
Position 1345: 2.107347508568689e-08
Position 395: 1.2698408249543798e-08
Position 84: 1.0750330995084277e-08
Position 96: 7.701627249556995e-09
Position 435: 1.6738770518829076e-09
Position 102: 4.264430890828154e-10
Position 424: 2.411549436365425e-10
